Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
AdaBoost,39,0.9068098973268024,0.2687971723582806,0.115621093636601,0.7982584042771905,"{'learning_rate': 0.1, 'n_estimators': 200}",0.3844182659948816,2,0.1531760787216796,35,37,0.231242187273202
AdaBoost,26,0.9084171934794084,0.2193337398234209,0.1140535558121527,0.8096564005782918,"{'learning_rate': 0.1, 'n_estimators': 200}",0.33338729563557357,8,0.1052801840112682,26,34,0.22810711162430536
AdaBoost,37,0.9115729723067976,0.2777605443180124,0.1109758388217246,0.8006625222429342,"{'learning_rate': 0.1, 'n_estimators': 200}",0.388736383139737,1,0.1667847054962878,39,40,0.22195167764344922
AdaBoost,33,0.9131742023484932,0.2357862135614854,0.1094142170559214,0.8098073308068755,"{'learning_rate': 0.1, 'n_estimators': 200}",0.3452004306174068,7,0.12637199650556402,33,40,0.21882843411184277
AdaBoost,18,0.9136385592488344,0.1955902161331355,0.1089613465602459,0.8101479707734136,"{'learning_rate': 0.05, 'n_estimators': 50}",0.3045515626933814,17,0.08662886957288961,16,33,0.21792269312049178
AdaBoost,38,0.9145492050213097,0.2735382902327364,0.1080732266635396,0.8021469554835303,"{'learning_rate': 0.1, 'n_estimators': 200}",0.38161151689627604,3,0.1654650635691968,38,41,0.21614645332707924
AdaBoost,35,0.914628577038244,0.273222560209184,0.1079958180051877,0.803252709789926,"{'learning_rate': 0.1, 'n_estimators': 200}",0.3812183782143717,4,0.1652267422039963,37,41,0.2159916360103754
AdaBoost,28,0.9155108362061244,0.2082409257621345,0.1071353825376006,0.8112279267466992,"{'learning_rate': 0.05, 'n_estimators': 200}",0.31537630829973506,12,0.10110554322453388,25,37,0.21427076507520118
AdaBoost,32,0.9159132846443416,0.2250171552532955,0.1067428891266801,0.8103834948250889,"{'learning_rate': 0.1, 'n_estimators': 100}",0.3317600443799756,9,0.11827426612661539,30,39,0.21348577825336018
AdaBoost,21,0.9166116245207389,0.1983390971251176,0.1060618234943145,0.8097657687916444,"{'learning_rate': 0.05, 'n_estimators': 100}",0.30440092061943214,18,0.0922772736308031,19,37,0.21212364698862904
