Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Gradient Boosting,37,0.7468821461895881,0.8026318981903829,0.2715928469939813,0.7158742297324613,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.0742247451843643,14,0.5310390511964016,21,35,0.5431856939879627
Gradient Boosting,38,0.7554311108212644,0.803349394276623,0.2632553508839489,0.7173776951824996,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.0666047451605718,16,0.5400940433926741,22,38,0.5265107017678977
Gradient Boosting,35,0.755769221426412,0.7819963970274242,0.2629256038354309,0.7200129212986154,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.044922000862855,20,0.5190707931919933,20,40,0.5258512076708617
Gradient Boosting,31,0.7577636747101294,0.7561690062400479,0.2609804856590121,0.7201747214120853,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.01714949189906,21,0.4951885205810358,19,40,0.5219609713180242
Gradient Boosting,17,0.7602592192007476,0.7475353497678292,0.2585466713458907,0.7217452696705959,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.0060820211137198,22,0.4889886784219385,17,39,0.5170933426917813
Gradient Boosting,39,0.7613835780027786,0.8010307442174465,0.2574501248584389,0.7213675423926987,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.0584808690758853,17,0.5435806193590076,24,41,0.5149002497168778
Gradient Boosting,36,0.7639340818505399,0.7970350030675173,0.2549627106713991,0.725821971027744,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.0519977137389165,18,0.5420722923961182,23,41,0.5099254213427983
Gradient Boosting,15,0.7655239071580373,0.712262469453981,0.2534122115305116,0.7197069408033167,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",0.9656746809844925,24,0.4588502579234694,9,33,0.506824423061023
Gradient Boosting,29,0.7677778828750541,0.892282362982417,0.2512139905081548,0.7193189216284973,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.1434963534905718,1,0.6410683724742623,29,30,0.5024279810163095
Gradient Boosting,34,0.7688735047454995,0.7980862643596276,0.2501454701110698,0.7300606102698864,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.0482317344706975,19,0.5479407942485578,25,44,0.5002909402221397
Gradient Boosting,30,0.7697871258661506,0.8839075856767526,0.2492544484648639,0.7166199139569212,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.1331620341416166,4,0.6346531372118888,26,30,0.4985088969297279
Gradient Boosting,16,0.7717895485587454,0.7090443326873634,0.2473015580121078,0.7205275705778915,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",0.9563458906994713,25,0.46174277467525565,11,36,0.49460311602421564
Gradient Boosting,19,0.7725824542534614,0.7384834892210863,0.2465282657562453,0.7288399781326004,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",0.9850117549773316,23,0.491955223464841,18,41,0.4930565315124906
Gradient Boosting,33,0.7729564710889627,0.896513147320227,0.2461635006594844,0.7239994729827776,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.1426766479797115,2,0.6503496466607426,34,36,0.4923270013189689
Gradient Boosting,28,0.7743610977104816,0.8891638916960453,0.2447936191010126,0.7158701219241472,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.1339575107970579,3,0.6443702725950327,31,34,0.4895872382020252
Gradient Boosting,25,0.7769307209844702,0.8808589552905975,0.2422875584288526,0.7260613197797984,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.12314651371945,6,0.6385713968617449,27,33,0.48457511685770516
Gradient Boosting,20,0.7803871772206211,0.8795119705894078,0.2389166016329119,0.723877085162027,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.1184285722223197,9,0.6405953689564958,28,37,0.4778332032658239
Gradient Boosting,22,0.7812202624013709,0.8812198680056872,0.238104123777045,0.7254582206258711,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.1193239917827322,8,0.6431157442286421,30,38,0.4762082475540901
