Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
KNN,29,0.7490529357641067,0.5628367637362625,0.2694757544087358,0.6767674017679735,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.8323125181449982,1,0.2933610093275267,14,15,0.5389515088174714
KNN,26,0.753118323340156,0.5616788970708324,0.2655109288934336,0.672743182298002,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.827189825964266,2,0.2961679681773988,15,17,0.5310218577868673
KNN,25,0.7628069373559703,0.5619990756214301,0.2560619739440647,0.6811756235782621,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.8180610495654949,3,0.30593710167736543,19,22,0.5121239478881294
KNN,28,0.7690907861627309,0.5601894850233409,0.2499335634008423,0.6817611369289023,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.8101230484241831,6,0.3102559216224986,20,26,0.49986712680168455
KNN,34,0.7701548929079038,0.5652724834779318,0.2488957785659787,0.6894169137590914,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.8141682620439105,4,0.31637670491195313,23,27,0.49779155713195733
KNN,24,0.7707276429137485,0.5625221017219099,0.2483371961935524,0.6868727891579223,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.8108592979154623,5,0.3141849055283574,22,27,0.49667439238710487
KNN,17,0.772743355566984,0.5510888135994918,0.2463713445226935,0.6919635253145032,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.7974601581221853,8,0.3047174690767983,18,26,0.492742689045387
KNN,19,0.7776613708181849,0.4979209017658825,0.2415749820633101,0.7055931288186126,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.7394958838291926,22,0.25634591970257237,8,30,0.48314996412662026
KNN,32,0.7847196368636897,0.5669883929475619,0.2346913103868685,0.6969206911086057,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.8016797033344304,7,0.33229708256069335,24,31,0.46938262077373705
KNN,15,0.7901912042382458,0.5266700802572417,0.2293550885557346,0.6974719115651735,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.7560251688129763,21,0.2973149917015071,16,37,0.4587101771114692
KNN,21,0.790844000655671,0.5634736291883544,0.2287184398122413,0.6962900472518173,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.7921920690005957,10,0.33475518937611315,26,36,0.45743687962448254
KNN,33,0.7911955056020522,0.5650750684202966,0.2283756297470023,0.7005009650174685,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.793450698167299,9,0.3366994386732943,27,36,0.45675125949400464
KNN,18,0.7951561719136085,0.5673893784233456,0.2245129350946718,0.6984118443475927,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.7919023135180174,11,0.3428764433286738,31,42,0.44902587018934365
KNN,20,0.7952244079968378,0.4940018820884294,0.2244463869098332,0.7113523503842959,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.7184482689982625,24,0.26955549517859617,11,35,0.44889277381966636
KNN,22,0.7972373389443914,0.5620024261587278,0.2224832481359508,0.6953132832045729,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.7844856742946785,12,0.339519178022777,28,40,0.44496649627190155
KNN,30,0.7975605121397935,0.5039239985751247,0.2221680690030827,0.7167015635469698,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.7260920675782074,23,0.281755929572042,13,36,0.44433613800616545
KNN,23,0.7994216920994469,0.5623272882670386,0.2203529274810107,0.6995514394606485,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.7826802157480492,13,0.3419743607860279,30,43,0.44070585496202136
KNN,27,0.8024123152391777,0.5617354461765054,0.2174362808614084,0.6928516279967957,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.7791717270379138,15,0.34429916531509697,32,47,0.43487256172281685
KNN,36,0.8038912265064644,0.5640495779233823,0.215993952173745,0.7003338688120583,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.7800435300971273,14,0.3480556257496373,33,47,0.43198790434749007
KNN,31,0.8046409526587133,0.5555820498971675,0.2152627713644569,0.702924274159975,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.7708448212616245,16,0.3403192785327106,29,45,0.43052554272891386
KNN,35,0.8103161226690262,0.5604182022427793,0.2097279832440994,0.7026463131374251,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.7701461854868786,17,0.3506902189986799,34,51,0.4194559664881987
KNN,38,0.8119314661111784,0.5602985713529474,0.2081525971891136,0.7021283237018657,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.768451168542061,18,0.35214597416383375,35,53,0.4163051943782272
KNN,37,0.8144976072609192,0.5608376735310225,0.2056499325068334,0.7037804988740377,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.7664876060378559,19,0.35518774102418915,36,55,0.4112998650136668
KNN,39,0.8180276011926857,0.5582611986574251,0.202207257055178,0.7069921639581745,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.7604684557126031,20,0.35605394160224707,37,57,0.40441451411035606
KNN,12,0.8247728222461974,0.4456652262380268,0.1956288868410136,0.7230049720694557,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.6412941130790404,27,0.2500363393970132,7,34,0.3912577736820272
KNN,16,0.8336084614872457,0.4624629600156007,0.1870118073494302,0.7214852843716956,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.649474767365031,26,0.2754511526661705,12,38,0.3740236146988605
KNN,13,0.8379928821837415,0.516393179925593,0.1827358403666761,0.7088386609984526,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.6991290202922691,25,0.33365733955891685,25,50,0.36547168073335223
KNN,6,0.8546077203773582,0.3647848767086115,0.166531989400347,0.7521993959776054,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.5313168661089585,32,0.19825288730826449,3,35,0.33306397880069394
KNN,14,0.855014353187113,0.463567471272624,0.1661354151231556,0.7363097833062653,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.6297028863957796,29,0.2974320561494684,17,46,0.33227083024631127
KNN,10,0.8709134840647957,0.3943422908910287,0.1506295676250375,0.7574128546294698,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}",0.5449718585160662,31,0.24371272326599117,6,37,0.3012591352500751
KNN,11,0.876512710722386,0.4560455750493942,0.1451688443107925,0.74605805345553,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.6012144193601867,30,0.31087673073860167,21,51,0.29033768862158504
KNN,7,0.8770408053433721,0.362514504705922,0.1446538127206644,0.7660896521441608,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.5071683174265864,34,0.2178606919852576,4,38,0.2893076254413288
