Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Random Forest,17,0.8565516015420073,0.3430027898668999,0.1646361923831767,0.7808998178086345,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.5076389822500766,4,0.17836659748372322,25,29,0.32927238476635345
Random Forest,19,0.8595178637032963,0.3241450704826996,0.1617433041450562,0.7819033642680849,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.4858883746277558,14,0.1624017663376434,15,29,0.32348660829011244
Random Forest,25,0.8613977300077428,0.3378305904016014,0.1599099385065285,0.7858464988414053,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.4977405289081299,5,0.17792065189507292,24,29,0.31981987701305703
Random Forest,18,0.8631169993416323,0.3188792988066231,0.158233197286862,0.7830062377301081,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.47711249609348505,17,0.16064610151976108,12,29,0.31646639457372394
Random Forest,20,0.8632244962980423,0.3249676023249102,0.1581283593919212,0.7857774083935907,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.4830959617168314,15,0.16683924293298896,17,32,0.3162567187838424
Random Forest,35,0.864486291300263,0.3512174939530451,0.1568977763475496,0.7837009379162672,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.5081152703005947,3,0.1943197176054955,36,39,0.3137955526950992
Random Forest,22,0.8649278209262523,0.3353862889919756,0.1564671684672094,0.7871178041944882,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.49185345745918496,9,0.1789191205247662,27,36,0.31293433693441874
Random Forest,34,0.8655539732446125,0.3400033606360269,0.1558565047501936,0.7852693894419647,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.4958598653862205,6,0.18414685588583327,31,37,0.3117130095003873
Random Forest,33,0.8656294023059237,0.3361416522692968,0.1557829415139,0.784058768819601,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.4919245937831968,8,0.18035871075539683,29,37,0.3115658830278
Random Forest,37,0.8665460253371021,0.3534816276635086,0.1548889922128935,0.7797184933912584,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.5083706198764021,2,0.1985926354506151,37,39,0.30977798442578697
