Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
SVR,35,0.6785642296380638,0.8655426259484145,0.3382208409130737,0.6655089769312428,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1.203763466861488,5,0.5273217850353408,32,37,0.6764416818261473
SVR,29,0.6790517366844264,0.8538519502658128,0.337745392916997,0.6630012848136536,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1.19159734318281,9,0.5161065573488158,25,34,0.6754907858339941
SVR,34,0.6796801801446785,0.864050040234972,0.3371324947321323,0.6654741007996653,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1.2011825349671044,6,0.5269175455028396,31,37,0.6742649894642647
SVR,36,0.679698358369396,0.8673542995765794,0.3371147661668148,0.6669176746710643,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1.2044690657433943,4,0.5302395334097646,33,37,0.6742295323336297
SVR,38,0.680490917883375,0.8702793363498595,0.3363418115285087,0.6666549388543287,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1.2066211478783684,1,0.5339375248213508,35,36,0.6726836230570176
SVR,37,0.6806610643235187,0.8687357547399659,0.3361758738572289,0.6672996639589056,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1.2049116285971948,3,0.532559880882737,34,37,0.6723517477144578
SVR,28,0.6810267980324546,0.8516231863269537,0.3358191869943235,0.6622878904163858,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1.1874423733212771,12,0.5158039993326302,24,36,0.6716383739886469
SVR,30,0.6811364741140001,0.8553719638207707,0.3357122238774263,0.6648956285355903,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1.191084187698197,11,0.5196597399433445,27,38,0.6714244477548525
SVR,39,0.6812559761593313,0.8708569604154931,0.3355956778533149,0.6674377354521515,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1.206452638268808,2,0.5352612825621782,36,38,0.6711913557066299
SVR,33,0.6816161044793602,0.8614689450389289,0.335244457723543,0.6662920559941827,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1.196713402762472,7,0.5262244873153858,30,37,0.6704889154470861
SVR,24,0.682506716674514,0.84012536820477,0.3343758758504669,0.6604652943723757,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1.174501244055237,16,0.5057494923543031,21,37,0.6687517517009338
SVR,31,0.6830347546302509,0.8573566496248364,0.3338608995239076,0.6657879960584339,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1.191217549148744,10,0.5234957501009287,28,38,0.6677217990478153
SVR,32,0.6830624990663365,0.8595835949113978,0.3338338413785175,0.6661373951320002,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1.1934174362899153,8,0.5257497535328803,29,37,0.6676676827570349
SVR,27,0.6834498409217519,0.8499407958377605,0.3334560808716121,0.6630179993975711,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1.1833968767093725,13,0.5164847149661485,26,39,0.6669121617432241
