Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
XGBoost,38,0.736145361035205,0.9274133809125809,0.2820640453572587,0.7111029743571347,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.2094774262698396,1,0.6453493355553221,29,30,0.5641280907145174
XGBoost,18,0.7461105024356055,0.7399749807672256,0.2723454032477905,0.7125617635711596,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.0123203840150161,26,0.46762957751943507,6,32,0.5446908064955811
XGBoost,33,0.7484898466258908,0.7796230167738469,0.270024914886261,0.7156410964445626,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.049647931660108,22,0.5095981018875859,11,33,0.540049829772522
XGBoost,39,0.7591372268622287,0.8023043135430036,0.2596409099070407,0.7240330412532539,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",1.0619452234500444,19,0.5426634036359629,16,35,0.5192818198140815
XGBoost,22,0.7592240916716523,0.9023548025363662,0.2595561937990824,0.7204613516376208,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.1619109963354486,5,0.6427986087372839,27,32,0.5191123875981647
XGBoost,26,0.7598618613869712,0.9055496234951234,0.2589342000548499,0.7176244796083183,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.1644838235499733,3,0.6466154234402735,30,33,0.5178684001096998
XGBoost,37,0.7602685501459615,0.9190379287712648,0.2585375712123919,0.721059565498877,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.1775754999836567,2,0.6605003575588728,33,35,0.5170751424247839
XGBoost,36,0.7616528106155075,0.7991967693084194,0.2571875520255833,0.7210835579294318,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.0563843213340027,21,0.5420092172828361,15,36,0.5143751040511666
XGBoost,35,0.7626133346619777,0.8007992546556147,0.2562507876516421,0.72313008127338,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.0570500423072569,20,0.5445484670039726,17,37,0.5125015753032842
XGBoost,28,0.7650996731379645,0.9081319489604124,0.2538259516317392,0.7245927332663273,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",1.1619579005921516,4,0.6543059973286731,32,36,0.5076519032634785
XGBoost,15,0.767311784109517,0.8754265172089649,0.2516685597819775,0.7126477952722585,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.1270950769909425,16,0.6237579574269874,23,39,0.5033371195639551
XGBoost,16,0.7690601803735787,0.8779149021521158,0.2499634121204236,0.7152862340010165,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.1278783142725395,15,0.6279514900316921,24,39,0.49992682424084733
XGBoost,19,0.7692730030781084,0.7417796129268954,0.2497558538314855,0.7278340342618542,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",0.9915354667583809,30,0.49202375909540996,9,39,0.4995117076629709
XGBoost,24,0.7699123319214333,0.8882039996542748,0.2491323395260803,0.7269818703734618,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.137336339180355,11,0.6390716601281945,25,36,0.49826467905216054
XGBoost,34,0.7715620078771939,0.7882560370938891,0.2475234702118941,0.7271422148783268,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.0357795073057832,23,0.540732566881995,14,37,0.49504694042378816
XGBoost,31,0.7741653264590812,0.9109362072295644,0.2449845477242237,0.7190618239651793,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.155920754953788,8,0.6659516595053406,35,43,0.48996909544844736
XGBoost,21,0.7752654434625803,0.8883739849298085,0.2439116433863968,0.722268954482309,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.1322856283162053,13,0.6444623415434116,28,41,0.48782328677279363
XGBoost,13,0.7761459392778401,0.8473725291200227,0.2430529276528648,0.7265556984479591,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.0904254567728875,17,0.6043196014671579,19,36,0.4861058553057296
XGBoost,30,0.7762098523179488,0.9140448546968928,0.2429905955756782,0.720495694009137,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.157035450272571,7,0.6710542591212145,36,43,0.4859811911513565
XGBoost,17,0.7767903009006047,0.7522180867987042,0.2424245050596366,0.7300827421930968,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.9946425918583408,29,0.5097935817390675,12,41,0.4848490101192733
XGBoost,20,0.7788780496403962,0.8930028311523543,0.2403883991980869,0.7263362662655742,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.1333912303504412,12,0.6526144319542675,31,43,0.4807767983961737
XGBoost,25,0.7803159303690096,0.9001389525318838,0.238986086111297,0.7260793706620168,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.1391250386431808,10,0.6611528664205868,34,44,0.477972172222594
XGBoost,14,0.7813224600695075,0.8506241952440134,0.2380044540863568,0.7254659455563103,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.0886286493303703,18,0.6126197411576566,21,39,0.4760089081727137
XGBoost,23,0.783160544457864,0.7587285297137133,0.2362118368399303,0.7363347940475474,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",0.9949403665536436,28,0.522516692873783,13,41,0.4724236736798606
