Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
AdaBoost,31,0.6994686238795089,0.9476079285085048,0.2779408619652666,0.7344730979834722,"{'learning_rate': 0.05, 'n_estimators': 50}",1.2255487904737714,1,0.6696670665432383,2,3,0.5558817239305331
AdaBoost,33,0.7536363214023453,0.955989967612452,0.2220237276616086,0.7350123530616903,"{'learning_rate': 0.1, 'n_estimators': 200}",1.1780136952740605,2,0.7339662399508434,4,6,0.4440474553232171
AdaBoost,21,0.7621039465985511,0.948051920868762,0.2132826262860209,0.722472102517501,"{'learning_rate': 0.05, 'n_estimators': 100}",1.161334547154783,4,0.7347692945827411,5,9,0.4265652525720418
AdaBoost,32,0.7628341247234494,0.94829766135571,0.2125288658320471,0.7531958139494652,"{'learning_rate': 0.05, 'n_estimators': 100}",1.1608265271877571,5,0.7357687955236629,6,11,0.4250577316640942
AdaBoost,20,0.7641137004547631,0.9450971736789828,0.2112079640530965,0.743238259487055,"{'learning_rate': 0.1, 'n_estimators': 50}",1.1563051377320792,6,0.7338892096258863,3,9,0.4224159281061929
AdaBoost,25,0.7732748023960159,0.960073421141573,0.2017509889360985,0.7478347257447551,"{'learning_rate': 0.1, 'n_estimators': 50}",1.1618244100776716,3,0.7583224322054745,8,11,0.4035019778721971
AdaBoost,17,0.7793630028501378,0.9423493992389164,0.1954661598215288,0.7460913560511813,"{'learning_rate': 0.1, 'n_estimators': 200}",1.137815559060445,7,0.7468832394173875,7,14,0.3909323196430575
AdaBoost,28,0.7975105346126924,0.9483238902984296,0.1767325230370068,0.7359711440790221,"{'learning_rate': 0.05, 'n_estimators': 200}",1.1250564133354364,8,0.7715913672614227,9,17,0.35346504607401363
AdaBoost,27,0.8062164465558812,0.9403285148631234,0.1677454390436753,0.719411367660694,"{'learning_rate': 0.05, 'n_estimators': 100}",1.1080739539067987,9,0.7725830758194481,10,19,0.3354908780873507
AdaBoost,23,0.8179420825146381,0.9415423139023542,0.1556411039752484,0.7603892132829003,"{'learning_rate': 0.05, 'n_estimators': 100}",1.0971834178776025,11,0.7859012099271058,11,22,0.31128220795049677
AdaBoost,34,0.8189796403087022,0.9436991782746458,0.1545700365093656,0.7639995413112762,"{'learning_rate': 0.1, 'n_estimators': 100}",1.0982692147840114,10,0.7891291417652802,12,22,0.30914007301873125
AdaBoost,29,0.8254656381404732,0.9469302862372232,0.1478745624826271,0.7537891992600806,"{'learning_rate': 0.1, 'n_estimators': 200}",1.0948048487198503,12,0.7990557237545961,13,25,0.2957491249652542
AdaBoost,26,0.8356736797728141,0.9431150607646176,0.1373368349985986,0.7458019983495892,"{'learning_rate': 0.05, 'n_estimators': 100}",1.080451895763216,13,0.805778225766019,14,27,0.2746736699971971
AdaBoost,22,0.8445710486993045,0.9474456096993464,0.1281521105970858,0.7872834142511463,"{'learning_rate': 0.1, 'n_estimators': 200}",1.0755977202964322,14,0.8192934991022607,15,29,0.2563042211941715
AdaBoost,24,0.8465103426553954,0.946215660404113,0.1261501838851134,0.7710634737063705,"{'learning_rate': 0.1, 'n_estimators': 200}",1.0723658442892263,15,0.8200654765189996,16,31,0.2523003677702267
AdaBoost,19,0.8599970802360141,0.937444586189224,0.1122278694596994,0.7683514625782617,"{'learning_rate': 0.1, 'n_estimators': 100}",1.0496724556489234,17,0.8252167167295246,17,34,0.22445573891939885
AdaBoost,30,0.8604359559846579,0.947570074441915,0.1117748194815423,0.7699297275082598,"{'learning_rate': 0.05, 'n_estimators': 200}",1.0593448939234573,16,0.8357952549603727,19,35,0.22354963896308466
AdaBoost,16,0.8697570868959593,0.9374562272807044,0.1021526469900961,0.78261025610232,"{'learning_rate': 0.1, 'n_estimators': 100}",1.0396088742708005,18,0.8353035802906084,18,36,0.20430529398019215
AdaBoost,15,0.8891518611072811,0.9317519406635244,0.0821314859668426,0.7919085386275788,"{'learning_rate': 0.05, 'n_estimators': 100}",1.013883426630367,19,0.8496204546966818,21,40,0.1642629719336851
AdaBoost,14,0.8904175284826229,0.9256535296104628,0.0808249417375828,0.7927295119935772,"{'learning_rate': 0.1, 'n_estimators': 100}",1.0064784713480455,20,0.84482858787288,20,40,0.1616498834751655
AdaBoost,18,0.9023476551585718,0.9305411222445789,0.0685095115807545,0.8051116278013893,"{'learning_rate': 0.05, 'n_estimators': 50}",0.9990506338253333,21,0.8620316106638244,22,43,0.13701902316150893
AdaBoost,1,0.9448072345448776,0.4256978132906167,0.0246786287558024,0.8630900603092025,"{'learning_rate': 0.1, 'n_estimators': 50}",0.4503764420464191,30,0.4010191845348143,1,31,0.0493572575116048
AdaBoost,13,1.008251555926234,0.9199627633716968,-0.0408147335564892,0.8614872186980563,"{'learning_rate': 0.05, 'n_estimators': 100}",0.8791480298152076,22,0.960777496928186,24,46,-0.08162946711297847
AdaBoost,10,1.068167562974503,0.8908062765849443,-0.1026658286975472,0.839183447678759,"{'learning_rate': 0.05, 'n_estimators': 100}",0.788140447887397,23,0.9934721052824915,25,48,-0.2053316573950945
AdaBoost,11,1.096902622737732,0.9161405611829536,-0.1323289354841466,0.8838790903094366,"{'learning_rate': 0.1, 'n_estimators': 200}",0.783811625698807,24,1.0484694966671002,28,52,-0.2646578709682932
AdaBoost,12,1.1035089821864297,0.9006772712568014,-0.1391486584084098,0.8778085186318335,"{'learning_rate': 0.05, 'n_estimators': 100}",0.7615286128483916,25,1.0398259296652113,26,51,-0.2782973168168197
AdaBoost,9,1.1209189802574535,0.8911051329080841,-0.1571209416119456,0.8946933328361686,"{'learning_rate': 0.1, 'n_estimators': 100}",0.7339841912961386,26,1.0482260745200298,27,53,-0.31424188322389124
AdaBoost,2,1.155228065409204,0.697727374822302,-0.1925380963000746,0.8874004275379239,"{'learning_rate': 0.05, 'n_estimators': 200}",0.5051892785222274,29,0.8902654711223765,23,52,-0.38507619260014914
AdaBoost,7,1.1768436467689625,0.8855089958856616,-0.2148517891690708,0.8678960322251863,"{'learning_rate': 0.05, 'n_estimators': 100}",0.6706572067165908,27,1.1003607850547323,29,56,-0.42970357833814155
AdaBoost,8,1.201570246895172,0.8847258261503562,-0.2403769763813796,0.9032504578760454,"{'learning_rate': 0.05, 'n_estimators': 100}",0.6443488497689767,28,1.1251028025317358,30,58,-0.4807539527627591
AdaBoost,6,1.4344015059021151,0.852890777733381,-0.4807279120011243,0.956946355563535,"{'learning_rate': 0.1, 'n_estimators': 50}",0.37216286573225665,31,1.3336186897345053,31,62,-0.9614558240022486
AdaBoost,5,2.1613475044051453,0.8735685162514275,-1.2311518526285394,1.0669644912006724,"{'learning_rate': 0.05, 'n_estimators': 200}",-0.3575833363771119,32,2.104720368879967,32,64,-2.462303705257079
AdaBoost,4,2.223660166322414,0.8475835175159362,-1.2954770066334218,1.1453606489268808,"{'learning_rate': 0.1, 'n_estimators': 200}",-0.4478934891174856,33,2.143060524149358,34,67,-2.5909540132668436
AdaBoost,3,2.2459485510346533,0.8186197362123988,-1.3184852321693232,1.135250249511215,"{'learning_rate': 0.1, 'n_estimators': 200}",-0.4998654959569244,34,2.1371049683817223,33,67,-2.6369704643386465
