Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
AdaBoost,14,0.9044456728639606,0.944222296922782,0.1320522069786865,0.7556817975896193,"{'learning_rate': 0.1, 'n_estimators': 200}",1.0762745039014685,1,0.8121700899440956,4,5,0.26410441395737294
AdaBoost,19,0.9280549594236068,0.9595854760669832,0.1093956464145068,0.7962328391369834,"{'learning_rate': 0.1, 'n_estimators': 200}",1.06898112248149,2,0.8501898296524764,7,9,0.21879129282901366
AdaBoost,11,0.9544299468771388,0.923496842737877,0.0840849916807967,0.7932861995540407,"{'learning_rate': 0.05, 'n_estimators': 100}",1.0075818344186738,5,0.8394118510570803,5,10,0.1681699833615935
AdaBoost,12,0.9567231286012138,0.9289590727657556,0.0818843487056303,0.7878076132270856,"{'learning_rate': 0.05, 'n_estimators': 100}",1.010843421471386,4,0.8470747240601253,6,10,0.16376869741126066
AdaBoost,21,0.9572918290132558,0.9557740745961232,0.0813385975540336,0.8133578595499226,"{'learning_rate': 0.1, 'n_estimators': 200}",1.0371126721501567,3,0.8744354770420896,10,13,0.1626771951080671
AdaBoost,2,0.9700508103702752,0.7685003572816781,0.0690944904260085,0.7815330254017733,"{'learning_rate': 0.1, 'n_estimators': 50}",0.8375948477076866,27,0.6994058668556696,2,29,0.13818898085201692
AdaBoost,10,0.9720335156816086,0.922343171343306,0.0671917949399057,0.8182783735187417,"{'learning_rate': 0.05, 'n_estimators': 200}",0.9895349662832117,9,0.8551513764034003,8,17,0.13438358987981136
AdaBoost,4,0.9764356494824016,0.8656877152092899,0.0629673042583546,0.7613766405086452,"{'learning_rate': 0.1, 'n_estimators': 50}",0.9286550194676445,18,0.8027204109509353,3,21,0.12593460851670923
AdaBoost,22,0.988296007684172,0.9476928200641666,0.0515855573668339,0.8550497887428622,"{'learning_rate': 0.1, 'n_estimators': 50}",0.9992783774310005,6,0.8961072626973327,11,17,0.1031711147336678
AdaBoost,18,0.996051508771652,0.9523687798133156,0.0441430207340503,0.8493681303725674,"{'learning_rate': 0.05, 'n_estimators': 200}",0.9965118005473659,8,0.9082257590792653,16,24,0.0882860414681006
AdaBoost,1,0.9966871166505404,0.646017494413986,0.0435330620905851,0.7914199943918824,"{'learning_rate': 0.1, 'n_estimators': 50}",0.6895505565045711,28,0.602484432323401,1,29,0.0870661241811701
AdaBoost,15,1.0021453837003649,0.9437761664692116,0.0382950572200277,0.8014870388228696,"{'learning_rate': 0.1, 'n_estimators': 50}",0.9820712236892393,10,0.9054811092491839,15,25,0.07659011444005537
AdaBoost,13,1.0028993515513314,0.9371568385145266,0.0375715148869837,0.833115887340974,"{'learning_rate': 0.1, 'n_estimators': 200}",0.9747283534015103,12,0.8995853236275428,12,24,0.07514302977396747
AdaBoost,24,1.010652735443619,0.9668488465031924,0.0301310100123803,0.873034700547256,"{'learning_rate': 0.1, 'n_estimators': 200}",0.9969798565155726,7,0.9367178364908121,22,29,0.060262020024760554
AdaBoost,28,1.0134858043771022,0.9493232991349853,0.0274122663641216,0.8646621398552347,"{'learning_rate': 0.05, 'n_estimators': 50}",0.9767355654991069,11,0.9219110327708636,18,29,0.05482453272824328
AdaBoost,9,1.0203786245109112,0.9235408302999156,0.0207975981730647,0.8474767748871844,"{'learning_rate': 0.1, 'n_estimators': 200}",0.9443384284729803,15,0.9027432321268509,13,28,0.041595196346129404
AdaBoost,7,1.0281634253744376,0.8827627072730899,0.0133269441234826,0.826242564374187,"{'learning_rate': 0.05, 'n_estimators': 50}",0.8960896513965725,22,0.8694357631496074,9,31,0.02665388824696513
AdaBoost,20,1.0367779527286796,0.941281243428066,0.0050600462551343,0.8749432198413313,"{'learning_rate': 0.1, 'n_estimators': 50}",0.9463412896832003,14,0.9362211971729316,21,35,0.010120092510268686
