Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
MLP,1,0.94878575222966,0.1089064672974651,0.089501421251574,0.8508124692546266,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",0.1984078885490391,4,0.019405046045891106,1,5,0.179002842503148
MLP,2,0.9515631403068552,0.3197639576436666,0.0868361115217679,0.8093464474881468,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",0.4066000691654345,2,0.2329278461218987,2,4,0.1736722230435358
MLP,4,0.9947395881065324,0.7369442822794876,0.0454020003279312,0.8226271962284276,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",0.7823462826074188,1,0.6915422819515564,4,5,0.09080400065586236
MLP,3,1.5514098736152269,0.7148371834847684,-0.4888044868542889,0.9188828135330596,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",0.22603269663047953,3,1.2036416703390573,5,8,-0.9776089737085778
MLP,24,2.2646551293053023,0.0551003591113467,-1.173267538790673,1.248483340828917,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",-1.1181671796793262,11,1.2283678979020198,6,17,-2.346535077581346
MLP,13,2.484363807540794,0.9871965020506838,-1.3841101223792265,1.2199643466370755,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.3969136203285427,5,2.37130662442991,10,15,-2.768220244758453
MLP,10,2.7622265439745584,0.9249841582074696,-1.6507600230712978,1.319340139426638,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.7257758648638282,6,2.5757441812787674,11,17,-3.3015200461425955
MLP,7,2.785366676289057,-1.2597321061671245,-1.6729663615780566,1.3611237805820913,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",-2.932698467745181,27,0.41323425541093206,3,30,-3.345932723156113
MLP,9,3.0502470470398264,0.9542824412033558,-1.927157785237372,1.361794923105874,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.9728753440340162,7,2.881440226440728,12,19,-3.854315570474744
MLP,5,3.0701271339526044,0.3046401213007133,-1.9462356337789863,1.4357624619241067,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",-1.641595512478273,21,2.2508757550797,9,30,-3.8924712675579727
