Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
SVR,7,0.7418617854687368,0.8082554905176071,0.2880752059042788,0.7022453969822277,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.096330696421886,1,0.5201802846133283,28,29,0.5761504118085576
SVR,21,0.7543197827245853,0.7005438292429551,0.2761199370052195,0.6938046262411448,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9766637662481745,3,0.42442389223773563,15,18,0.5522398740104388
SVR,24,0.7577459676329811,0.7040216233785079,0.2728320119048555,0.6970105853309487,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9768536352833634,2,0.4311896114736524,19,21,0.545664023809711
SVR,22,0.7580908057211171,0.7017946558216248,0.2725010893668554,0.6944818555559268,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9742957451884802,5,0.4292935664547694,17,22,0.5450021787337107
SVR,25,0.7594240741915516,0.7041671260145899,0.2712216234341431,0.7004202375076053,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.975388749448733,4,0.4329455025804468,20,24,0.5424432468682863
SVR,20,0.760780300214296,0.6980328755277997,0.2699201263751195,0.6970942073878383,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9679530019029192,10,0.4281127491526802,16,26,0.5398402527502391
SVR,14,0.762685151605706,0.670908873969388,0.2680921431022572,0.7128979653770301,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9390010170716452,14,0.4028167308671308,14,28,0.5361842862045143
SVR,23,0.7632418378390264,0.7030267622307615,0.2675579213108192,0.6978420131011531,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9705846835415808,8,0.43546884091994237,22,30,0.5351158426216385
SVR,19,0.7641721233693644,0.6970737962883632,0.2666651763984801,0.7004429741601138,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9637389726868433,11,0.4304086198898831,18,29,0.5333303527969602
SVR,27,0.7672294743489605,0.7080483477692225,0.2637312013518316,0.7097049934997335,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9717795491210541,6,0.44431714641739095,26,32,0.5274624027036632
SVR,26,0.7673270366994432,0.7072990586204444,0.2636375760194053,0.7066941438245037,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9709366346398497,7,0.4436614826010391,25,32,0.5272751520388106
SVR,28,0.7705044687799871,0.7084462588154983,0.260588365608513,0.7110219495966877,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9690346244240113,9,0.44785789320698527,27,36,0.5211767312170261
SVR,17,0.7774485382057593,0.6899365088783203,0.2539245162325734,0.7086235378225431,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9438610251108936,13,0.43601199264574686,23,36,0.5078490324651468
SVR,18,0.7786845073448191,0.6920932181509606,0.2527384232270174,0.7141778147159942,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.944831641377978,12,0.4393547949239432,24,36,0.5054768464540349
SVR,16,0.7816815808751406,0.6841605466503864,0.2498622932015091,0.7123215720727335,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9340228398518955,15,0.4342982534488773,21,36,0.4997245864030182
SVR,8,0.9336110289348984,0.2969388565996299,0.1040637857899451,0.8474635022493872,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.40100264238957495,16,0.19287507080968477,13,29,0.20812757157989017
SVR,1,0.9616773075774308,0.1143955111331161,0.0771300900059074,0.8786294338987792,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.1915256011390235,27,0.03726542112720871,1,28,0.1542601800118148
SVR,9,0.976995100446288,0.1636480169928983,0.0624304293039186,0.9061437485249116,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.2260784462968169,17,0.1012175876889797,4,21,0.12486085860783719
SVR,2,0.9775670889377132,0.1436183306416836,0.0618815227596548,0.8961557054351568,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.20549985340133842,26,0.0817368078820288,2,28,0.12376304551930961
SVR,12,0.9825310332178078,0.1612819878240299,0.0571178928238224,0.9089176352930328,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.2183998806478523,21,0.10416409500020749,5,26,0.1142357856476448
SVR,11,0.9830800630714308,0.162753911447413,0.0565910184475582,0.9088507279030804,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.2193449298949712,20,0.10616289299985479,7,27,0.11318203689511641
SVR,3,0.9831575861022368,0.1607718245816668,0.05651662377078,0.8967213161164845,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.21728844835244682,22,0.10425520081088681,6,28,0.11303324754156001
SVR,10,0.983905312421062,0.1642851765374345,0.0557990710999231,0.9094421167058908,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.2200842476373576,19,0.10848610543751139,9,28,0.1115981421998462
SVR,13,0.9845184799586852,0.1614962840075279,0.05521064724319,0.9107081989886848,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.2167069312507179,23,0.10628563676433792,8,31,0.11042129448638
SVR,15,0.9854734864257536,0.1659878539820033,0.054294178979498,0.910005223696389,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.2202820329615013,18,0.1116936750025053,10,28,0.10858835795899602
SVR,6,0.9939103242752384,0.1442195137885508,0.0461978001573726,0.9112727789206868,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.1904173139459234,28,0.0980217136311782,3,31,0.0923956003147452
SVR,4,0.9974711984324816,0.1655918263635691,0.0427806210401136,0.8617278002712113,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.2083724474036827,25,0.12281120532345549,11,36,0.0855612420802272
SVR,5,0.9987486896077612,0.1686701837006212,0.0415546815730397,0.8646867843380237,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.2102248652736609,24,0.1271155021275815,12,36,0.08310936314607942
