Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
KNN,28,0.8320228222300762,0.3478627459400456,0.1411056031182834,0.8203670003742178,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.48896834905832903,3,0.20675714282176222,4,7,0.2822112062365668
KNN,30,0.8493251476262278,0.3193903503974529,0.1232444700595205,0.807474326101882,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.4426348204569734,6,0.1961458803379324,3,9,0.246488940119041
KNN,29,0.8646683357639205,0.3777729425899484,0.1074057478878801,0.834850870377501,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.4851786904778285,4,0.2703671947020683,12,16,0.2148114957757602
KNN,26,0.8765751030286888,0.3020212480423918,0.0951144315736551,0.8288157131338098,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.3971356796160469,8,0.20690681646873668,5,13,0.19022886314731022
KNN,24,0.8785398684497917,0.2674688887935522,0.093086210752922,0.8255528732780766,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.3605550995464742,10,0.17438267804063018,2,12,0.186172421505844
KNN,31,0.8983558778703395,0.3079525078765964,0.0726302100217817,0.8303537816629397,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.3805827178983781,9,0.23532229785481468,10,19,0.14526042004356343
KNN,16,0.9056450989246172,0.6267318457164401,0.0651055713293345,0.7899000390040948,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.6918374170457746,1,0.5616262743871057,23,24,0.13021114265866895
KNN,21,0.908182399629,0.2738382703842281,0.0624863242366199,0.8407437202056883,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.33632459462084796,13,0.2113519461476082,6,19,0.12497264847323977
KNN,25,0.9192616275307488,0.3063063150926589,0.0510492740592197,0.8600437278729577,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.3573555891518786,11,0.25525704103343916,11,22,0.10209854811843944
KNN,34,0.9239270699971516,0.3769845183917437,0.04623315329149,0.8585673435975195,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.42321767168323365,7,0.3307513651002537,16,23,0.09246630658297994
KNN,22,0.9264315509690444,0.2679787095589614,0.0436477858996555,0.8562556214563931,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.3116264954586169,15,0.2243309236593059,7,22,0.08729557179931102
KNN,17,0.935843457894924,0.4091500927773338,0.0339319056297573,0.8664020358245212,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.44308199840709106,5,0.3752181871475765,17,22,0.06786381125951457
KNN,23,0.94304329132966,0.2572256386256423,0.0264995414801759,0.8595143387102591,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.2837251801058182,18,0.23072609714546638,8,26,0.05299908296035183
