Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
SVR,14,0.4440128327369294,0.5988592091400835,0.5623579667851609,0.6377994418402406,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.1612171759252443,7,0.03650124235492258,1,8,1.1247159335703216
SVR,16,0.4505665663293671,0.6130900477600063,0.555898267688486,0.6402885272955058,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.1689883154484924,4,0.05719178007152026,3,7,1.111796535376972
SVR,15,0.4581006681739383,0.6032712313541544,0.5484722668916592,0.6461963474456248,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.1517434982458137,14,0.054798964462495214,2,16,1.0969445337833186
SVR,29,0.4800525707938591,0.6633868150937319,0.5268353352825037,0.6595366544089077,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.1902221503762356,1,0.13655147981122817,12,13,1.0536706705650074
SVR,19,0.4864179771745318,0.6369556038609783,0.5205612612349033,0.6623937192678357,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.1575168650958816,10,0.11639434262607495,5,15,1.0411225224698066
SVR,22,0.4887943790700601,0.645393486498133,0.5182189565071686,0.6660005190228241,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.1636124430053016,6,0.12717452999096435,8,14,1.0364379130143373
SVR,17,0.4893075110170675,0.6311362296891782,0.5177131870968307,0.6647588693927231,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.1488494167860088,16,0.11342304259234748,4,20,1.0354263741936613
SVR,26,0.4893466104024549,0.6540641544644401,0.51767464871853,0.6630355856215575,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.17173880318297,3,0.13638950574591013,11,14,1.03534929743706
SVR,20,0.4908029904447067,0.6402582221201373,0.5162391651562739,0.6680589352487983,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.1564973872764113,11,0.1240190569638634,7,18,1.0324783303125478
SVR,28,0.4912687060477045,0.6591763728166498,0.5157801317491999,0.6664635307596958,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.1749565045658497,2,0.14339624106744986,17,19,1.0315602634983998
SVR,23,0.4920173623320469,0.6437336441831403,0.515042217359566,0.6673673343954643,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.1587758615427064,8,0.12869142682357426,9,17,1.0300844347191322
SVR,21,0.493491253776387,0.6423861409080893,0.5135894736528969,0.6703105666858709,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.1559756145609863,12,0.12879666725519245,10,22,1.027178947305794
SVR,18,0.4935419273180159,0.6358331837994822,0.5135395271870437,0.6675500422368934,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.1493727109865257,15,0.12229365661243852,6,21,1.027079054374087
SVR,27,0.4959100891227336,0.657539155610515,0.5112053443193776,0.6667363212960292,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.1687444999298926,5,0.14633381129113743,18,23,1.0224106886387552
SVR,25,0.496841310193801,0.6482877244321363,0.5102874846250929,0.6687187839033751,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.1585752090572292,9,0.13800023980704346,13,22,1.0205749692501858
SVR,24,0.5010075095622976,0.647485948284376,0.5061810628553252,0.6708412320777479,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.1536670111397012,13,0.14130488542905084,16,29,1.0123621257106503
SVR,5,0.7254327811799447,0.7583800151439778,0.2849758972971211,0.7679225288116466,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1.043355912441099,17,0.4734041178468567,21,38,0.5699517945942423
SVR,3,0.753988306116634,0.7310549352003064,0.2568300936819943,0.7757253576432102,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.9878850288823007,19,0.4742248415183121,22,41,0.5136601873639886
SVR,2,0.7610773322228455,0.6172320825231363,0.2498427825731876,0.7044517516357677,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8670748650963239,21,0.36738929994994873,20,41,0.4996855651463752
SVR,4,0.765419621881187,0.7395235704413845,0.2455627970980599,0.7849236181603175,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.9850863675394443,20,0.4939607733433246,23,43,0.49112559419611973
SVR,1,0.8633326502514191,0.2964105474049633,0.1490546476600479,0.8388545570179247,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.4454651950650112,22,0.14735589974491542,19,41,0.2981092953200958
SVR,8,1.0137874676259648,0.9902611753779584,0.000758591041847,0.9192474315345808,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.9910197664198054,18,0.9895025843361115,24,42,0.001517182083693891
SVR,6,1.0231672816267257,0.1312879715300647,-0.0084866392033384,0.9308148421577204,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.12280133232672628,24,0.13977461073340308,14,38,-0.016973278406676798
SVR,7,1.0231902979405123,0.132219710853512,-0.0085093252736954,0.930890382455588,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.1237103855798166,23,0.1407290361272074,15,38,-0.01701865054739081
