Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
AdaBoost,22,0.9316045605210558,0.976134086805693,-0.0933619989596712,0.7512015891257331,"{'learning_rate': 0.1, 'n_estimators': 200}",0.8827720878460218,1,1.0694960857653641,1,2,-0.18672399791934235
AdaBoost,32,0.952912107023131,0.97787469432323,-0.1183692419720978,0.7775837117395871,"{'learning_rate': 0.05, 'n_estimators': 100}",0.8595054523511323,2,1.0962439362953278,2,4,-0.2367384839441955
AdaBoost,27,0.9728146549048629,0.9643196903993032,-0.1417275320218911,0.7808054362775785,"{'learning_rate': 0.05, 'n_estimators': 50}",0.8225921583774121,3,1.1060472224211944,4,7,-0.2834550640437823
AdaBoost,20,0.9830419172952862,0.9482672833384348,-0.1537305862414026,0.7608589174359992,"{'learning_rate': 0.05, 'n_estimators': 50}",0.7945366970970322,9,1.1019978695798374,3,12,-0.30746117248280513
AdaBoost,24,0.9889571054495516,0.9736808897892102,-0.160672847173394,0.7910470436452224,"{'learning_rate': 0.1, 'n_estimators': 200}",0.8130080426158162,4,1.1343537369626042,7,11,-0.32134569434678806
AdaBoost,21,0.9890624398445416,0.96852760291922,-0.160796471111646,0.7947564754407532,"{'learning_rate': 0.1, 'n_estimators': 100}",0.807731131807574,5,1.129324074030866,5,10,-0.32159294222329204
AdaBoost,25,0.9944339431292252,0.9634586338825926,-0.1671006454551844,0.7715712795906742,"{'learning_rate': 0.1, 'n_estimators': 50}",0.7963579884274081,8,1.130559279337777,6,14,-0.3342012909103689
AdaBoost,29,1.0008854045482518,0.979813349700268,-0.1746722944704841,0.800993321659511,"{'learning_rate': 0.1, 'n_estimators': 200}",0.805141055229784,6,1.154485644170752,8,14,-0.3493445889409681
AdaBoost,31,1.0033049364628783,0.9792729124173708,-0.1775119373434683,0.7885652004692462,"{'learning_rate': 0.1, 'n_estimators': 100}",0.8017609750739025,7,1.156784849760839,9,16,-0.3550238746869365
AdaBoost,26,1.019085892271626,0.9780734151984432,-0.1960329902877515,0.79510680733076,"{'learning_rate': 0.1, 'n_estimators': 200}",0.7820404249106916,10,1.1741064054861947,12,22,-0.3920659805755031
AdaBoost,33,1.025826906032981,0.979624609087387,-0.2039444675319244,0.8078763828962033,"{'learning_rate': 0.1, 'n_estimators': 200}",0.7756801415554626,11,1.1835690766193114,13,24,-0.4078889350638488
AdaBoost,23,1.028047605676427,0.9672198891474376,-0.2065507542592981,0.7858442349618276,"{'learning_rate': 0.1, 'n_estimators': 50}",0.7606691348881395,12,1.1737706434067356,11,23,-0.41310150851859617
AdaBoost,19,1.029467782523806,0.9653684071738616,-0.208217520892405,0.8047638232818584,"{'learning_rate': 0.05, 'n_estimators': 100}",0.7571508862814567,13,1.1735859280662666,10,23,-0.41643504178480995
AdaBoost,28,1.0423781136492198,0.9648982699911216,-0.2233695135346682,0.7678376375100672,"{'learning_rate': 0.1, 'n_estimators': 50}",0.7415287564564534,14,1.1882677835257898,14,28,-0.4467390270693363
AdaBoost,17,1.0535768292104677,0.9523942743389888,-0.2365126974033453,0.8262598470722046,"{'learning_rate': 0.1, 'n_estimators': 50}",0.7158815769356435,15,1.1889069717423342,15,30,-0.4730253948066907
AdaBoost,18,1.076208178554111,0.9685318812085588,-0.2630735993204434,0.8463382287967864,"{'learning_rate': 0.1, 'n_estimators': 100}",0.7054582818881154,16,1.2316054805290022,16,32,-0.5261471986408868
AdaBoost,15,1.0875335510687452,0.9674320620602188,-0.276365431988842,0.829097953972655,"{'learning_rate': 0.1, 'n_estimators': 200}",0.6910666300713768,17,1.2437974940490608,17,34,-0.552730863977684
AdaBoost,30,1.1031909550758028,0.9743159689557068,-0.2947414804423844,0.8478119070811998,"{'learning_rate': 0.05, 'n_estimators': 100}",0.6795744885133224,18,1.2690574493980913,19,37,-0.5894829608847689
AdaBoost,11,1.104444978614707,0.957771665471019,-0.296213244043962,0.820577474796015,"{'learning_rate': 0.05, 'n_estimators': 200}",0.661558421427057,19,1.253984909514981,18,37,-0.5924264880879241
AdaBoost,14,1.1266049093580364,0.9675448098110626,-0.3222208734621596,0.8395321569894139,"{'learning_rate': 0.1, 'n_estimators': 200}",0.645323936348903,20,1.2897656832732223,20,40,-0.6444417469243193
AdaBoost,13,1.1596067713026794,0.9587007663008856,-0.360952952795267,0.8692621130975172,"{'learning_rate': 0.05, 'n_estimators': 200}",0.5977478135056187,22,1.3196537190961526,21,43,-0.7219059055905339
AdaBoost,16,1.1596370648916472,0.96575035484906,-0.3609885063556433,0.8750514519310639,"{'learning_rate': 0.1, 'n_estimators': 100}",0.6047618484934167,21,1.3267388612047033,22,43,-0.7219770127112866
AdaBoost,12,1.1705561897457464,0.964258900199326,-0.3738035533007666,0.8430650071959855,"{'learning_rate': 0.1, 'n_estimators': 100}",0.5904553468985594,23,1.3380624535000927,24,47,-0.7476071066015333
AdaBoost,9,1.1906381572411582,0.952958387182914,-0.3973724161577128,0.8761931221318544,"{'learning_rate': 0.1, 'n_estimators': 200}",0.5555859710252012,25,1.350330803340627,25,50,-0.7947448323154257
AdaBoost,7,1.192904401488836,0.9374132476752622,-0.4000321555426149,0.9047379844687824,"{'learning_rate': 0.1, 'n_estimators': 200}",0.5373810921326474,26,1.337445403217877,23,49,-0.8000643110852297
AdaBoost,10,1.1937276571907816,0.9588884976292308,-0.4009983557289154,0.8606387909633023,"{'learning_rate': 0.1, 'n_estimators': 100}",0.5578901419003154,24,1.3598868533581463,26,50,-0.8019967114578309
