Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Gradient Boosting,20,0.8621019299941974,0.9489061797950924,-0.0117914074596698,0.7473807067497713,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9371147723354226,1,0.9606975872547622,1,2,-0.023582814919339556
Gradient Boosting,22,0.8724571233424084,0.9408753460433656,-0.023944605692707,0.7622270633664634,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9169307403506587,2,0.9648199517360726,2,4,-0.04788921138541391
Gradient Boosting,21,0.8893637829880047,0.9383480149702108,-0.0437868219818813,0.7634799410442277,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.8945611929883295,3,0.9821348369520921,3,6,-0.08757364396376266
Gradient Boosting,19,0.9034765408904416,0.9411443722886684,-0.0603500225553219,0.768195991708226,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.8807943497333466,5,1.0014943948439903,4,9,-0.1207000451106437
Gradient Boosting,24,0.9048614849012244,0.9533740725763324,-0.0619754387632782,0.7639433205911171,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.8913986338130543,4,1.0153495113396107,5,9,-0.12395087752655642
Gradient Boosting,23,0.9127427482138106,0.9514866316334536,-0.0712251506849941,0.7687315449944675,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.8802614809484595,6,1.0227117823184477,6,12,-0.14245030136998826
Gradient Boosting,18,0.98360377517744,0.9930832517841012,-0.1543900012799244,0.7801016092592923,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.8386932505041768,7,1.1474732530640255,8,15,-0.3087800025598487
Gradient Boosting,17,0.9895767117804286,0.9920391761303022,-0.1614000377059485,0.7871943969779043,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",0.8306391384243538,8,1.1534392138362508,11,19,-0.32280007541189704
Gradient Boosting,27,0.9944090903925684,0.993977961095354,-0.1670714774594681,0.8007115466947796,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.8269064836358859,9,1.161049438554822,14,23,-0.3341429549189361
Gradient Boosting,25,0.9953014093779337,0.990445663633054,-0.1681187326049373,0.7917559343194804,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.8223269310281167,10,1.1585643962379912,12,22,-0.3362374652098745
Gradient Boosting,13,1.0128618986916158,0.9357981556277928,-0.1887283050698669,0.8268086791347591,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.7470698505579259,19,1.1245264606976597,7,26,-0.37745661013973386
Gradient Boosting,8,1.0169697750130202,0.9828761207779996,-0.1935494449145858,0.8032380242923988,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",0.7893266758634138,13,1.1764255656925853,15,28,-0.3870988898291715
Gradient Boosting,30,1.019713625631356,0.9948089807416391,-0.1967697189708144,0.7947701864074688,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.7980392617708247,11,1.1915786997124536,17,28,-0.3935394379416288
