Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
KNN,25,0.7768293018896918,0.5312185936516354,0.0882873760412829,0.6747199985355374,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.6195059696929183,1,0.4429312176103525,4,5,0.1765747520825658
KNN,16,0.7933141858415037,0.5340749570069536,0.0689401696900277,0.6729961372327118,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.6030151266969813,3,0.4651347873169259,6,9,0.1378803393800554
KNN,27,0.8056786536661656,0.5283843696921682,0.0544288203152633,0.7088939148296957,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.5828131900074315,4,0.47395554937690487,9,13,0.10885764063052661
KNN,21,0.8113528277967916,0.5602060497596917,0.0477694214320755,0.7339203779587172,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.6079754711917672,2,0.5124366283276162,14,16,0.09553884286415104
KNN,20,0.8231166801492121,0.4688365360429788,0.0339629742885418,0.7275321711629567,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.5027995103315206,9,0.43487356175443703,3,12,0.06792594857708356
KNN,31,0.8330563266770863,0.5477978214772113,0.0222974755810315,0.7259344283653216,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.5700952970582428,6,0.5255003458961799,16,22,0.04459495116206291
KNN,29,0.8385889845476469,0.5522866053861661,0.0158041648725344,0.7233493857521506,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.5680907702587006,7,0.5364824405136317,17,24,0.031608329745068886
KNN,24,0.8496148417005138,0.5717270060133526,0.0028638533629388,0.7293067714936537,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.5745908593762914,5,0.5688631526504138,20,25,0.005727706725877635
KNN,7,0.8566339924569863,0.3172156095058989,-0.0053740546801515,0.8174062233463574,"{'metric': 'chebyshev', 'n_neighbors': 5, 'weights': 'uniform'}",0.3118415548257474,26,0.3225896641860504,1,27,-0.010748109360303015
KNN,23,0.8752172071022329,0.4505076949271909,-0.0271839315019859,0.7165391342712345,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.423323763425205,15,0.4776916264291768,10,25,-0.054367863003971784
KNN,6,0.8851933143593078,0.4136783854940452,-0.0388922217301175,0.7835008588518088,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.3747861637639277,20,0.45257060722416265,5,25,-0.07778444346023494
KNN,28,0.8915403615017167,0.5258346478148923,-0.0463413266885925,0.7501691348473863,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.47949332112629983,10,0.5721759745034848,22,32,-0.09268265337718495
KNN,13,0.8937940803723229,0.4393084937794306,-0.0489863658756926,0.7545451117079052,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.390322127903738,18,0.4882948596551232,12,30,-0.09797273175138521
KNN,19,0.8945159834995009,0.5227057042786194,-0.0498336153199687,0.7757188697148576,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.4728720889586507,11,0.5725393195985881,23,34,-0.09966723063993738
KNN,12,0.8969050412064055,0.413433745297832,-0.0526374926524177,0.7716271215606356,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.3607962526454143,22,0.4660712379502497,8,30,-0.10527498530483537
KNN,18,0.8971569520752949,0.5010441331369848,-0.0529331436000843,0.7644366150789411,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.44811098953690054,13,0.5539772767370691,19,32,-0.10586628720016855
KNN,32,0.9074040153392334,0.4416107152492171,-0.064959436781238,0.7753724412844795,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.3766512784679791,19,0.5065701520304551,13,32,-0.129918873562476
KNN,5,0.908097866422867,0.4223445579429438,-0.0657737634171635,0.8122660910984842,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.3565707945257803,23,0.4881183213601073,11,34,-0.13154752683432702
KNN,17,0.9259720296543276,0.6028128928923985,-0.0867514739916486,0.8023910416343695,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.5160614189007499,8,0.6895643668840471,29,37,-0.17350294798329724
KNN,10,0.926519235557112,0.323178359781936,-0.0873936929814058,0.7821318478335497,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.23578466680053017,30,0.4105720527633418,2,32,-0.17478738596281163
KNN,4,0.933797211335164,0.4234964462381666,-0.0959353666509943,0.8004187438453475,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.32756107958717234,25,0.519431812889161,15,40,-0.19187073330198862
KNN,30,0.9459726043813046,0.4711719363568568,-0.1102248115970367,0.7708819120044931,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.36094712475982005,21,0.5813967479538935,24,45,-0.22044962319407346
KNN,3,0.9470886809663608,0.354451176383927,-0.1115346760800386,0.8089961691700257,"{'metric': 'chebyshev', 'n_neighbors': 7, 'weights': 'uniform'}",0.2429165003038884,29,0.46598585246396557,7,36,-0.22306935216007717
KNN,14,0.9502338666955444,0.5484494715446762,-0.1152259703283584,0.7672835995213022,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.43322350121631775,14,0.6636754418730346,28,42,-0.23045194065671687
KNN,22,0.9538150427950428,0.4196154014102454,-0.1194289573302513,0.7837196761719794,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.30018644407999406,27,0.5390443587404967,18,45,-0.23885791466050266
KNN,9,0.9571962216463756,0.4742179797433934,-0.1233972209309208,0.8014168267742859,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.3508207588124726,24,0.5976152006743142,26,50,-0.24679444186184157
KNN,26,0.9594742423582382,0.5335898012222385,-0.1260707815646302,0.7587355771078755,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.40751901965760834,17,0.6596605827868687,27,44,-0.25214156312926034
KNN,15,0.9813456189091226,0.6227387739064536,-0.1517397542157514,0.786343076259582,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.47099901969070224,12,0.774478528122205,30,42,-0.30347950843150273
KNN,33,0.9928717149460872,0.4177310560546776,-0.1652671626648127,0.8146428214150762,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.25246389338986486,28,0.5829982187194903,25,53,-0.33053432532962546
KNN,8,0.9953505040850424,0.4030734162862109,-0.1681763517809029,0.8412440185721205,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.234897064505308,31,0.5712497680671138,21,52,-0.3363527035618058
KNN,11,1.0475387052670746,0.6416267666003153,-0.2294261549533796,0.8790228920663389,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.41220061164693567,16,0.8710529215536948,31,47,-0.4588523099067592
KNN,2,1.2014048049856467,0.5538263608522054,-0.4100085109117195,0.8916230652905853,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",0.14381784994048585,32,0.9638348717639249,32,64,-0.820017021823439
KNN,1,1.352427866018408,0.4915356547776293,-0.5872541824093271,0.9703915331010666,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",-0.09571852763169786,33,1.0787898371869564,33,66,-1.1745083648186543
