Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
MLP,3,1.1503343700589408,0.8854791655575122,-0.3500705552752936,0.849371510225219,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",0.5354086102822185,1,1.2355497208328057,3,4,-0.7001411105505871
MLP,2,1.1631145131067129,0.6830128234564338,-0.3650697548733368,0.8962837857445934,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",0.31794306858309695,3,1.0480825783297707,2,5,-0.7301395097466737
MLP,1,1.282352540872191,0.485295132650289,-0.5050114575167357,0.9519987015243142,"{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}",-0.0197163248664467,4,0.9903065901670247,1,5,-1.0100229150334714
MLP,4,1.3996203412071584,0.967768689532376,-0.6426408359261016,0.9775521863527468,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",0.3251278536062745,2,1.6104095254584776,4,6,-1.285281671852203
MLP,21,1.768370807907734,0.9933155978494836,-1.0754186093233806,1.1003422916418086,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.08210301147389698,5,2.0687342071728643,5,10,-2.1508372186467613
MLP,23,1.8024416592169088,0.994468749574241,-1.1154052900163365,1.1068305149235704,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.12093654044209545,6,2.1098740395905775,6,12,-2.230810580032673
MLP,20,1.8286113839964708,0.9960227437824328,-1.146118946657522,1.1220450168347376,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.15009620287508907,7,2.1421416904399546,7,14,-2.292237893315044
MLP,27,1.837090984072724,0.9964572004889825,-1.1560708864425369,1.031682558903264,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.1596136859535544,8,2.152528086931519,9,17,-2.3121417728850737
MLP,17,1.850302902798968,0.970781057204476,-1.1715768322920708,1.0599014015052397,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.20079577508759472,9,2.1423578894965467,8,17,-2.3431536645841415
MLP,22,1.9024259841846736,0.9930142214695212,-1.2327502087125757,1.129473647263991,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.23973598724305445,10,2.225764430182097,12,22,-2.4655004174251514
MLP,30,1.9087163331938808,0.9970399961550634,-1.2401327708621368,1.0643810215020115,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.24309277470707336,11,2.2371727670172,13,24,-2.4802655417242736
MLP,19,1.9462743075944728,0.9946509455640749,-1.2842120548284357,1.142181158464014,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.28956110926436085,12,2.2788630003925103,16,28,-2.5684241096568714
MLP,16,1.9586505984266365,0.9693928236332798,-1.298737280076788,1.059974137685343,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.3293444564435082,13,2.268130103710068,14,27,-2.597474560153576
MLP,7,2.03968331490358,0.7737913714828495,-1.3938399627201714,1.024320339768921,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.6200485912373219,19,2.167631334203021,11,30,-2.787679925440343
MLP,14,2.049601605180257,0.9609920518422062,-1.4054803970232252,1.0777233080019288,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.4444883451810191,14,2.3664724488654314,18,32,-2.8109607940464505
MLP,26,2.0922106103445794,0.9957525795466692,-1.4554877381574185,1.111704970961713,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.4597351586107493,15,2.451240317704088,20,35,-2.910975476314837
MLP,18,2.115674551370192,0.9855467093576404,-1.4830257972765009,1.1721982743004358,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.4974790879188604,16,2.4685725066341413,21,37,-2.9660515945530017
MLP,15,2.138180653152407,0.9632536123037102,-1.509439704503006,1.1328880610842402,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.5461860921992957,17,2.472693316806716,22,39,-3.018879409006012
MLP,25,2.1561326279582844,0.6349598210498525,-1.5305087373210182,1.2105276868386086,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.8955489162711657,26,2.1654685583708706,10,36,-3.0610174746420364
MLP,28,2.210607566954661,0.6853036084183094,-1.5944423318076877,1.2015921284088409,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.9091387233893783,28,2.279745940225997,17,45,-3.1888846636153754
MLP,24,2.213463111935528,0.6747179414972566,-1.5977936940709347,1.1911740150584182,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.9230757525736781,29,2.2725116355681916,15,44,-3.1955873881418695
MLP,31,2.230872885159945,0.999841916530666,-1.6182263811366109,1.1985539254975062,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",-0.6183844646059449,18,2.6180682976672767,26,44,-3.2364527622732213
MLP,12,2.2316480421126696,0.9044434677850046,-1.6191361310361434,1.1107186379953708,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.7146926632511388,23,2.523579598821148,23,46,-3.238272262072287
MLP,13,2.2550362583468404,0.9472093545482524,-1.6465853170293845,1.0981065306368385,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.6993759624811321,22,2.593794671577637,25,47,-3.293170634058769
MLP,32,2.2566602080165654,0.7410795059403646,-1.6484912382027497,1.2044050457037725,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.907411732262385,27,2.389570744143114,19,46,-3.2969824764054994
MLP,29,2.2746658901169097,0.9959673397211504,-1.6696233036821773,1.235147137680311,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.6736559639610269,20,2.665590643403328,28,48,-3.3392466073643545
MLP,5,2.280762259079369,0.9882604530982688,-1.6767782044175954,1.2480607586815242,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",-0.6885177513193266,21,2.665038657515864,27,48,-3.353556408835191
MLP,11,2.316287547944537,0.9617379708410942,-1.718471861247178,1.117697600760183,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.7567338904060839,24,2.6802098320882726,29,53,-3.436943722494356
MLP,33,2.389655543878677,0.761495143532524,-1.804578973742796,1.212223813731464,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.0430838302102718,30,2.56607411727532,24,54,-3.609157947485592
MLP,6,2.412185631965151,0.9845489796443736,-1.831021032091229,1.1379784956464112,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",-0.8464720524468554,25,2.815570011735603,30,55,-3.662042064182458
MLP,8,2.646936086531611,0.9144821108232136,-2.106531948566262,1.3241654350283487,"{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}",-1.1920498377430482,32,3.0210140593894756,31,63,-4.213063897132524
MLP,9,2.658548972581904,0.9367645157311488,-2.12016121665243,1.2276842946089983,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.1833967009212814,31,3.0569257323835792,32,63,-4.24032243330486
MLP,10,3.2247713945778256,0.99761050808693,-2.784698623836211,1.3709791937477278,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",-1.7870881157492808,33,3.7823091319231406,33,66,-5.569397247672422
