Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
AdaBoost,16,0.6294025414028624,0.9151574206148392,0.3514568188206558,0.6548884622458104,"{'learning_rate': 0.1, 'n_estimators': 200}",1.2666142394354951,1,0.5637006017941834,5,6,0.7029136376413118
AdaBoost,17,0.6565785326514981,0.9160359681025262,0.3234543837227475,0.6598147554126899,"{'learning_rate': 0.1, 'n_estimators': 200}",1.2394903518252738,2,0.5925815843797787,6,8,0.6469087674454951
AdaBoost,19,0.6675340972646824,0.9254959926847472,0.3121656515387085,0.66503097441907,"{'learning_rate': 0.1, 'n_estimators': 200}",1.2376616442234558,3,0.6133303411460387,7,10,0.6243313030774171
AdaBoost,21,0.673731531100064,0.9231894770661676,0.3057797487335049,0.6668313613993796,"{'learning_rate': 0.1, 'n_estimators': 200}",1.2289692257996725,4,0.6174097283326627,8,12,0.6115594974670098
AdaBoost,35,0.7039888581647505,0.9455946911877648,0.2746022719079776,0.7014017061226796,"{'learning_rate': 0.1, 'n_estimators': 200}",1.2201969630957423,5,0.6709924192797873,11,16,0.5492045438159551
AdaBoost,22,0.7100121264814561,0.9225454311698446,0.2683958311355807,0.6926354228314148,"{'learning_rate': 0.1, 'n_estimators': 200}",1.1909412623054252,8,0.6541496000342639,10,18,0.5367916622711613
AdaBoost,31,0.7134534326678406,0.9397049102117504,0.2648498720478474,0.7162052452599436,"{'learning_rate': 0.1, 'n_estimators': 200}",1.204554782259598,6,0.674855038163903,12,18,0.5296997440956949
AdaBoost,24,0.7218097820022507,0.9342930524305568,0.2562393993791083,0.7109379185202976,"{'learning_rate': 0.1, 'n_estimators': 200}",1.1905324518096652,9,0.6780536530514485,13,22,0.5124787987582167
AdaBoost,34,0.7309306458686522,0.9456088036654188,0.246841162673811,0.7250165706055279,"{'learning_rate': 0.1, 'n_estimators': 200}",1.1924499663392298,7,0.6987676409916077,20,27,0.49368232534762213
AdaBoost,28,0.7331782619905801,0.9354684815308332,0.2445251947297729,0.7124723147775611,"{'learning_rate': 0.1, 'n_estimators': 200}",1.179993676260606,11,0.6909432868010603,17,28,0.4890503894595457
