Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Gradient Boosting,17,0.6340633262132269,0.978412301395314,0.3466542957787741,0.6454907547198128,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.325066597174088,2,0.6317580056165399,6,8,0.6933085915575481
Gradient Boosting,36,0.6523304812037284,0.999157528017367,0.3278316218470318,0.6892116055089225,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.3269891498643989,1,0.6713259061703352,13,14,0.6556632436940637
Gradient Boosting,18,0.6596175666560349,0.9758036731021352,0.3203229302389063,0.6645329902979727,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.2961266033410415,3,0.655480742863229,8,11,0.6406458604778125
Gradient Boosting,15,0.6696852861232574,0.9663917630149502,0.3099490432890052,0.7011545361154246,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.2763408063039554,7,0.656442719725945,9,16,0.6198980865780104
Gradient Boosting,19,0.6742906749521355,0.981710713600634,0.3052036008651612,0.6607438394674077,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.286914314465795,5,0.6765071127354728,15,20,0.6104072017303223
Gradient Boosting,22,0.676236161441338,0.9900030930898648,0.3031989505600693,0.6911980893124665,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.293202043649934,4,0.6868041425297955,18,22,0.6063979011201386
Gradient Boosting,32,0.6849303792247489,0.9896551938746352,0.2942403345898325,0.6908393139181513,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.2838955284644678,6,0.6954148592848026,21,27,0.5884806691796651
Gradient Boosting,16,0.7011373361969189,0.997236938060168,0.2775405109625871,0.6726287313516549,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.274777449022755,8,0.719696427097581,25,33,0.5550810219251741
Gradient Boosting,14,0.7050908296336933,0.9384026384312772,0.2734667885963849,0.7065327404447381,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.2118694270276622,18,0.6649358498348923,10,28,0.5469335771927699
Gradient Boosting,20,0.7058005597827736,0.9806419534014104,0.2727354749800822,0.6779418573925355,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.2533774283814925,9,0.7079064784213281,23,32,0.5454709499601643
Gradient Boosting,35,0.7199156255344699,0.9898450939811952,0.2581911586753577,0.7270465750961221,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.248036252656553,10,0.7316539353058376,28,38,0.5163823173507154
Gradient Boosting,37,0.7209973944412835,0.9248418944691684,0.25707649230213,0.7292519388772233,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.1819183867712983,22,0.6677654021670385,12,34,0.5141529846042598
Gradient Boosting,43,0.722243756900765,0.9208145527821424,0.2557922269533231,0.7407749121222401,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.1766067797354656,23,0.6650223258288193,11,34,0.5115844539066463
Gradient Boosting,21,0.7230274019940038,0.9835481336758516,0.2549847505796945,0.6996669920276718,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.238532884255546,11,0.7285633830961571,26,37,0.509969501159389
