Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
MLP,2,0.8394947151868793,0.506606130953501,0.1349755722990313,0.7414197068605836,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",0.6415817032525324,2,0.37163055865446976,2,4,0.26995114459806263
MLP,4,1.0067973771844072,0.9309339732580996,-0.0374148988131588,0.7234559030397234,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",0.8935190744449407,1,0.9683488720712584,4,5,-0.0748297976263177
MLP,3,1.0765958462571126,0.4955869951285826,-0.1093359957203383,0.8525710697824798,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}",0.3862509994082443,4,0.6049229908489209,3,7,-0.21867199144067656
MLP,1,1.156995510793703,0.0733151360350228,-0.1921806790101339,0.8819904486858688,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}",-0.1188655429751111,6,0.2654958150451567,1,7,-0.3843613580202678
MLP,5,1.4022731420620616,0.9196309851452872,-0.4449174012044239,0.8346297775766848,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",0.47471358394086327,3,1.364548386349711,5,8,-0.8898348024088477
MLP,44,1.7987234965380452,0.6609114675325176,-0.8534241312510715,1.032212054673031,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",-0.1925126637185539,9,1.5143355987835891,6,15,-1.706848262502143
MLP,35,1.9776608168889007,0.9923543109598276,-1.0378030800767202,1.042292659482054,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.04544876911689255,5,2.030157391036548,12,17,-2.0756061601534403
MLP,34,2.05162830907209,0.9883901081029672,-1.1140199834553148,1.0514109303927606,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.1256298753523476,7,2.102410091558282,15,22,-2.2280399669106297
MLP,25,2.084205036382435,0.975854371447666,-1.1475873953618074,1.0298234179115602,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.17173302391414147,8,2.1234417668094734,17,25,-2.295174790723615
MLP,40,2.096897527761885,0.7127656531389143,-1.160665875658332,1.080993669310785,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.44790022251941763,18,1.873431528797246,7,25,-2.321331751316664
