Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Random Forest,22,0.6667665934846305,0.7704668279793984,0.3129564957287758,0.7045186764844026,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.0834233237081743,1,0.45751033225062254,9,10,0.6259129914575517
Random Forest,16,0.726414548589651,0.8292757401665575,0.251494598119608,0.7440430688662203,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.0807703382861655,2,0.5777811420469494,29,31,0.5029891962392161
Random Forest,23,0.7316564960377689,0.8013482633350117,0.2460932388146393,0.7303273194545348,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.047441502149651,4,0.5552550245203725,25,29,0.4921864776292786
Random Forest,28,0.7337008928744301,0.823988941679332,0.2439866702185132,0.7435285128371155,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.0679756118978452,3,0.5800022714608188,30,33,0.48797334043702634
Random Forest,14,0.7346456262378431,0.8035787627330745,0.2430132067502716,0.739106357605904,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.046591969483346,5,0.5605655559828029,26,31,0.4860264135005432
Random Forest,21,0.7386477393059174,0.7309181815846437,0.2388893861905019,0.7465592413207849,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.9698075677751457,15,0.4920287953941418,13,28,0.47777877238100386
Random Forest,25,0.7414687792840579,0.6627142946553736,0.2359825561075166,0.751011174107697,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.8986968507628902,21,0.42673173854785695,5,26,0.47196511221503323
Random Forest,13,0.74508471506293,0.8050012931528218,0.2322566568003053,0.7262337322133606,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.0372579499531271,6,0.5727446363525165,27,33,0.46451331360061066
Random Forest,20,0.7584307701928238,0.6624317521617523,0.2185047373516736,0.7392535403795982,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.880936489513426,25,0.4439270148100787,7,32,0.4370094747033473
Random Forest,24,0.7630916454201153,0.8074392519146958,0.2137021211432132,0.7550082506380069,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.021141373057909,10,0.5937371307714826,34,44,0.4274042422864265
