Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
SVR,28,0.7319782386571726,0.9888589059864156,0.2457617117422446,0.5808197224931211,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.2346206177286603,1,0.743097194244171,6,7,0.4915234234844893
SVR,6,0.733299949879971,0.9877704897483256,0.2443998062133543,0.6682974242026033,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.2321702959616798,2,0.7433706835349713,7,9,0.48879961242670855
SVR,37,0.7351401160540627,0.988918720966235,0.2425036790992438,0.5992585001828035,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.2314224000654788,3,0.7464150418669913,9,12,0.4850073581984875
SVR,34,0.7351865812117461,0.9885951850479752,0.2424558008985763,0.6001732021907444,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.2310509859465515,4,0.7461393841493988,8,12,0.48491160179715265
SVR,35,0.7376723490707965,0.9885702879179163,0.2398944388306878,0.6025419722768451,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.2284647267486042,5,0.7486758490872285,10,15,0.4797888776613757
SVR,27,0.7382781139167475,0.9888893045228294,0.2392702521863758,0.5851922891412484,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.2281595567092052,6,0.7496190523364537,12,18,0.47854050437275153
SVR,29,0.7384900294327811,0.9888315864869268,0.2390518921482938,0.5898029222442784,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.2278834786352206,7,0.749779694338633,13,20,0.4781037842965876
SVR,45,0.7384929137274467,0.9885309558997992,0.2390489201398971,0.5988319075846632,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.2275798760396963,8,0.7494820357599021,11,19,0.4780978402797942
SVR,25,0.7389054143948495,0.9888644871142128,0.2386238749939405,0.5877484340748296,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.2274883621081534,9,0.7502406121202723,14,23,0.4772477499878811
SVR,44,0.7397807716954313,0.9885412219789856,0.2377218973706495,0.600838357509751,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.2262631193496352,11,0.7508193246083361,15,26,0.47544379474129905
