Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
XGBoost,21,0.6651302689103964,0.9921271282290062,0.314642582255294,0.6491995730055722,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.3067697104843001,2,0.6774845459737122,6,8,0.6292851645105879
XGBoost,33,0.6699676703872961,0.9991989552622724,0.3096580714913597,0.658911107358998,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.3088570267536321,1,0.6895408837709127,9,10,0.6193161429827194
XGBoost,18,0.7024185886734584,0.9823790402908428,0.2762202945631159,0.6238876804175966,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.2585993348539586,4,0.7061587457277269,10,14,0.5524405891262317
XGBoost,45,0.7098195468198091,0.9994940307387388,0.268594267300323,0.6896605752422116,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.2680882980390618,3,0.7308997634384158,11,14,0.537188534600646
XGBoost,34,0.725866547027983,0.9996675161143314,0.2520592648514952,0.7178796112887748,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.2517267809658266,5,0.7476082512628361,13,18,0.5041185297029904
XGBoost,20,0.7374165843633642,0.9947145011528864,0.2401579815495046,0.6865279786043629,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.234872482702391,6,0.7545565196033818,16,22,0.48031596309900915
XGBoost,17,0.7424385081699619,0.9842627025706372,0.2349833369827511,0.6754656964536717,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.2192460395533882,9,0.7492793655878861,14,23,0.46996667396550207
XGBoost,13,0.7429342446009015,0.9797624129169952,0.2344725248064427,0.7248848810654309,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.2142349377234378,11,0.7452898881105525,12,23,0.4689450496128853
XGBoost,19,0.7442160191651828,0.9969119028924548,0.2331517704421198,0.6802166752856105,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",1.2300636733345747,7,0.763760132450335,17,24,0.46630354088423964
XGBoost,22,0.7469441987929231,0.9969116338707574,0.2303406246678118,0.7015297640972312,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",1.2272522585385692,8,0.7665710092029456,18,26,0.4606812493356236
XGBoost,38,0.7604828617885211,0.9996570558892128,0.2163902399926726,0.7329955658867396,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",1.2160472958818853,10,0.7832668158965402,22,32,0.4327804799853451
XGBoost,43,0.763838082249068,0.99551161680555,0.2129329845672478,0.7414595619746291,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.2084446013727979,13,0.7825786322383022,21,34,0.4258659691344957
XGBoost,23,0.7640226000742577,0.9995913823761716,0.2127428554059228,0.6936021090411584,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",1.2123342377820945,12,0.7868485269702488,24,36,0.4254857108118457
XGBoost,3,0.7656630452627898,0.8679673904869667,0.2110525229538966,0.6775077853657225,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.0790199134408633,34,0.65691486753307,5,39,0.4221050459077933
XGBoost,39,0.7734802634952451,0.9873256837513148,0.2029975767994852,0.7464747529840118,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.1903232605508,15,0.7843281069518295,23,38,0.40599515359897054
XGBoost,42,0.7743882844967926,0.9961341980023058,0.2020619421456932,0.735250741489814,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.198196140147999,14,0.7940722558566127,25,39,0.40412388429138635
XGBoost,27,0.7860921163359734,0.9953867626432532,0.1900021873247924,0.7172841580115348,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.1853889499680457,16,0.8053845753184607,27,43,0.3800043746495849
XGBoost,26,0.7867055077520381,0.9955013011251947,0.1893701421802082,0.7115886698289442,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.1848714433054028,17,0.8061311589449865,28,45,0.3787402843604163
XGBoost,44,0.7876027847498316,0.9868024595381988,0.1884455782640043,0.7432307117865504,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.175248037802203,20,0.7983568812741945,26,46,0.37689115652800853
XGBoost,14,0.7889780031783847,0.9944799052935134,0.1870285383320041,0.7318481943596703,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.1815084436255174,18,0.8074513669615093,29,47,0.3740570766640081
XGBoost,15,0.796114427545186,0.9993806039625696,0.1796750895347125,0.7289993865258131,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.179055693497282,19,0.8197055144278571,31,50,0.3593501790694249
XGBoost,36,0.7990729383525468,0.9847396367019762,0.176626608023528,0.7437683592680421,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.1613662447255042,22,0.8081130286784481,30,52,0.35325321604705606
XGBoost,16,0.8021576582427444,0.9946991578332356,0.1734480793093334,0.6890715836068003,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.168147237142569,21,0.8212510785239022,33,54,0.34689615861866674
XGBoost,2,0.8098719199581268,0.5537049923863713,0.1654992206628575,0.7538168907945648,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",0.7192042130492288,44,0.3882057717235138,2,46,0.330998441325715
XGBoost,32,0.8110403872025533,0.9379683361771056,0.1642952193855268,0.7614261930845527,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.1022635555626323,33,0.7736731167915788,19,52,0.32859043877105354
XGBoost,30,0.8178037814562704,0.9869256491924336,0.1573261448484283,0.7460080763054577,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.1442517940408619,25,0.8295995043440053,34,59,0.31465228969685655
XGBoost,35,0.8247739516946463,0.9960158210217172,0.1501440061019238,0.7596598031249046,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.146159827123641,23,0.8458718149197934,37,60,0.3002880122038477
XGBoost,5,0.827371468271673,0.9216993275154716,0.147467496947264,0.7372002806788224,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",1.0691668244627355,35,0.7742318305682075,20,55,0.29493499389452793
XGBoost,29,0.8278361544518572,0.9973249216948232,0.1469886792849217,0.7429225160366317,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",1.144313600979745,24,0.8503362424099015,39,63,0.2939773585698435
XGBoost,25,0.828278780399917,0.9945254833894942,0.1465325927241852,0.7245460941897792,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.1410580761136795,27,0.847992890665309,38,65,0.29306518544837046
