Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
AdaBoost,11,0.1021417741459464,0.9991534126665425,0.7169770450540058,0.2364423993991707,"{'learning_rate': 0.1, 'n_estimators': 50}",1.7161304577205483,1,0.2821763676125366,1,2,1.4339540901080117
AdaBoost,9,0.1305412450889979,0.9997803523305474,0.6382854200806566,0.3002553923277397,"{'learning_rate': 0.05, 'n_estimators': 50}",1.638065772411204,2,0.3614949322498908,2,4,1.2765708401613132
AdaBoost,6,0.1364730549356518,0.9905148226084391,0.6218490661499045,0.2829967108824921,"{'learning_rate': 0.05, 'n_estimators': 100}",1.6123638887583436,3,0.3686657564585346,3,6,1.243698132299809
AdaBoost,10,0.1431558238400719,0.9991313227352748,0.6033318921692796,0.2979657016492717,"{'learning_rate': 0.05, 'n_estimators': 100}",1.6024632149045543,4,0.3957994305659952,4,8,1.2066637843385593
AdaBoost,12,0.1639600042364116,0.9987286186822848,0.5456859323234251,0.3139853401628318,"{'learning_rate': 0.1, 'n_estimators': 200}",1.54441455100571,5,0.4530426863588597,5,10,1.0913718646468502
AdaBoost,3,0.210265090603402,0.9874333381361518,0.4173799333118031,0.3274925178950046,"{'learning_rate': 0.1, 'n_estimators': 200}",1.4048132714479549,6,0.5700534048243486,6,12,0.8347598666236062
AdaBoost,5,0.2535463347970807,0.9923185813053588,0.2974526486346138,0.3985484868533282,"{'learning_rate': 0.1, 'n_estimators': 200}",1.2897712299399726,7,0.6948659326707449,7,14,0.5949052972692277
AdaBoost,8,0.2613204728774081,0.9955607869217232,0.2759114178301776,0.4228338465478252,"{'learning_rate': 0.05, 'n_estimators': 50}",1.271472204751901,8,0.7196493690915456,8,16,0.5518228356603553
AdaBoost,4,0.2753286162195879,0.9910922043405826,0.2370964848102569,0.4083599985805828,"{'learning_rate': 0.1, 'n_estimators': 200}",1.2281886891508396,9,0.7539957195303257,9,18,0.4741929696205138
AdaBoost,2,0.3307269561482808,0.981147114295494,0.0835941396941616,0.4540157102826649,"{'learning_rate': 0.05, 'n_estimators': 50}",1.0647412539896555,10,0.8975529746013323,10,20,0.16718827938832315
AdaBoost,7,0.3471420430819876,0.9882740494794012,0.0381098464310075,0.4862626008649033,"{'learning_rate': 0.05, 'n_estimators': 50}",1.0263838959104088,11,0.9501642030483938,11,22,0.07621969286201502
AdaBoost,13,0.4153367987400966,0.9993391726205924,-0.150849875676424,0.5895377758994655,"{'learning_rate': 0.05, 'n_estimators': 50}",0.8484892969441684,12,1.1501890482970163,12,24,-0.3016997513528479
AdaBoost,1,1.4506399320005086,0.9383086137399544,-3.0195542279381247,0.9479780419411308,"{'learning_rate': 0.1, 'n_estimators': 100}",-2.08124561419817,13,3.9578628416780792,13,26,-6.039108455876249
