Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Gradient Boosting,6,0.1843944422011494,0.6759623199263536,0.4890644856744073,0.3765744404511615,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.1650268056007609,4,0.18689783425194628,1,5,0.9781289713488146
Gradient Boosting,3,0.2084245516900968,0.9746497436903064,0.4224798521872321,0.3593714266169144,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.3971295958775385,1,0.5521698915030744,4,5,0.8449597043744641
Gradient Boosting,5,0.2366656416355491,0.9059026341538234,0.3442270825042149,0.4125766477839023,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.2501297166580383,2,0.5616755516496086,5,7,0.6884541650084297
Gradient Boosting,1,0.2516088151432408,0.5853737593839707,0.3028212898421983,0.4405339759324876,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.888195049226169,12,0.28255246954177243,2,14,0.6056425796843965
Gradient Boosting,8,0.2735947951891279,0.7584410489817426,0.241900700866727,0.4688740724522231,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.0003417498484697,6,0.5165403481150156,3,9,0.4838014017334541
Gradient Boosting,4,0.278433147506874,0.9740471854209978,0.2284941903426226,0.4450352281256208,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.2025413757636203,3,0.7455529950783751,11,14,0.45698838068524517
Gradient Boosting,10,0.2899019995266013,0.7643234320164068,0.1967153377076219,0.4870379133054989,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.9610387697240288,8,0.5676080943087849,6,14,0.3934306754152439
Gradient Boosting,9,0.2899019995266013,0.7643234320164068,0.1967153377076219,0.4870379133054989,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.9610387697240288,7,0.5676080943087849,7,14,0.3934306754152439
Gradient Boosting,13,0.2941198442638225,0.7620967888415782,0.1850281813897176,0.485932852958814,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.9471249702312958,9,0.5770686074518605,8,17,0.3700563627794353
Gradient Boosting,12,0.3027340068030237,0.7663273476512696,0.1611593406865373,0.4958081867330489,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.927486688337807,10,0.6051680069647323,9,19,0.32231868137307473
Gradient Boosting,2,0.3065763272793059,0.969339361886282,0.1505127183408842,0.4697506118373334,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.119852080227166,5,0.8188266435453978,13,18,0.3010254366817683
Gradient Boosting,11,0.3080493439052327,0.7595858234623462,0.1464311609013328,0.49799526901723,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.906016984363679,11,0.6131546625610134,10,21,0.2928623218026656
Gradient Boosting,7,0.3680706828972754,0.7393228997863415,-0.0198809759631637,0.5352542038826072,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.7194419238231777,13,0.7592038757495052,12,25,-0.03976195192632748
