Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
MLP,2,0.3551424028188438,0.884738728301332,0.0159417817749085,0.5091658918415128,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",0.9006805100762405,1,0.8687969465264236,2,3,0.03188356354981692
MLP,13,0.4759657804201718,0.9966266310158428,-0.3188457196289975,0.5380675026663815,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",0.6777809113868454,2,1.3154723506448402,3,5,-0.6376914392579949
MLP,12,0.5557683351375643,0.9989322241132504,-0.539969300428403,0.6657282300054893,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",0.4589629236848475,3,1.5389015245416533,5,8,-1.079938600856806
MLP,8,0.5756130280607755,0.9184690782758282,-0.5949566322824387,0.6150630008797422,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",0.3235124459933896,4,1.513425710558267,4,8,-1.1899132645648773
MLP,10,0.7931094979798561,0.9999296943506684,-1.1976140084786366,0.6892620297025728,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",-0.19768431412796827,5,2.197543702829305,7,12,-2.3952280169572733
MLP,11,0.7943142237218852,0.9999176916830584,-1.2009521631392497,0.7498244478835783,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",-0.20103447145619124,6,2.200869854822308,8,14,-2.4019043262784994
MLP,3,1.2047605276462363,-1.7153909500453135,-2.33825104750508,0.9937440978755464,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}",-4.053641997550393,11,0.6228600974597664,1,12,-4.67650209501016
MLP,7,1.2371585548488295,0.9987495292707528,-2.428022205975432,1.0105759408073127,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",-1.4292726767046795,7,3.426771735246185,9,16,-4.856044411950864
MLP,4,1.3775155626446465,-0.8385095071093782,-2.816935120656056,1.0745687323121742,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-3.655444627765434,10,1.9784256135466776,6,16,-5.633870241312112
MLP,5,1.655363003241222,0.9966383742578836,-3.586818004709574,1.2100364804297965,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",-2.5901796304516904,8,4.583456378967457,10,18,-7.173636009419148
MLP,6,1.8225821229057564,0.9988725102542018,-4.050162701496424,1.1904439609137565,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",-3.051290191242222,9,5.049035211750626,11,20,-8.100325402992848
MLP,9,2.3638906391776144,-0.1574188793136255,-5.550065528656911,1.3446509316567343,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",-5.7074844079705365,12,5.392646649343286,12,24,-11.100131057313822
