Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
SVR,9,0.1109041338510543,0.9353883950458844,0.6926975672715282,0.3158650920857921,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.6280859623174126,1,0.24269082777435624,1,2,1.3853951345430564
SVR,11,0.1292073760548337,0.9837832743393744,0.6419814157564386,0.3291058626960268,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.6257646900958131,2,0.34180185858293577,4,6,1.2839628315128775
SVR,12,0.1308284828165048,0.9832378368629062,0.637489517805699,0.3257474969646202,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.6207273546686052,3,0.34574831905720727,5,8,1.274979035611398
SVR,10,0.1335854471674699,0.9835722235415874,0.6298502908212922,0.3378769839646901,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.6134225143628795,4,0.3537219327202952,6,10,1.2597005816425844
SVR,13,0.1360904750065637,0.9832072305961476,0.6229091505564943,0.3261800909953156,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.606116381152642,5,0.36029808003965325,7,12,1.2458183011129886
SVR,8,0.1391451334361607,0.984265601911467,0.614445047966501,0.3209911607741385,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.598710649877968,6,0.36982055394496594,8,14,1.228890095933002
SVR,7,0.1520359717955906,0.9832142664653418,0.5787260368692004,0.3149324531678491,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1.5619403033345423,7,0.4044882295961414,9,16,1.1574520737384009
SVR,5,0.1532204008272124,0.8706364724974182,0.575444122028222,0.3486397973509119,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.44608059452564,9,0.2951923504691961,2,11,1.150888244056444
SVR,6,0.1660912512262553,0.983787798373219,0.5397804952402248,0.332933529233536,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1.5235682936134438,8,0.4440073031329942,10,18,1.0795609904804495
SVR,3,0.1926452594508177,0.779058791536968,0.4662024324327642,0.3869557604046335,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1.2452612239697323,11,0.3128563591042038,3,14,0.9324048648655285
SVR,4,0.212079876220694,0.914300750302137,0.4123513738189401,0.4045726656370839,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.3266521241210771,10,0.5019493764831968,11,21,0.8247027476378803
SVR,2,0.3167182161872343,0.9179146955780032,0.1224107258754459,0.4703942212747479,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.0403254214534492,12,0.7955039697025573,12,24,0.24482145175089187
