Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Gradient Boosting,31,0.8722115104882324,0.9556889185612008,0.0996189536650412,0.826805168898835,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.055307872226242,2,0.8560699648961596,3,5,0.1992379073300823
Gradient Boosting,34,0.8803113112518416,0.9570171642007596,0.0912575562299617,0.8185562649677307,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.0482747204307212,3,0.8657596079707979,5,8,0.18251511245992336
Gradient Boosting,18,0.8807866313822482,0.9328217885885676,0.0907668848375147,0.8495399142706287,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.0235886734260822,6,0.8420549037510529,2,8,0.18153376967502932
Gradient Boosting,29,0.8897562173221694,0.9550981336911571,0.0815076110528144,0.83634136044371,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.0366057447439716,4,0.8735905226383427,7,11,0.1630152221056289
Gradient Boosting,30,0.8930984780392678,0.9545328968083466,0.078057406411625,0.8255091580906522,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.0325903032199717,5,0.8764754903967217,8,13,0.15611481282325002
Gradient Boosting,25,0.9084780495962368,0.9943803216157964,0.0621811257570672,0.8583602437781078,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.0565614473728635,1,0.9321991958587291,18,19,0.12436225151413438
Gradient Boosting,20,0.9185121752144428,0.9331996783488978,0.051822931196989,0.8463318777693363,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.9850226095458868,9,0.8813767471519088,10,19,0.103645862393978
Gradient Boosting,22,0.9242900495876144,0.9571178713149732,0.0458584506654305,0.8620287732527195,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.0029763219804038,8,0.9112594206495427,11,19,0.09171690133086108
Gradient Boosting,17,0.9258561436567088,0.9226714869991572,0.0442417769576957,0.8638857600040923,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.966913263956853,14,0.8784297100414615,9,23,0.08848355391539142
Gradient Boosting,16,0.9357088331683884,0.8990668835278723,0.034070878287975,0.8577027481083979,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9331377618158473,19,0.8649960052398974,4,23,0.0681417565759499
Gradient Boosting,27,0.9374892488217512,0.986003746462916,0.0322329611203966,0.8543198849804212,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.0182367075833125,7,0.9537707853425194,21,28,0.06446592224079317
Gradient Boosting,24,0.9444185077255856,0.9522333259749892,0.0250799101606955,0.8627052950470414,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9773132361356848,11,0.9271534158142937,15,26,0.0501598203213911
Gradient Boosting,32,0.94582917264226,0.9529462730691344,0.0236236854509431,0.8479691741884711,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9765699585200774,12,0.9293225876181913,16,28,0.04724737090188613
Gradient Boosting,23,0.9465340611763314,0.9552464334937943,0.0228960313576126,0.863440215898644,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.978142464851407,10,0.9323504021361817,19,29,0.04579206271522529
Gradient Boosting,33,0.9476607086908948,0.9379381039737364,0.0217329968690566,0.8676341668443287,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.9596711008427931,15,0.9162051071046798,13,28,0.04346599373811322
Gradient Boosting,26,0.9512954064484104,0.954723882554437,0.0179809104420026,0.8619439082142888,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9727047929964395,13,0.9367429721124344,20,33,0.035961820884005125
Gradient Boosting,15,0.9642993112906254,0.876717979643441,0.0045570226493274,0.8779484107440251,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.8812750022927685,21,0.8721609569941136,6,27,0.009114045298654894
Gradient Boosting,1,0.9736873640803988,0.3078878776119149,-0.0051342330750696,0.8782262659669358,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.3027536445368453,32,0.3130221106869845,1,33,-0.01026846615013921
Gradient Boosting,19,0.9743574639494568,0.9513340922025558,-0.0058259749450129,0.8742108091887943,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9455081172575429,18,0.9571600671475687,22,40,-0.011651949890025826
Gradient Boosting,14,0.9802108595429094,0.9177081479418026,-0.0118684157815196,0.8652937441178522,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.9058397321602829,20,0.9295765637233222,17,37,-0.023736831563039296
Gradient Boosting,28,1.004878283098761,0.9934712317981312,-0.0373325152167276,0.8911189275819473,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9561387165814036,16,1.0308037470148588,24,40,-0.07466503043345518
Gradient Boosting,21,1.0061888660336566,0.9942233378462406,-0.0386854256289848,0.9019697143461392,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",0.9555379122172558,17,1.0329087634752254,25,42,-0.07737085125796961
Gradient Boosting,13,1.03167984531357,0.9138183774783496,-0.0649996789037479,0.8857087465310123,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.8488186985746017,22,0.9788180563820975,23,45,-0.12999935780749583
Gradient Boosting,11,1.06127700446354,0.821572943790156,-0.0955527280249126,0.8428222842303947,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.7260202157652433,23,0.9171256718150687,14,37,-0.19110545604982532
Gradient Boosting,10,1.0672288670097152,0.8119815201553455,-0.1016968159697822,0.8571397256223482,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.7102847041855633,24,0.9136783361251277,12,36,-0.2033936319395644
Gradient Boosting,12,1.14770679646441,0.853983328204719,-0.1847739153406997,0.8979734564655665,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.6692094128640194,25,1.0387572435454187,26,51,-0.3695478306813993
Gradient Boosting,8,1.2301275196421473,0.8046527653495977,-0.269856554221394,0.917203021249474,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.5347962111282037,28,1.0745093195709918,28,56,-0.5397131084427881
Gradient Boosting,7,1.2662077183927547,0.8681680835900394,-0.3071020235971198,0.9098062421277376,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.5610660599929196,26,1.1752701071871592,33,59,-0.6142040471942396
Gradient Boosting,5,1.3007720641419316,0.7702525219845763,-0.3427826829524485,0.898951858238274,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.42746983903212776,30,1.1130352049370247,29,59,-0.6855653659048969
Gradient Boosting,6,1.3060177760094491,0.8020750092370966,-0.3481978138963215,0.9202392720719228,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.45387719534077514,29,1.150272823133418,31,60,-0.6963956277926429
Gradient Boosting,4,1.3244679160732624,0.6989755601418689,-0.367243832225504,0.9685266881523292,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.3317317279163649,31,1.0662193923673728,27,58,-0.7344876644510079
Gradient Boosting,9,1.345189677471708,0.930709034795378,-0.3886348377161241,0.944577205356642,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.542074197079254,27,1.319343872511502,34,61,-0.7772696754322481
Gradient Boosting,3,1.413239610374286,0.7038564347175077,-0.4588825575100874,0.9983707819657706,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.2449738772074203,33,1.162738992227595,32,65,-0.9177651150201747
