Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Random Forest,19,1.7215225660659512,0.7813240273186088,0.679959568434406,1.078036489480642,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",1.4612835957530148,4,0.10136445888420287,8,12,1.359919136868812
Random Forest,16,1.7845610133676673,0.7262127203151736,0.6682403773663678,1.1388845472926643,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",1.3944530976815415,9,0.05797234294880582,5,14,1.3364807547327358
Random Forest,15,1.7978430478293337,0.7186372443077784,0.6657711747401747,1.1647536256087616,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10}",1.384408419047953,10,0.05286606956760376,3,13,1.3315423494803493
Random Forest,22,1.814213790355124,0.8458030577577402,0.6627277644438019,1.12568219321665,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",1.508530822201542,2,0.18307529331393835,15,17,1.3254555288876038
Random Forest,20,1.823307890325912,0.7791865378415748,0.6610371216740107,1.1428835871164444,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",1.4402236595155855,5,0.11814941616756403,9,14,1.3220742433480215
Random Forest,18,1.9400295193417283,0.7909159871976041,0.6393379344198891,1.1984031353132962,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",1.4302539216174932,6,0.15157805277771508,11,17,1.2786758688397781
Random Forest,14,1.940179875081904,0.7054416067483913,0.6393099824679819,1.1673243718890092,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10}",1.344751589216373,15,0.06613162428040942,6,21,1.2786199649359635
Random Forest,21,1.951150108020809,0.7196662771398779,0.6372705563498766,1.222259901334401,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10}",1.3569368334897545,12,0.08239572079000124,7,19,1.2745411126997532
Random Forest,23,1.9702283351133545,0.9488471880430508,0.6337238099100913,1.3145715626032262,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",1.582570997953142,1,0.31512337813295954,24,25,1.2674476198201825
Random Forest,10,2.033388157239992,0.8665585831678019,0.6219820546003088,1.059253148114237,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",1.4885406377681107,3,0.24457652856749312,22,25,1.2439641092006175
