Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
KNN,3,3.06881875921492,0.4358006395304673,0.4294898600486262,1.4541638683581537,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.8652904995790935,1,0.006310779481841111,1,2,0.8589797200972524
KNN,20,3.691140794447704,0.4856563290538566,0.3137968005124848,1.5731409947202406,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.7994531295663414,3,0.17185952854137176,9,12,0.6275936010249696
KNN,29,3.97197082287653,0.3281502251230209,0.2615889670129054,1.7675741687215885,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.5897391921359263,8,0.06656125811011548,2,10,0.5231779340258108
KNN,21,4.05826796433604,0.5767913832947439,0.2455458578838203,1.5792830937202225,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.8223372411785642,2,0.33124552541092356,15,17,0.49109171576764066
KNN,32,4.059985441940082,0.3291523622133884,0.24522656943275,1.8152590530710024,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.5743789316461384,9,0.08392579278063839,4,13,0.4904531388655
KNN,31,4.059985441940082,0.3281502251230209,0.24522656943275,1.8152590530710024,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.5733767945557708,10,0.08292365569027088,3,13,0.49045313886549996
KNN,30,4.07892337198454,0.3281502251230209,0.2417059049791683,1.8211691333464548,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.5698561301021892,11,0.08644432014385259,5,16,0.48341180995833655
KNN,34,4.263751117757288,0.4241710352079805,0.207345419274016,1.7816718314325977,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.6315164544819964,5,0.2168256159339645,12,17,0.41469083854803196
KNN,23,4.340452479540276,0.3207137519323291,0.1930862179074067,1.9378641883650023,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.5137999698397357,12,0.12762753402492238,7,19,0.38617243581481336
KNN,35,4.3447240780941865,0.4244170511231138,0.192292104445512,1.805613632060966,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.6167091555686258,6,0.23212494667760178,13,19,0.38458420889102407
KNN,33,4.3447240780941865,0.398275937613034,0.192292104445512,1.805613632060966,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.590568042058546,7,0.20598383316752197,11,18,0.38458420889102396
KNN,22,4.417991462046123,0.5731874678190847,0.1786712982813241,1.737573815549074,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.7518587661004088,4,0.3945161695377606,16,20,0.3573425965626482
KNN,1,4.611403886897896,0.2453975299964106,0.1427148739277567,1.9195288447797,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.3881124039241673,15,0.1026826560686539,6,21,0.2854297478555134
KNN,25,4.6280789356733,0.318938377309939,0.139614891440363,1.9329770928770729,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.458553268750302,13,0.17932348586957603,10,23,0.279229782880726
KNN,26,4.647016865717757,0.3037555851700259,0.1360942269867813,1.938887173152525,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.4398498121568072,14,0.16766135818324457,8,22,0.2721884539735626
KNN,24,5.177211696412901,0.3246500848962943,0.0375281170941383,2.0613970000868007,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.3621782019904326,16,0.28712196780215604,14,30,0.07505623418827656
