Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Gradient Boosting,9,3.3115485791569537,0.6262092319219964,0.3843650630466266,1.5973779891240747,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",1.010574294968623,1,0.2418441688753698,11,12,0.7687301260932531
Gradient Boosting,11,3.386953460486636,0.6258576749849044,0.3703468844652955,1.6179084612424093,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",0.9962045594501999,2,0.2555107905196089,17,19,0.740693768930591
Gradient Boosting,10,3.4608700798213503,0.6258576749849044,0.3566053819035187,1.6234391362767902,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",0.9824630568884232,3,0.2692522930813857,20,23,0.7132107638070375
Gradient Boosting,4,3.625592965040673,0.5470761886623423,0.3259824993962079,1.842579987412884,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",0.8730586880585502,4,0.22109368926613443,7,11,0.6519649987924159
Gradient Boosting,6,3.684328526175369,0.4784872051089174,0.315063238327936,1.7781113597860276,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}",0.7935504434368534,6,0.16342396678098142,3,9,0.6301264766558721
Gradient Boosting,12,3.7369208027101752,0.4530182407876968,0.3052860473628007,1.742299844089712,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}",0.7583042881504976,12,0.14773219342489613,1,13,0.6105720947256015
Gradient Boosting,18,3.785353752889401,0.449548373215709,0.296282097845731,1.714701883729621,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}",0.7458304710614401,13,0.153266275369978,2,15,0.592564195691462
Gradient Boosting,19,3.847665938779805,0.4513044033629763,0.2846979227339674,1.7597950377801543,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}",0.7360023260969437,14,0.1666064806290089,4,18,0.5693958454679349
Gradient Boosting,8,3.871618392912042,0.4997434649035756,0.2802450309109726,1.7227437279740938,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}",0.7799884958145482,8,0.219498433992603,6,14,0.5604900618219453
Gradient Boosting,13,3.902563457892161,0.5231279833380251,0.2744921746044215,1.7456837570447232,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}",0.7976201579424467,5,0.24863580873360364,14,19,0.5489843492088431
