Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
KNN,9,3.083979964082689,1.0,0.4266713093978359,1.6035001339211423,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",1.4266713093978358,1,0.5733286906021642,17,18,0.8533426187956716
KNN,3,3.370369378811425,0.5538061142259141,0.3734299556727687,1.546064151109092,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.9272360698986828,2,0.18037615855314537,11,13,0.7468599113455374
KNN,33,3.958158060935272,0.2732035655504108,0.2641568347713254,1.765570876374388,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.5373604003217363,11,0.00904673077908541,2,13,0.5283136695426509
KNN,32,3.958158060935272,0.2807261490127305,0.2641568347713254,1.765570876374388,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.5448829837840559,9,0.01656931424140512,6,15,0.5283136695426507
KNN,31,3.958158060935272,0.2807261490127305,0.2641568347713254,1.765570876374388,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.5448829837840559,8,0.01656931424140512,5,13,0.5283136695426507
KNN,35,3.974858233491824,0.2774209491019326,0.2610521816360298,1.7971135104325908,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.5384731307379624,10,0.016368767465902823,4,14,0.5221043632720597
KNN,24,4.002801975578032,0.2644800974124619,0.2558572876200513,1.7656920689510374,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.5203373850325133,13,0.008622809792410646,1,14,0.5117145752401027
KNN,26,4.002801975578032,0.2716044619358814,0.2558572876200513,1.7656920689510374,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.5274617495559326,12,0.015747174315830115,3,15,0.5117145752401024
KNN,20,4.15035073927562,0.4444061732170673,0.2284271679448517,1.7228877347993103,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.6728333411619191,5,0.2159790052722156,13,18,0.4568543358897035
KNN,34,4.226954164631073,0.2732035655504108,0.2141861734941157,1.84501538278288,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.48738973904452654,15,0.05901739205629511,8,23,0.42837234698823146
KNN,21,4.240217941688878,0.5148456744976782,0.2117203650188482,1.7152355105194763,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.7265660395165263,3,0.30312530947883,15,18,0.42344073003769633
KNN,22,4.240217941688878,0.5129263640985187,0.2117203650188482,1.7152355105194763,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.7246467291173668,4,0.3012059990796705,14,18,0.42344073003769633
KNN,25,4.253703687121919,0.267228065524587,0.2092132914123505,1.84661969633578,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.4764413569369375,16,0.05801477411223649,7,23,0.418426582824701
KNN,30,4.294582505242721,0.3583222584198079,0.201613696233549,1.8741093122544807,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.5599359546533569,6,0.15670856218625892,10,16,0.40322739246709793
KNN,27,4.353247811051847,0.2689741107641739,0.190707496013365,1.8657718526520128,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.4596816067775389,17,0.07826661475080887,9,26,0.38141499202673
KNN,2,4.488021131451301,0.3477299706262847,0.1656524009048893,1.92010240413444,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.513382371531174,14,0.18207756972139538,12,26,0.33130480180977867
KNN,1,5.076018437818088,0.5011536684705942,0.0563404956191679,1.986169450470808,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.557494164089762,7,0.4448131728514263,16,23,0.11268099123833575
