Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
PLS,13,3.189143568523821,0.4388853537410327,0.4071208219318215,1.7115368881284652,{'n_components': 1},0.8460061756728542,19,0.03176453180921124,2,21,0.814241643863643
PLS,29,3.344436855464646,0.7327776278887956,0.3782509531589964,1.6642447445262007,{'n_components': 1},1.111028581047792,1,0.35452667472979926,18,19,0.7565019063179927
PLS,15,3.365941134643221,0.4595370918007795,0.3742531904084647,1.7596208590483846,{'n_components': 1},0.8337902822092442,21,0.08528390139231479,5,26,0.7485063808169294
PLS,14,3.374825469807226,0.4598104928847565,0.3726015440599889,1.760477030139359,{'n_components': 1},0.8324120369447454,22,0.0872089488247676,6,28,0.7452030881199778
PLS,16,3.381304585888928,0.4695618061201926,0.3713970410532754,1.7503991621644823,{'n_components': 1},0.840958847173468,20,0.09816476506691718,7,27,0.7427940821065508
PLS,17,3.491270226537129,0.4721564903661324,0.3509538288734538,1.781503409159244,{'n_components': 1},0.8231103192395861,23,0.12120266149267861,11,34,0.7019076577469074
PLS,18,3.5139631269996485,0.5923519005657265,0.3467350949453261,1.713632811853609,{'n_components': 1},0.9390869955110526,12,0.2456168056204004,14,26,0.6934701898906521
PLS,28,3.532204880363928,0.7106284543181196,0.3433438535324653,1.6721996286158964,{'n_components': 1},1.053972307850585,4,0.3672846007856543,19,23,0.6866877070649307
PLS,27,3.5532845146312497,0.7112382870820847,0.3394250345862953,1.6768532656357833,{'n_components': 1},1.05066332166838,5,0.3718132524957894,20,25,0.6788500691725907
PLS,19,3.64415915468973,0.6068201692373948,0.322530943509031,1.720113518028144,{'n_components': 1},0.9293511127464258,14,0.2842892257283638,15,29,0.645061887018062
PLS,22,3.807769894351362,0.6459207470764536,0.2921148149248246,1.7629953827274747,{'n_components': 1},0.9380355620012782,13,0.35380593215162903,17,30,0.5842296298496492
PLS,30,3.894916564095408,0.76027381083078,0.275913773855625,1.7859940805595302,{'n_components': 1},1.036187584686405,6,0.48436003697515506,26,32,0.55182754771125
PLS,25,3.91301924069472,0.6748739896301279,0.2725483875716821,1.800099411237538,{'n_components': 1},0.94742237720181,10,0.4023256020584458,22,32,0.5450967751433642
PLS,26,3.927482672785708,0.6753187997707067,0.2698595566846741,1.8014526167369995,{'n_components': 1},0.9451783564553808,11,0.40545924308603265,23,34,0.5397191133693482
PLS,33,3.949733268945685,0.8061820987060067,0.2657230495380359,1.7541617925300077,{'n_components': 1},1.0719051482440425,2,0.5404590491679708,29,31,0.5314460990760717
PLS,20,3.96369419352944,0.6144512182624828,0.2631276375365249,1.8671540996497,{'n_components': 1},0.8775788557990077,18,0.35132358072595793,16,34,0.5262552750730498
PLS,32,3.970573990398995,0.7967484402666558,0.2618486457866532,1.7221010083068575,{'n_components': 1},1.058597086053309,3,0.5348997944800027,28,31,0.5236972915733062
PLS,21,4.047196946783939,0.6351019818861274,0.2476040204110428,1.8368416652223951,{'n_components': 1},0.8827060022971702,17,0.38749796147508464,21,38,0.4952080408220856
PLS,23,4.090832880021949,0.673398621146081,0.2394918624988906,1.8257595647995213,{'n_components': 1},0.9128904836449716,15,0.43390675864719036,24,39,0.47898372499778125
PLS,24,4.108702272751704,0.6725491172801382,0.2361698449582697,1.83125676835685,{'n_components': 1},0.908718962238408,16,0.4363792723218685,25,41,0.47233968991653946
PLS,8,4.109431153520677,0.2458919295812255,0.2360343420491241,1.8195787601948432,{'n_components': 1},0.4819262716303496,24,0.009857587532101392,1,25,0.4720686840982482
PLS,31,4.113661274827629,0.7617672812867685,0.2352479394335921,1.8196178090434367,{'n_components': 1},0.9970152207203606,7,0.5265193418531764,27,34,0.47049587886718425
PLS,7,4.294818421335699,0.2365153974337046,0.2015698381455412,1.8649941975287176,{'n_components': 1},0.4380852355792458,25,0.0349455592881634,3,28,0.4031396762910824
PLS,35,4.535606733916387,0.8282525914142651,0.1568059779480082,1.848159680434511,{'n_components': 1},0.9850585693622733,8,0.6714466134662569,30,38,0.3136119558960164
PLS,6,4.5630082015184295,0.1896780491970828,0.1517118957153663,1.95148932637817,{'n_components': 1},0.3413899449124491,26,0.0379661534817165,4,30,0.3034237914307326
PLS,34,4.624340040520966,0.82233716817138,0.1403099724353601,1.8631473334917248,{'n_components': 1},0.9626471406067401,9,0.68202719573602,31,40,0.28061994487072006
PLS,5,5.068280821698003,0.1746598961594976,0.0577789606449387,2.064805615915986,{'n_components': 1},0.2324388568044363,27,0.11688093551455889,8,35,0.11555792128987741
PLS,3,5.084222817832803,0.1745849970505211,0.0548152566403737,2.068124699330764,{'n_components': 1},0.2294002536908948,28,0.1197697404101474,9,37,0.10963051328074741
PLS,4,5.087534144528839,0.1745674628424454,0.0541996629527025,2.0688748323408874,{'n_components': 1},0.2287671257951479,29,0.12036779988974289,10,39,0.10839932590540502
PLS,2,5.281262105588677,0.1703317361703024,0.0181845786976071,2.114533267037109,{'n_components': 1},0.18851631486790948,30,0.1521471574726953,12,42,0.03636915739521418
PLS,1,5.409303531737538,0.1667411144868893,-0.0056190205642951,2.151764645072361,{'n_components': 1},0.1611220939225942,31,0.17236013505118442,13,44,-0.011238041128590226
