Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Random Forest,12,1.836519263851076,0.7791285194642413,0.6585810553011895,1.1665679416502088,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",1.4377095747654307,1,0.12054746416305184,4,5,1.317162110602379
Random Forest,11,1.9734796774898904,0.70587049953869,0.6331193676344771,1.237723704193978,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 25}",1.338989867173167,3,0.0727511319042129,2,5,1.2662387352689541
Random Forest,9,2.0170225653562066,0.7147443611549307,0.6250245073642491,1.3099475878524385,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",1.3397688685191798,2,0.08971985379068159,3,5,1.2500490147284982
Random Forest,10,2.228425879214976,0.6527643535492128,0.585723478649668,1.286381098757102,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",1.2384878321988808,7,0.0670408748995448,1,8,1.171446957299336
Random Forest,14,2.550604472923569,0.6525284641003186,0.5258287214131576,1.3853225732995669,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10}",1.1783571855134762,9,0.126699742687161,5,14,1.0516574428263152
Random Forest,16,2.7173760772484608,0.807357161489017,0.4948249708535615,1.434365616159435,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",1.3021821323425784,4,0.31253219063545556,14,18,0.9896499417071228
Random Forest,15,2.890118586254726,0.7248284851417661,0.4627111965575754,1.5032778659917632,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",1.1875396816993415,8,0.2621172885841907,9,17,0.9254223931151508
Random Forest,18,2.9096652053962746,0.7868534761900791,0.459077373481991,1.5558021899065608,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",1.24593084967207,6,0.32777610270808805,16,22,0.9181547469639819
Random Forest,13,2.9986362935708466,0.8034573865296856,0.4425371630789869,1.5758321359796963,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",1.2459945496086724,5,0.3609202234506987,19,24,0.8850743261579737
Random Forest,19,3.0292451265868667,0.7313254998510845,0.4368468141278533,1.5738475329182022,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.1681723139789377,10,0.2944786857232312,12,22,0.8736936282557065
