Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
AdaBoost,11,0.2482570786660704,0.8700825430356803,0.7553049717106546,0.3784836425548991,"{'learning_rate': 0.01, 'n_estimators': 100}",1.6253875147463348,1,0.11477757132502575,1,2,1.5106099434213092
AdaBoost,9,0.2835746418305122,0.861973503875616,0.720494153166954,0.4057257279174689,"{'learning_rate': 0.01, 'n_estimators': 100}",1.58246765704257,4,0.14147935070866202,2,6,1.440988306333908
AdaBoost,13,0.2929860965320773,0.8813009519863919,0.7112177362091074,0.4399172649011573,"{'learning_rate': 0.01, 'n_estimators': 200}",1.5925186881954994,3,0.17008321577728447,4,7,1.4224354724182149
AdaBoost,10,0.2950889648066683,0.9016499540428662,0.7091450403782185,0.426406012547361,"{'learning_rate': 0.01, 'n_estimators': 500}",1.6107949944210846,2,0.19250491366464773,6,8,1.418290080756437
AdaBoost,12,0.3037375208593658,0.869050006866497,0.7006205758217683,0.4538431743742701,"{'learning_rate': 0.01, 'n_estimators': 100}",1.5696705826882653,6,0.16842943104472874,3,9,1.4012411516435366
AdaBoost,15,0.3101657554983155,0.8828899040995144,0.6942845749903716,0.4805492324330127,"{'learning_rate': 0.01, 'n_estimators': 100}",1.5771744790898858,5,0.18860532910914285,5,10,1.3885691499807429
AdaBoost,22,0.4324306266828682,0.9023036374685344,0.5737739886495916,0.584124367606957,"{'learning_rate': 0.01, 'n_estimators': 100}",1.4760776261181259,9,0.32852964881894275,9,18,1.1475479772991832
AdaBoost,14,0.4445810231795074,0.8955796989987391,0.5617979288713686,0.5639582194984007,"{'learning_rate': 0.01, 'n_estimators': 50}",1.4573776278701076,12,0.33378177012737054,10,22,1.1235958577427372
AdaBoost,23,0.4492828526618632,0.926269395383104,0.5571635623333481,0.5829788890128981,"{'learning_rate': 0.01, 'n_estimators': 50}",1.483432957716452,7,0.36910583304975597,13,20,1.114327124666696
AdaBoost,17,0.4690616413037967,0.9064905048210145,0.5376685643567674,0.5311029682412407,"{'learning_rate': 0.01, 'n_estimators': 100}",1.4441590691777817,13,0.3688219404642471,12,25,1.0753371287135347
AdaBoost,21,0.4864319821117767,0.9562444750240944,0.5205474572437594,0.6194753014028117,"{'learning_rate': 1.0, 'n_estimators': 50}",1.4767919322678538,8,0.435697017780335,17,25,1.0410949144875188
AdaBoost,29,0.4922036385151999,0.951233024764035,0.5148586139104674,0.5843536128991865,"{'learning_rate': 0.1, 'n_estimators': 50}",1.4660916386745024,10,0.43637441085356765,18,28,1.0297172278209348
AdaBoost,6,0.4929266798530072,0.7483738498096093,0.5141459469381506,0.6219764179732556,"{'learning_rate': 0.01, 'n_estimators': 100}",1.26251979674776,22,0.23422790287145867,7,29,1.0282918938763013
AdaBoost,19,0.5027249546504443,0.91197144336428,0.5044882600692473,0.5894333171013126,"{'learning_rate': 0.01, 'n_estimators': 100}",1.4164597034335273,17,0.40748318329503275,14,31,1.0089765201384946
AdaBoost,18,0.5107362355960627,0.918844650340956,0.4965919268482364,0.5806735292536188,"{'learning_rate': 0.01, 'n_estimators': 100}",1.4154365771891924,18,0.4222527234927196,16,34,0.9931838536964728
AdaBoost,20,0.5118583182878363,0.9383661793496824,0.4954859440602255,0.6100366834650204,"{'learning_rate': 0.01, 'n_estimators': 500}",1.433852123409908,14,0.44288023528945686,20,34,0.9909718881204511
AdaBoost,24,0.5147796862386115,0.9669259403308436,0.4926064925771117,0.6272016184873102,"{'learning_rate': 0.5, 'n_estimators': 200}",1.4595324329079553,11,0.47431944775373186,22,33,0.9852129851542235
AdaBoost,16,0.5163548803081459,0.9311497476645592,0.491053899758905,0.5734308642306251,"{'learning_rate': 0.01, 'n_estimators': 200}",1.4222036474234643,15,0.44009584790565415,19,34,0.9821077995178101
AdaBoost,27,0.5552564586013762,0.9684323160504644,0.452710490370099,0.6468196961638216,"{'learning_rate': 1.0, 'n_estimators': 200}",1.4211428064205633,16,0.5157218256803655,24,40,0.9054209807401978
AdaBoost,25,0.5685703657506959,0.9277714854270412,0.4395876142609886,0.6241923246156877,"{'learning_rate': 0.01, 'n_estimators': 50}",1.3673590996880298,20,0.48818387116605266,23,43,0.8791752285219772
AdaBoost,26,0.5698714324464423,0.9653168523105669,0.4383052155731742,0.6592130596327421,"{'learning_rate': 0.5, 'n_estimators': 100}",1.403622067883741,19,0.5270116367373927,25,44,0.8766104311463483
AdaBoost,8,0.5814377086439186,0.7792777585442352,0.4269048950000366,0.6957016734445829,"{'learning_rate': 0.01, 'n_estimators': 200}",1.2061826535442717,23,0.3523728635441986,11,34,0.8538097900000731
AdaBoost,28,0.6187388658508641,0.9636762835429508,0.3901389434830767,0.6703615034212747,"{'learning_rate': 1.0, 'n_estimators': 100}",1.3538152270260275,21,0.573537340059874,28,49,0.7802778869661535
AdaBoost,4,0.6695086331387038,0.7613911739744296,0.3400976326391201,0.735642364348961,"{'learning_rate': 0.01, 'n_estimators': 500}",1.1014888066135495,24,0.4212935413353095,15,39,0.68019526527824
AdaBoost,5,0.6836404814937069,0.7745157968203835,0.3261685513352208,0.7544087384502702,"{'learning_rate': 0.01, 'n_estimators': 500}",1.1006843481556043,25,0.4483472454851627,21,46,0.6523371026704416
AdaBoost,1,0.7762548919382115,0.5603528922227761,0.2348829940190404,0.752604905151945,"{'learning_rate': 0.01, 'n_estimators': 500}",0.7952358862418165,29,0.3254698982037357,8,37,0.46976598803808084
AdaBoost,3,0.8226902811129861,0.7592528667421162,0.189113870621629,0.8229237846722719,"{'learning_rate': 0.01, 'n_estimators': 500}",0.9483667373637452,27,0.5701389961204872,27,54,0.378227741243258
AdaBoost,2,0.8382070476366202,0.7155976215170682,0.1738197422774903,0.8066864204453368,"{'learning_rate': 0.5, 'n_estimators': 50}",0.8894173637945585,28,0.5417778792395779,26,54,0.3476394845549806
AdaBoost,7,0.8471181140832035,0.8253497627285911,0.165036533887417,0.8403733314821141,"{'learning_rate': 0.5, 'n_estimators': 50}",0.9903862966160081,26,0.660313228841174,29,55,0.33007306777483403
