Model,PC,MSE,R2,Q2,MAE,Best Params
PLS,1,5.409303531737538,0.1667411144868893,-0.0056190205642951,2.151764645072361,"{'n_components': 1, 'scale': True}"
PLS,1,5.510483806509058,0.1406117282120704,-0.0244289853257808,2.1725067450087114,{'n_components': 1}
PLS,2,5.531951760219029,0.1404648994828311,-0.0284199949736356,2.179036518092675,{'n_components': 1}
PLS,3,4.884796560921571,0.1760098503243965,0.0918896851639768,2.024176598245701,{'n_components': 1}
PLS,4,4.96221888360714,0.1761937483407178,0.0774964532345668,2.0411175491556643,{'n_components': 1}
PLS,5,4.995465174314724,0.1764542213100977,0.0713157865179374,2.048399497065177,{'n_components': 1}
PLS,6,4.356136171369887,0.195851588372061,0.1901705340815707,1.9176880390010504,{'n_components': 1}
PLS,7,4.234083013923197,0.2159690183682091,0.2128608815409401,1.9038198167482696,{'n_components': 1}
PLS,8,2.5742819487732587,0.3052012712662416,0.5214269495521966,1.497947521118148,{'n_components': 1}
PLS,9,2.5167117929870075,0.3070222559782735,0.5321295554118659,1.4769352050060187,{'n_components': 1}
