Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
MLP,1,0.961203459919126,0.027611812011249,0.0077528597411903,0.8641273697533665,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",0.0353646717524393,1,0.0198589522700587,1,2,0.015505719482380598
MLP,29,2.0216223266603,-0.4645630476781333,-1.0869140155621375,1.256038276684131,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.5514770632402708,26,0.6223509678840042,2,28,-2.173828031124275
MLP,18,2.023862985497665,0.6119332161672805,-1.089227040240449,1.1451507761939723,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.47729382407316845,6,1.7011602564077295,7,13,-2.178454080480898
MLP,32,2.0437291870710634,0.7591709443046738,-1.1097348541643273,1.1464428751146671,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.35056390985965347,3,1.868905798469001,14,17,-2.2194697083286545
MLP,2,2.0528424738881483,0.4757384771091471,-1.1191424698874035,1.1449430559029097,"{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",-0.6434039927782564,12,1.5948809469965506,6,18,-2.238284939774807
MLP,27,2.0652351714773327,0.7121470459239512,-1.1319354104621238,1.1639016816310137,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.4197883645381726,4,1.844082456386075,12,16,-2.2638708209242475
MLP,20,2.074624066741088,0.6402958289293932,-1.1416275358696146,1.1345055924666567,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.5013317069402214,7,1.7819233647990078,11,18,-2.2832550717392293
MLP,21,2.0874203296035603,0.618959019622163,-1.1548370755360209,1.2050866814504289,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.5358780559138578,9,1.773796095158184,9,18,-2.3096741510720418
MLP,30,2.100304951461584,0.999928117837906,-1.168137827900162,1.18295115272332,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",-0.16820971006225593,2,2.1680659457380678,24,26,-2.336275655800324
MLP,28,2.102302890743721,0.5524286956893563,-1.170200293987496,1.2286210836625735,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",-0.6177715982981398,11,1.7226289896768523,8,19,-2.340400587974992
MLP,33,2.1140809405907435,0.7478165191880212,-1.1823587357387533,1.184551188982273,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.4345422165507321,5,1.9301752549267746,16,21,-2.3647174714775065
MLP,31,2.1469275945019324,0.7086455338552597,-1.216266227512857,1.149916692364468,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.5076206936575973,8,1.9249117613681168,15,23,-2.432532455025714
MLP,22,2.1557557248745534,0.6236952111056779,-1.2253794771850983,1.1914292228248833,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.6016842660794204,10,1.8490746882907763,13,23,-2.4507589543701966
MLP,19,2.3006384986070056,0.5802275011737711,-1.3749414834651068,1.2421137538128944,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.7947139822913357,14,1.955168984638878,17,31,-2.7498829669302136
MLP,34,2.334611210060218,0.6782015281112364,-1.4100114007010722,1.266262173668772,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.7318098725898359,13,2.0882129288123084,20,33,-2.8200228014021445
MLP,25,2.3884775092499044,0.6553429833565269,-1.4656174025061317,1.2103661663200147,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.8102744191496049,15,2.1209603858626584,22,37,-2.9312348050122634
