Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Random Forest,5,0.3139051599775068,0.9314901095571672,0.830886838053167,0.4284687590928384,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.7623769476103341,1,0.10060327150400017,2,3,1.661773676106334
Random Forest,6,0.3495617468316133,0.930645524530065,0.8116772202579007,0.4655412537219089,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.7423227447879657,2,0.11896830427216432,3,5,1.6233544405158014
Random Forest,1,0.3741684183097779,0.8800696957071658,0.7984206302134506,0.3839677357041928,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",1.6784903259206163,7,0.0816490654937152,1,8,1.596841260426901
Random Forest,9,0.3751752327786661,0.9199841033946152,0.7978782193198554,0.5118083501681315,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.7178623227144705,3,0.12210588407475986,4,7,1.5957564386397105
Random Forest,7,0.4020753543247702,0.9164803366140202,0.7833860567452047,0.5304254116383864,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.6998663933592248,5,0.1330942798688155,5,10,1.5667721134904093
Random Forest,10,0.4252949673858334,0.9301304629665887,0.7708767300931044,0.5659334306008722,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.7010071930596933,4,0.15925373287348432,7,11,1.541753460186209
Random Forest,8,0.4486644927976989,0.9079533595719428,0.7582866397107717,0.5717040702028221,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.6662399992827144,9,0.14966671986117108,6,15,1.5165732794215434
Random Forest,12,0.4559919311077036,0.91862322518245,0.7543390580218818,0.5704708570683005,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.6729622832043318,8,0.16428416716056815,8,16,1.5086781160437637
Random Forest,4,0.4563324174395048,0.939659761560804,0.7541556245282282,0.4790926024764233,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.6938153860890321,6,0.18550413703257584,12,18,1.5083112490564563
Random Forest,3,0.4880988190768526,0.9038296032589944,0.7370418038285307,0.5360031468045118,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.6408714070875252,10,0.16678779943046373,9,19,1.4740836076570614
Random Forest,13,0.5142263125544113,0.9055411367177753,0.7229658866436974,0.5849573477675459,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.6285070233614727,12,0.18257525007407782,11,23,1.4459317732873949
Random Forest,11,0.5191316818648312,0.9002673357674192,0.7203231696056547,0.5955253661433613,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.620590505373074,13,0.17994416616176456,10,23,1.4406463392113094
Random Forest,2,0.5500933734712358,0.9275789586691188,0.703642878121574,0.5499558077138055,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.6312218367906928,11,0.22393608054754477,16,27,1.407285756243148
Random Forest,18,0.5541832344088624,0.913811547021274,0.701439507794261,0.6240372824565683,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.615251054815535,14,0.21237203922701298,14,28,1.402879015588522
Random Forest,14,0.5761735890579831,0.9094973618189172,0.689592431411982,0.653449365467106,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.5990897932308992,15,0.21990493040693515,15,30,1.379184862823964
Random Forest,22,0.6160714051890597,0.8787223164799243,0.6680978951603855,0.6323967579624193,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.5468202116403098,18,0.21062442131953873,13,31,1.336195790320771
Random Forest,17,0.6190996492361991,0.9064194469410366,0.6664664599651338,0.6594875014585906,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.5728859069061705,16,0.23995298697590284,18,34,1.3329329199302675
Random Forest,15,0.6265796250140927,0.8916685297282073,0.6624367002913012,0.6599443284537203,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.5541052300195086,17,0.22923182943690612,17,34,1.3248734005826024
Random Forest,31,0.6942034250710213,0.8849287212444846,0.626005076640046,0.6983513545599329,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.5109337978845305,21,0.2589236446044386,20,41,1.252010153280092
Random Forest,30,0.6959328505186829,0.9005380250501877,0.6250733665470155,0.7494263564270106,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.5256113915972032,20,0.27546465850317214,22,42,1.250146733094031
Random Forest,19,0.7023063535003475,0.9081288157314216,0.621639707661051,0.7143487684300767,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.5297685233924727,19,0.28648910807037054,25,44,1.2432794153221023
Random Forest,24,0.7130311379509873,0.8815602035389255,0.6158618408372758,0.7184141788160792,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.4974220443762012,24,0.2656983627016497,21,45,1.2317236816745516
