Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
SVR,9,0.4613845392142855,0.8980039944817948,0.7514338461161281,0.4831447397705626,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.6494378405979229,1,0.14657014836566673,3,4,1.5028676922322561
SVR,8,0.467761800500649,0.8937566018454497,0.7479981624823345,0.4780935701071316,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.6417547643277843,2,0.14575843936311517,2,4,1.4959963249646693
SVR,6,0.4808123836562908,0.8896439193173581,0.7409672956343387,0.4913040421694019,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.630611214951697,4,0.14867662368301937,4,8,1.4819345912686774
SVR,2,0.4886641306196245,0.8499671699956672,0.7367372480751622,0.4949977575184109,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.5867044180708294,14,0.11322992192050507,1,15,1.4734744961503243
SVR,5,0.4976562360351458,0.8845043525843836,0.7318928441810464,0.4818858513452506,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.61639719676543,9,0.15261150840333726,5,14,1.4637856883620928
SVR,13,0.5255730011211946,0.9085466518619784,0.7168529754023141,0.4876220152038866,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.6253996272642923,5,0.1916936764596643,7,12,1.4337059508046281
SVR,16,0.5266937281233253,0.9153272158180356,0.7162491953082785,0.4937146468122379,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.631576411126314,3,0.1990780205097571,9,12,1.432498390616557
SVR,12,0.5289926088656779,0.908252227177322,0.7150106970583427,0.5043003742296908,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.6232629242356649,6,0.19324153011897927,8,14,1.4300213941166855
SVR,14,0.5425715825626722,0.9100902468216068,0.7076951652650579,0.5012677859130981,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.6177854120866648,8,0.20239508155654884,10,18,1.415390330530116
SVR,10,0.5963149013729617,0.865901286468066,0.6787415074845486,0.5564355200355012,"{'C': 100, 'gamma': 'scale', 'kernel': 'linear'}",1.5446427939526146,22,0.18715977898351732,6,28,1.3574830149690973
SVR,24,0.5985199390753982,0.942463219294298,0.6775535662028642,0.5398673862285511,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",1.620016785497162,7,0.26490965309143377,14,21,1.3551071324057284
SVR,23,0.6043445789441418,0.9401669799443116,0.6744156016486167,0.5485269557121949,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",1.6145825815929284,10,0.26575137829569495,15,25,1.3488312032972334
SVR,15,0.6213638942121453,0.9093509321129152,0.6652466213765234,0.5687394412002159,"{'C': 100, 'gamma': 'scale', 'kernel': 'linear'}",1.5745975534894385,15,0.24410431073639183,13,28,1.3304932427530467
SVR,11,0.6227265287252794,0.8743926327438134,0.6645125161101094,0.6107246626309099,"{'C': 100, 'gamma': 'scale', 'kernel': 'linear'}",1.5389051488539227,26,0.20988011663370398,11,37,1.3290250322202186
