Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Gradient Boosting,24,0.3323835180346776,0.9942195279302533,0.832955710234406,0.3601311775773329,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.827175238164659,1,0.1612638176958473,1,2,1.6659114204688117
Gradient Boosting,26,0.3508391687909985,0.9951729976576044,0.823680547943026,0.3589752898514903,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.8188535456006303,2,0.17149244971457833,2,4,1.647361095886052
Gradient Boosting,19,0.3709350550411182,0.9992135525067544,0.8135810608634314,0.3573694118562356,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.8127946133701858,3,0.18563249164332296,3,6,1.6271621217268628
Gradient Boosting,30,0.3881443673320026,0.9941658132015162,0.8049322645392852,0.3597818992095522,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.7990980777408014,5,0.18923354866223097,4,9,1.6098645290785705
Gradient Boosting,22,0.3932205645135029,0.9973375688538906,0.80238114600637,0.4125378300206149,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.7997187148602607,4,0.19495642284752057,5,9,1.6047622920127402
Gradient Boosting,33,0.3946175023742974,0.9970899728996016,0.8016790940689489,0.3804697901353643,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.7987690669685503,6,0.19541087883065267,6,12,1.6033581881378978
Gradient Boosting,27,0.4050117737250662,0.9974673858052217,0.7964552981187571,0.40403511006004,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.7939226839239788,7,0.2010120876864645,7,14,1.5929105962375143
Gradient Boosting,34,0.4236880538826057,0.999423864856684,0.7870692552342422,0.3888339394764163,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.7864931200909262,8,0.2123546096224418,9,17,1.5741385104684844
Gradient Boosting,35,0.4287284118545742,0.9944525698764716,0.7845361482301098,0.4120895764096345,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.7789887181065813,10,0.20991642164636182,8,18,1.5690722964602195
Gradient Boosting,23,0.4374629503653038,0.9987710469908222,0.7801464757500115,0.3713966626601437,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.7789175227408336,11,0.2186245712408107,11,22,1.5602929515000228
Gradient Boosting,31,0.4386763388374204,0.999962216760389,0.7795366692929016,0.3988009509579392,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7794988860532905,9,0.22042554746748744,13,22,1.559073338585803
Gradient Boosting,29,0.4589018905920247,0.999041357468066,0.7693720168819097,0.3952748866613553,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.7684133743499757,12,0.2296693405861563,16,28,1.5387440337638194
Gradient Boosting,20,0.4736653679908399,0.9878684145103236,0.7619524113276469,0.4417693025944383,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.7498208258379706,14,0.22591600318267668,15,29,1.523904822655294
Gradient Boosting,21,0.4812059060862314,0.9989089109291244,0.7581628015478272,0.3843499250247408,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7570717124769515,13,0.24074610938129715,18,31,1.5163256030956545
Gradient Boosting,14,0.489125213179841,0.9690501155258844,0.7541828357639955,0.4188863134589088,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.7232329512898799,18,0.2148672797618889,10,28,1.508365671527991
Gradient Boosting,15,0.4985692901221624,0.9689285946469006,0.7494365741724172,0.4452772592040936,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.7183651688193178,20,0.21949202047448346,12,32,1.4988731483448343
