Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
MLP,5,0.278555283252574,0.943428949520184,0.8600078917074176,0.4263490998647746,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",1.8034368412276016,1,0.08342105781276632,1,2,1.7200157834148353
MLP,2,0.3959802877442737,0.9048633561832224,0.8009942059746876,0.4085977844466369,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",1.70585756215791,4,0.10386915020853482,2,6,1.601988411949375
MLP,30,0.4762496658574129,0.9966447583245588,0.7606536339267188,0.5543846338005062,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",1.7572983922512777,2,0.23599112439783998,12,14,1.5213072678534378
MLP,15,0.4937706044192126,0.9818036382736768,0.7518482251766463,0.5417760527593043,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.733651863450323,3,0.2299554130970305,11,14,1.5036964503532926
MLP,3,0.4986273949754276,0.956379534589624,0.7494073727126004,0.4620382570196616,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.7057869073022243,5,0.2069721618770236,8,13,1.4988147454252005
MLP,10,0.5118396634185,0.9396072453001736,0.7427673503332863,0.4800516030603672,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",1.68237459563346,7,0.19683989496688725,6,13,1.4855347006665727
MLP,16,0.5321922716388144,0.971014651856194,0.73253884380221,0.527010736627417,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",1.703553495658404,6,0.23847580805398394,13,19,1.46507768760442
MLP,9,0.5354691413335564,0.9473042296297074,0.7308920041091678,0.5534705229970978,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.6781962337388752,8,0.21641222552053963,9,17,1.4617840082183355
MLP,33,0.5560131518409578,0.8922720317293916,0.7205673055066704,0.6392916436032468,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.6128393372360619,19,0.17170472622272126,5,24,1.4411346110133407
MLP,8,0.5850490799330799,0.9339876718436736,0.7059748671856843,0.5780476090239172,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",1.6399625390293577,16,0.22801280465798934,10,26,1.4119497343713685
MLP,12,0.5983286688384202,0.9627604328417412,0.6993010119049294,0.6007588062987984,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.6620614447466706,11,0.26345942093681174,14,25,1.3986020238098589
