Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Gradient Boosting,12,0.5835929122060399,0.998278085689594,0.7882125307347112,0.4407500118853748,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.786490616424305,1,0.21006555495488277,1,2,1.5764250614694224
Gradient Boosting,13,0.6173719725705783,0.9934953590348304,0.7759540170359718,0.4369094056072903,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7694493760708023,2,0.21754134199885866,3,5,1.5519080340719436
Gradient Boosting,15,0.6290222545615962,0.994320488758806,0.771726097732124,0.439088898144704,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7660465864909298,3,0.222594391026682,4,7,1.5434521954642477
Gradient Boosting,23,0.6355949961727716,0.9951310391455191,0.7693408317652988,0.4412063910287881,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.764471870910818,5,0.22579020738022038,5,10,1.5386816635305975
Gradient Boosting,14,0.6397571684118393,0.9942682551218324,0.7678303680384069,0.4426544611032142,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7620986231602394,6,0.2264378870834255,6,12,1.5356607360768137
Gradient Boosting,25,0.6452244949339396,0.9995185565415382,0.7658462602407546,0.4513246492474743,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7653648167822928,4,0.23367229630078357,7,11,1.5316925204815093
Gradient Boosting,3,0.6543226177788098,0.979434805969574,0.7625445264943731,0.4405122078735929,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7419793324639472,15,0.2168902794752009,2,17,1.5250890529887462
Gradient Boosting,5,0.6629779955073083,0.9990215773938746,0.7594034661656509,0.4808522589726501,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.7584250435595257,7,0.23961811122822374,9,16,1.518806932331302
Gradient Boosting,42,0.6739386939879263,0.9968551987074246,0.7554257986099997,0.4253659418161519,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7522809973174243,8,0.24142940009742486,10,18,1.5108515972199994
Gradient Boosting,11,0.6750493078472408,0.9940734236671426,0.755022753792841,0.4765526667926805,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7490961774599836,11,0.23905066987430157,8,19,1.510045507585682
Gradient Boosting,24,0.6801176696364415,0.996004058782506,0.7531834313915492,0.4320229744257602,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7491874901740552,10,0.24282062739095678,11,21,1.5063668627830984
Gradient Boosting,21,0.6836404373875855,0.9960166099750222,0.751905009307902,0.4626107170994881,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7479216192829243,12,0.24411160066712012,12,24,1.503810018615804
Gradient Boosting,40,0.6838584018699867,0.9995450711049888,0.7518259093991266,0.4491745642601189,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7513709805041153,9,0.24771916170586217,15,24,1.5036518187982533
Gradient Boosting,16,0.6907957701725534,0.9944273383593332,0.7493083194054306,0.4628390462026465,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7437356577647638,13,0.24511901895390253,13,26,1.4986166388108613
Gradient Boosting,18,0.7008895741336828,0.9939744533574966,0.7456452502497298,0.4637032585296549,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7396197036072265,17,0.24832920310776674,16,33,1.4912905004994599
Gradient Boosting,19,0.701748646911404,0.9950060052696216,0.7453334903813302,0.4702979699479322,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.740339495650952,16,0.24967251488829134,18,34,1.4906669807626605
Gradient Boosting,39,0.7094228239482484,0.9996007562671128,0.7425485104761027,0.4628775089137159,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7421492667432155,14,0.25705224579101005,21,35,1.4850970209522054
Gradient Boosting,29,0.7118636324385671,0.9952929055752224,0.741662734377192,0.4561990113057207,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7369556399524144,18,0.25363017119803044,19,37,1.483325468754384
Gradient Boosting,7,0.7168577672427959,0.9864810637678914,0.7398503491524311,0.5020403267545285,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.7263314129203224,24,0.24663071461546027,14,38,1.4797006983048622
Gradient Boosting,22,0.719900163101769,0.9953057008035978,0.7387462553466317,0.4757653918569651,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7340519561502297,20,0.2565594454569661,20,40,1.4774925106932635
Gradient Boosting,6,0.7259344336779628,0.986039129529111,0.736556401996009,0.5107907611878552,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.72259553152512,26,0.24948272753310197,17,43,1.473112803992018
Gradient Boosting,35,0.7289552826830815,0.999038306053882,0.7354601276025997,0.4932468492883564,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7344984336564817,19,0.2635781784512823,24,43,1.4709202552051994
Gradient Boosting,37,0.7377997686231015,0.9992389674428604,0.7322504393849882,0.4976384851115347,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7314894068278486,21,0.2669885280578722,25,46,1.4645008787699765
Gradient Boosting,33,0.74073188904749,0.999787396993744,0.7311863648370043,0.4574130674553314,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7309737618307484,22,0.2686010321567397,26,48,1.4623727296740086
Gradient Boosting,32,0.7436392004854473,0.9995616448448932,0.730131293538274,0.4740188201044777,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7296929383831672,23,0.2694303513066192,29,52,1.460262587076548
Gradient Boosting,17,0.7474196129144615,0.9917020328291716,0.7287593714940301,0.5004128039136013,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7204614043232018,28,0.26294266133514144,23,51,1.4575187429880603
Gradient Boosting,10,0.74745803345008,0.988539675381746,0.7287454285762252,0.52556747810816,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.717285103957971,29,0.2597942468055209,22,51,1.4574908571524503
Gradient Boosting,26,0.753301793102345,0.9996612203318552,0.7266247121626734,0.4979269213819968,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7262859324945286,25,0.2730365081691818,31,56,1.4532494243253469
Gradient Boosting,20,0.7555428466604148,0.994905406374732,0.7258114276768193,0.4849963647012477,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7207168340515513,27,0.26909397869791274,28,55,1.4516228553536386
Gradient Boosting,9,0.775974908612581,0.9872634371388171,0.7183965763271629,0.532653960278461,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.70566001346598,35,0.26886686081165423,27,62,1.4367931526543258
Gradient Boosting,27,0.7792276043990566,0.993997290361524,0.717216164100593,0.4919538364076448,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.711213454462117,31,0.276781126260931,32,63,1.434432328201186
Gradient Boosting,8,0.783161666642189,0.9865066050635488,0.7157884821171783,0.5495493439146723,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.702295087180727,37,0.27071812294637054,30,67,1.4315769642343565
Gradient Boosting,31,0.7861649829689915,0.9994785340215488,0.714698570380841,0.5043584346407093,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.7141771044023897,30,0.2847799636407079,34,64,1.4293971407616817
Gradient Boosting,30,0.7910921097431417,0.9937597189225762,0.7129105025540712,0.4923263415897602,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.7066702214766474,33,0.280849216368505,33,66,1.4258210051081424
Gradient Boosting,41,0.8043789629304139,0.9996573993325238,0.7080886670722202,0.5228955800229408,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.7077460664047441,32,0.29156873226030366,36,68,1.4161773341444404
Gradient Boosting,28,0.8073266295483096,0.9992978605988678,0.7070189507679525,0.5148365312131491,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.7063168113668203,34,0.2922789098309153,37,71,1.414037901535905
Gradient Boosting,38,0.8123048684229092,0.999750019847288,0.7052123342196739,0.5136896898485794,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7049623540669618,36,0.29453768562761407,38,74,1.4104246684393478
Gradient Boosting,34,0.8268661361747225,0.9996310025698752,0.6999280101952552,0.5072577549116861,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.6995590127651306,38,0.29970299237462006,39,77,1.3998560203905104
Gradient Boosting,4,0.8411077633188536,0.985038417350426,0.6947596846244839,0.5026129850080466,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.6797981019749098,40,0.29027873272594207,35,75,1.3895193692489678
Gradient Boosting,36,0.8500685276389572,0.9996084701432968,0.691507798663663,0.5247887788440955,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.6911162688069599,39,0.3081006714796338,40,79,1.3830155973273262
Gradient Boosting,2,1.088376911723464,0.9621077603546424,0.6050250321420928,0.5520616859781428,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.5671327924967353,41,0.3570827282125496,41,82,1.2100500642841858
Gradient Boosting,1,1.648833749441382,0.8070787534167709,0.4016337077957859,0.8118966266343894,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.2087124612125568,42,0.40544504562098505,42,84,0.8032674155915718
