Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
KNN,12,0.5509650758021303,0.8848508775423465,0.8000532620990877,0.5078241768104367,"{'metric': 'chebyshev', 'n_neighbors': 5, 'weights': 'uniform'}",1.6849041396414342,2,0.08479761544325881,2,4,1.6001065241981753
KNN,11,0.5509650758021303,0.888331586895232,0.8000532620990877,0.5078241768104367,"{'metric': 'chebyshev', 'n_neighbors': 5, 'weights': 'uniform'}",1.6883848489943196,1,0.08827832479614428,3,4,1.6001065241981753
KNN,4,0.6415296639265058,0.8782830722263169,0.7671871245522647,0.5377195941112671,"{'metric': 'chebyshev', 'n_neighbors': 5, 'weights': 'uniform'}",1.6454701967785814,34,0.11109594767405218,4,38,1.5343742491045291
KNN,26,0.692413169142372,0.9042227889190394,0.748721360881011,0.577183398295175,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",1.6529441498000503,8,0.15550142803802836,15,23,1.497442721762022
KNN,38,0.692413169142372,0.9042227889190394,0.748721360881011,0.577183398295175,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",1.6529441498000503,14,0.15550142803802836,14,28,1.497442721762022
KNN,42,0.692413169142372,0.9042227889190394,0.748721360881011,0.577183398295175,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",1.6529441498000503,15,0.15550142803802836,13,28,1.497442721762022
KNN,18,0.692413169142372,0.9014598966269592,0.748721360881011,0.577183398295175,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",1.6501812575079704,30,0.1527385357459482,7,37,1.497442721762022
KNN,21,0.692413169142372,0.9014598966269592,0.748721360881011,0.577183398295175,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",1.6501812575079704,29,0.1527385357459482,8,37,1.497442721762022
KNN,25,0.692413169142372,0.9042227889190394,0.748721360881011,0.577183398295175,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",1.6529441498000503,9,0.15550142803802836,28,37,1.497442721762022
KNN,41,0.692413169142372,0.9042227889190394,0.748721360881011,0.577183398295175,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",1.6529441498000503,13,0.15550142803802836,16,29,1.497442721762022
KNN,23,0.692413169142372,0.9034491411160612,0.748721360881011,0.577183398295175,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",1.6521705019970723,27,0.15472778023505018,11,38,1.497442721762022
KNN,37,0.692413169142372,0.9042227889190394,0.748721360881011,0.577183398295175,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",1.6529441498000503,16,0.15550142803802836,22,38,1.497442721762022
KNN,36,0.692413169142372,0.9042227889190394,0.748721360881011,0.577183398295175,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",1.6529441498000503,17,0.15550142803802836,23,40,1.497442721762022
KNN,22,0.692413169142372,0.9034491411160612,0.748721360881011,0.577183398295175,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",1.6521705019970723,28,0.15472778023505018,12,40,1.497442721762022
KNN,39,0.692413169142372,0.9042227889190394,0.748721360881011,0.577183398295175,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",1.6529441498000503,11,0.15550142803802836,30,41,1.497442721762022
KNN,24,0.692413169142372,0.9042227889190394,0.748721360881011,0.577183398295175,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",1.6529441498000503,10,0.15550142803802836,31,41,1.497442721762022
KNN,29,0.692413169142372,0.9042227889190394,0.748721360881011,0.577183398295175,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",1.6529441498000503,24,0.15550142803802836,17,41,1.497442721762022
KNN,19,0.692413169142372,0.9014598966269592,0.748721360881011,0.577183398295175,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",1.6501812575079704,31,0.1527385357459482,10,41,1.497442721762022
KNN,33,0.692413169142372,0.9042227889190394,0.748721360881011,0.577183398295175,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",1.6529441498000503,20,0.15550142803802836,21,41,1.497442721762022
KNN,30,0.692413169142372,0.9042227889190394,0.748721360881011,0.577183398295175,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",1.6529441498000503,23,0.15550142803802836,18,41,1.497442721762022
KNN,32,0.692413169142372,0.9042227889190394,0.748721360881011,0.577183398295175,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",1.6529441498000503,21,0.15550142803802836,20,41,1.497442721762022
