Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
XGBoost,14,0.6418481413750986,0.997025052392278,0.7670715482122428,0.4837278548700941,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.7640966006045207,1,0.22995350418003524,1,2,1.5341430964244855
XGBoost,10,0.6718558347909034,0.9956580849636638,0.7561816739281317,0.5046895818472412,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.7518397588917956,2,0.23947641103553208,2,4,1.5123633478562635
XGBoost,29,0.7114387439946527,0.9978333783678212,0.7418169275594164,0.5369659948511861,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.7396503059272375,3,0.25601645080840474,3,6,1.4836338551188328
XGBoost,32,0.7233498970500923,0.999712747343384,0.7374943374304388,0.6078677228567719,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.7372070847738228,4,0.2622184099129452,6,10,1.4749886748608776
XGBoost,12,0.7261974466341846,0.99766164543364,0.7364609538724676,0.53655372515108,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.7341225993061076,5,0.2612006915611724,5,10,1.4729219077449351
XGBoost,13,0.7373837174857207,0.9978526863291391,0.7324014254844214,0.5535831230550494,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.7302541118135606,6,0.2654512608447177,7,13,1.4648028509688429
XGBoost,15,0.7375785849987536,0.9886834293945098,0.7323307075292098,0.5443628163651268,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.7210141369237197,10,0.2563527218653,4,14,1.4646614150584196
XGBoost,5,0.7399740215263643,0.9987786110894068,0.7314613970400701,0.550338758693279,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",1.7302400081294769,7,0.2673172140493367,8,15,1.4629227940801401
XGBoost,7,0.7548054618031232,0.9969637802457586,0.7260790266649736,0.5728281057011112,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.7230428069107322,9,0.270884753580785,9,18,1.4521580533299472
XGBoost,24,0.7582895456347563,0.9988088578922154,0.7248146430818687,0.5245081995946214,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",1.7236235009740841,8,0.2739942148103467,12,20,1.4496292861637374
XGBoost,23,0.7673717361607587,0.99345135703699,0.7215186912177238,0.5758335051332625,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.7149700482547137,12,0.2719326658192661,10,22,1.4430373824354477
XGBoost,21,0.7757141126864624,0.999670659456426,0.7184912198843962,0.5943519967065192,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.7181618793408222,11,0.28117943957202973,14,25,1.4369824397687925
XGBoost,17,0.782375258364907,0.9885551632507332,0.7160738718389712,0.5907082355242849,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.7046290350897044,15,0.272481291411762,11,26,1.4321477436779424
XGBoost,33,0.7868370349823105,0.9980122302043426,0.7144546808610429,0.5859499172226836,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.7124669110653854,13,0.2835575493432997,15,28,1.4289093617220856
XGBoost,16,0.8020350805605686,0.9978727820693268,0.708939268416038,0.577409612136799,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.706812050485365,14,0.2889335136532888,19,33,1.417878536832076
XGBoost,31,0.8063921030119238,0.990946006490696,0.7073580930124226,0.5831087633925919,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.6983040995031184,22,0.2835879134782734,16,38,1.4147161860248452
XGBoost,4,0.8070702022583057,0.9842153288315958,0.7071120089351519,0.6084677571837429,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.6913273377667477,26,0.2771033198964439,13,39,1.4142240178703038
XGBoost,22,0.808477527388111,0.997272846053657,0.7066012867837326,0.6686302713555112,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.7038741328373894,16,0.2906715592699244,20,36,1.4132025735674651
XGBoost,6,0.8098450630398882,0.9934472983359214,0.7061050043430752,0.5946921531183851,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.6995523026789967,21,0.28734229399284617,18,39,1.4122100086861504
XGBoost,20,0.8105882627486148,0.9896253217205928,0.7058352951293788,0.5749587993658846,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.6954606168499717,24,0.283790026591214,17,41,1.4116705902587579
XGBoost,25,0.8140304393270781,0.9988790392474718,0.7045861198034461,0.5752190524527443,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",1.7034651590509178,17,0.2942929194440257,22,39,1.409172239606892
XGBoost,19,0.8149514791716677,0.9980235392403496,0.7042518719164375,0.6255270498752934,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.702275411156787,18,0.29377166732391213,21,39,1.408503743832875
XGBoost,26,0.8177865444419593,0.998133203018087,0.7032230189502022,0.6240489812210839,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.7013562219682892,19,0.2949101840678847,23,42,1.4064460379004045
XGBoost,18,0.8217812783921906,0.9987892510171548,0.7017733190377933,0.586679603433643,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",1.700562570054948,20,0.2970159319793615,26,46,1.4035466380755866
XGBoost,36,0.827659534738588,0.998023299991699,0.6996400836792792,0.571153492124298,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.6976633836709782,23,0.2983832163124198,27,50,1.3992801673585584
XGBoost,34,0.8409257467105055,0.9979890722191468,0.6948257389511217,0.5867634332310184,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.6928148111702686,25,0.30316333326802514,28,53,1.3896514779022433
XGBoost,27,0.854823936898675,0.9978208903599864,0.6897820475940872,0.569787987260155,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.6876029379540736,27,0.3080388427658992,31,58,1.3795640951881745
XGBoost,11,0.8550214129535887,0.9850614284883412,0.6897103829918689,0.6129248104775817,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.6747718114802101,31,0.2953510454964723,24,55,1.3794207659837379
XGBoost,8,0.8577655249792423,0.984268349382061,0.6887145372076959,0.6174025131319069,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.672982886589757,34,0.29555381217436505,25,59,1.3774290744153919
XGBoost,9,0.8583572864567304,0.9948764645986984,0.6884997853436747,0.6176777603938532,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",1.683376249942373,29,0.30637667925502365,30,59,1.3769995706873495
XGBoost,38,0.8601394392809544,0.9922383567954018,0.6878530371933936,0.6188303335059243,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.6800913939887954,30,0.3043853196020082,29,59,1.375706074386787
XGBoost,28,0.8628815843079564,0.9997990579499032,0.6868579052384289,0.6132940340204976,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.6866569631883321,28,0.31294115271147427,33,61,1.3737158104768579
XGBoost,39,0.8767428931598532,0.9921989485855244,0.6818275982195332,0.5905376775611001,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.6740265468050577,32,0.31037135036599117,32,64,1.3636551964390664
XGBoost,30,0.8819774377140236,0.99349065222089,0.6799279676368151,0.6012395906611226,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.673418619857705,33,0.3135626845840749,34,67,1.3598559352736301
XGBoost,42,0.9151766799902968,0.990640609160657,0.6678798715133744,0.6359341225903551,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.6585204806740315,36,0.32276073764728264,36,72,1.335759743026749
XGBoost,37,0.9171078856174736,0.99646232767602,0.6671790316918889,0.5996073770685934,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.663641359367909,35,0.3292832959841312,38,73,1.3343580633837777
XGBoost,3,0.924115697262438,0.982701134836155,0.6646358776159347,0.6317463952074837,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",1.6473370124520896,38,0.3180652572202203,35,73,1.3292717552318694
XGBoost,41,0.9285436631760312,0.9911333777810714,0.6630289566351983,0.613314001298129,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.6541623344162697,37,0.328104421145873,37,74,1.3260579132703967
XGBoost,35,0.9627938251542604,0.9936721790306168,0.6505994788681099,0.6457282774427858,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.6442716578987266,39,0.3430727001625069,39,78,1.3011989577362197
XGBoost,40,1.0137494286618816,0.9974260701998258,0.6321075505289349,0.6955628794586753,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",1.6295336207287607,40,0.3653185196708909,40,80,1.2642151010578697
XGBoost,2,1.480457059242009,0.96249459545926,0.462738070708269,0.9087481062459264,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.425232666167529,41,0.49975652475099097,42,83,0.925476141416538
XGBoost,1,1.7790086050844225,0.8236023422388228,0.3543928954726911,0.833328863680478,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.177995237711514,42,0.4692094467661317,41,83,0.7087857909453823
