Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
AdaBoost,41,0.3995282864410037,0.9745853046704642,0.8550100885129259,0.3695107568987455,"{'learning_rate': 0.1, 'n_estimators': 200}",1.8295953931833902,2,0.1195752161575383,4,6,1.7100201770258519
AdaBoost,23,0.3998076218461746,0.9715493984618748,0.8549087169278706,0.3721128805671058,"{'learning_rate': 0.1, 'n_estimators': 200}",1.8264581153897455,4,0.1166406815340042,1,5,1.7098174338557413
AdaBoost,39,0.4009313716320826,0.9722037322281126,0.8545009050469051,0.3745440697585103,"{'learning_rate': 0.1, 'n_estimators': 200}",1.8267046372750178,3,0.1177028271812075,3,6,1.7090018100938102
AdaBoost,33,0.4044881440957381,0.9773250053358408,0.8532101425597759,0.3706419639154173,"{'learning_rate': 0.1, 'n_estimators': 200}",1.8305351478956167,1,0.12411486277606487,7,8,1.7064202851195518
AdaBoost,40,0.4107531123207051,0.9730519665195664,0.8509365683993605,0.3680627050042274,"{'learning_rate': 0.1, 'n_estimators': 200}",1.8239885349189269,5,0.12211539812020589,5,10,1.701873136798721
AdaBoost,36,0.4113561026644374,0.9681736777553672,0.8507177415489662,0.3709702522687046,"{'learning_rate': 0.1, 'n_estimators': 100}",1.8188914193043333,9,0.11745593620640105,2,11,1.7014354830979324
AdaBoost,24,0.4189688626754173,0.9736556005964006,0.8479550500509581,0.3836910303315417,"{'learning_rate': 0.1, 'n_estimators': 200}",1.8216106506473586,6,0.1257005505454425,8,14,1.6959101001019161
AdaBoost,32,0.4223384057696029,0.9748503127174,0.8467322336157819,0.3829682826244405,"{'learning_rate': 0.1, 'n_estimators': 100}",1.8215825463331818,7,0.1281180791016181,14,21,1.6934644672315637
AdaBoost,31,0.4236481982725679,0.974103205874828,0.8462569063222802,0.3817189803228633,"{'learning_rate': 0.1, 'n_estimators': 200}",1.8203601121971082,8,0.12784629955254778,11,19,1.6925138126445605
AdaBoost,29,0.4311466744495802,0.971594649940112,0.843535688741223,0.3844995453046866,"{'learning_rate': 0.1, 'n_estimators': 200}",1.8151303386813349,10,0.12805896119888904,13,23,1.6870713774824457
