Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
MLP,1,1.4756661210724178,0.8101176602574321,0.6061387214366245,0.9034213857610794,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",1.4162563816940565,5,0.20397893882080764,1,6,1.212277442873249
MLP,3,1.7157248654856934,0.9720505178958682,0.5420660679720192,0.8888480844382076,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",1.5141165858678873,3,0.429984449923849,3,6,1.0841321359440383
MLP,4,1.7173654790635615,0.989082748879055,0.54162818154759,0.9222858053954912,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",1.530710930426645,1,0.44745456733146505,4,5,1.0832563630951801
MLP,2,1.7173690309324532,0.8921719725123533,0.541627233539363,0.9696971309624224,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",1.4337992060517162,4,0.3505447389729902,2,6,1.083254467078726
MLP,5,1.8002290266796848,0.995850582688757,0.519511564282795,0.9246181465830764,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",1.515362146971552,2,0.47633901840596204,5,7,1.03902312856559
MLP,16,2.252371950473406,0.9998681392371562,0.3988327823308452,1.1146132263856372,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.3987009215680013,6,0.601035356906311,6,12,0.7976655646616903
MLP,17,2.377904517451938,0.9997689021782308,0.365327630572278,1.1373019591166391,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.365096532750509,7,0.6344412716059528,7,14,0.7306552611445561
MLP,6,2.413377499684838,0.9987917876978896,0.3558597476025503,1.0052715159844354,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.3546515353004398,8,0.6429320400953393,8,16,0.7117194952051005
MLP,24,2.523971567822451,0.9983625394629346,0.3263417418313331,1.2170304549270556,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.3247042812942678,9,0.6720207976316015,10,19,0.6526834836626663
MLP,18,2.548519518640436,0.9960335071786132,0.3197897940992432,1.1860574466713636,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.3158233012778564,10,0.6762437130793699,11,21,0.6395795881984865
MLP,15,2.655051283615053,0.9931038403298714,0.2913560335342022,1.2409232982602387,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.2844598738640736,11,0.7017478067956693,14,25,0.5827120670684043
MLP,21,2.795498577470974,0.9974273294763322,0.2538700806218602,1.2564243406995586,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.2512974100981924,12,0.7435572488544719,17,29,0.5077401612437205
MLP,19,2.8128915647407453,0.9999100153951992,0.2492278217082177,1.2060296263881771,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.249137837103417,13,0.7506821936869815,18,31,0.49845564341643545
MLP,42,2.8204932445929214,0.895575382011434,0.247198902494682,1.2841592508238373,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.142774284506116,27,0.648376479516752,9,36,0.4943978049893639
MLP,35,2.851412383316007,0.9998889518692404,0.2389464588452318,1.229704123985908,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.2388354107144721,14,0.7609424930240086,21,35,0.4778929176904635
MLP,36,2.862179162065772,0.9999355752224546,0.2360727618863901,1.2232660064443002,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.2360083371088446,15,0.7638628133360645,22,37,0.4721455237727801
MLP,32,2.8861739262411708,0.9291251270132316,0.2296684619150111,1.2724148175070773,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.1587935889282428,26,0.6994566650982205,13,39,0.45933692383002234
MLP,25,2.903084507420865,0.9999493923220714,0.2251549591452627,1.2705018649395006,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.225104351467334,16,0.7747944331768086,25,41,0.45030991829052547
MLP,28,2.9055209050038977,0.9979882802110436,0.2245046747391638,1.2938408598746385,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.2224929549502073,17,0.7734836054718798,23,40,0.4490093494783275
MLP,43,2.94830543365655,0.9099572624334322,0.2130853103468858,1.221243355443393,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",1.123042572780318,30,0.6968719520865464,12,42,0.42617062069377154
MLP,34,2.955221347877772,0.9998890567201538,0.2112394247642954,1.2634441980826865,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.2111284814844492,18,0.7886496319558585,27,45,0.4224788495285907
MLP,13,2.97610750426196,0.9840154373911344,0.2056648248325896,1.275809073743616,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.189680262223724,22,0.7783506125585448,26,48,0.41132964966517915
MLP,33,3.016829821518696,0.999917096054173,0.1947958730339637,1.3064043611060665,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.1947129690881366,19,0.8051212230202093,30,49,0.38959174606792735
MLP,14,3.0186275667629934,0.999304837030938,0.1943160475298477,1.2445711673455484,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",1.1936208845607856,20,0.8049887895010903,29,49,0.3886320950596953
MLP,27,3.0311990321266715,0.9999175842029556,0.1909606723871595,1.3581658584546912,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.190878256590115,21,0.8089569118157961,31,52,0.38192134477431894
MLP,20,3.045855448419627,0.9999181685141492,0.1870488153770484,1.2836271525396286,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.1869669838911976,23,0.8128693531371007,32,55,0.37409763075409685
MLP,26,3.0620776265925373,0.9974979235087972,0.1827190501645612,1.3064955390200457,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.1802169736733583,24,0.814778873344236,33,57,0.3654381003291223
MLP,38,3.103286063287457,0.93014357621882,0.1717203511143562,1.311910295444117,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.1018639273331763,32,0.7584232251044638,20,52,0.3434407022287125
MLP,29,3.1131205479845376,0.9978042038602531,0.1690954872230653,1.3473889846777176,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.1668996910833185,25,0.8287087166371878,34,59,0.33819097444613067
MLP,40,3.175234529416263,0.9056010152739288,0.1525170134111287,1.378254870233988,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.0581180286850576,36,0.7530840018628001,19,55,0.30503402682225744
MLP,10,3.2195544834560508,0.9392114388769256,0.1406878377495671,1.3151558201833835,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",1.0798992766264928,34,0.7985236011273584,28,62,0.28137567549913434
MLP,23,3.2351718501685767,0.9999060791647794,0.1365194991712455,1.3213869677343013,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.1364255783360249,28,0.8633865799935339,35,63,0.273038998342491
MLP,41,3.2649502700204125,0.9999435288794076,0.1285715180195759,1.242438534666934,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.1285150468989835,29,0.8713720108598317,37,66,0.2571430360391518
MLP,30,3.316296569422004,0.8891568865872412,0.1148669822556783,1.4043589865923012,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.0040238688429195,39,0.774289904331563,24,63,0.22973396451135653
MLP,31,3.332001098677595,0.9998991467923144,0.1106753796407536,1.3480104136505504,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.110574526433068,31,0.8892237671515608,38,69,0.22135075928150716
MLP,12,3.3337503424228183,0.9750875981519612,0.110208499383645,1.3766564232759866,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.0852960975356063,33,0.8648790987683163,36,69,0.22041699876729004
MLP,22,3.469581641455281,0.9999287333452456,0.0739545742295115,1.3773968992367962,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.0738833075747571,35,0.9259741591157341,40,75,0.14790914845902303
MLP,37,3.51987685133501,0.7791452161055892,0.0605305785261697,1.4607430761970528,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",0.8396757946317589,40,0.7186146375794195,15,55,0.12106115705233944
MLP,11,3.57877336507437,0.9718396377760607,0.0448108599034695,1.4254327737470518,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.0166504976795303,38,0.9270287778725912,41,79,0.08962171980693912
MLP,9,3.5932915796070923,0.9858332803749832,0.0409358895042306,1.4027439863485511,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}",1.0267691698792138,37,0.9448973908707526,42,79,0.08187177900846121
MLP,39,3.9060795258205454,0.6970811138478539,-0.04254848318389,1.566806695737032,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",0.6545326306639638,43,0.7396295970317439,16,59,-0.08509696636778008
MLP,7,3.910167274881681,0.8654008323662643,-0.0436395200035839,1.5017965126477766,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",0.8217613123626804,41,0.9090403523698483,39,80,-0.08727904000716791
MLP,8,5.010297494125431,0.997782609435896,-0.3372687417835465,1.42965598706369,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",0.6605138676523495,42,1.3350513512194424,43,85,-0.6745374835670929
