Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Gradient Boosting,11,0.5925686784987471,0.994821901925935,0.8393231632424767,0.5646160873182404,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.8341450651684117,1,0.15549873868345832,5,6,1.6786463264849534
Gradient Boosting,12,0.6078691421214139,0.9895404896683176,0.8351743950321117,0.5835243264996688,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.8247148847004293,3,0.15436609463620599,4,7,1.6703487900642233
Gradient Boosting,22,0.6267273555278927,0.9955952223489184,0.8300609319231131,0.6063480879179318,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.8256561542720315,2,0.16553429042580525,9,11,1.6601218638462263
Gradient Boosting,16,0.6276601008505109,0.9941193801892394,0.8298080151332512,0.602266679312712,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.8239273953224906,4,0.1643113650559882,8,12,1.6596160302665024
Gradient Boosting,17,0.6382452855238425,0.9900045294994242,0.8269378094482087,0.5964095966934796,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.816942338947633,9,0.16306672005121547,6,15,1.6538756188964174
Gradient Boosting,19,0.645401520093886,0.9971087473219908,0.8249973742285774,0.5919582438576768,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.8221061215505683,5,0.1721113730934134,13,18,1.6499947484571549
Gradient Boosting,10,0.6487885267608973,0.9940557674567212,0.824078976856123,0.5863673532128565,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.8181347443128442,8,0.16997679060059823,12,20,1.648157953712246
Gradient Boosting,23,0.6502054769664188,0.991738613308764,0.823694766409086,0.6219549577876421,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.8154333797178501,10,0.168043846899678,10,20,1.6473895328181722
Gradient Boosting,13,0.6535136511881474,0.9869946820327272,0.8227977446988991,0.6064279333627242,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.8097924267316263,15,0.16419693733382812,7,22,1.6455954893977982
Gradient Boosting,18,0.6557695572436587,0.996864565937688,0.8221860487686653,0.5986329218824629,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.8190506147063532,6,0.17467851716902272,15,21,1.6443720975373304
Gradient Boosting,21,0.6580021604040553,0.9974397450699192,0.8215806714907838,0.6063582882802413,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.819020416560703,7,0.17585907357913533,16,23,1.6431613429815677
Gradient Boosting,27,0.6626293627908134,0.9938746590035376,0.8203259911988307,0.6241780030075508,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.8142006502023682,11,0.1735486678047069,14,25,1.6406519823976613
Gradient Boosting,24,0.6728150350827268,0.9956214850896642,0.8175641145362644,0.6215405730516333,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.8131855996259287,12,0.17805737055339976,19,31,1.6351282290725289
Gradient Boosting,26,0.6782042027332355,0.993714041445716,0.8161028249975844,0.6267594623862791,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.8098168664433003,14,0.1776112164481316,17,31,1.6322056499951687
