Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
SVR,16,0.3907986001410758,0.9974514312227348,0.8940337463684068,0.4518113376477324,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.8914851775911417,1,0.10341768485432801,3,4,1.7880674927368136
SVR,11,0.4141272605584589,0.9974130761195564,0.8877081076742525,0.4951647006359594,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.8851211837938089,2,0.10970496844530397,4,6,1.775416215348505
SVR,29,0.4231123898302617,0.9973825122040384,0.88527176197858,0.5081379143639903,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.8826542741826184,3,0.11211075022545836,5,8,1.77054352395716
SVR,14,0.4273676568361618,0.9974420936173668,0.8841179331197905,0.4857277633648597,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.8815600267371573,4,0.11332416049757632,6,10,1.768235866239581
SVR,41,0.4303216023161771,0.997203887838472,0.8833169616325942,0.5172699700000368,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.8805208494710661,6,0.11388692620587781,7,13,1.7666339232651884
SVR,28,0.4306409681112311,0.9973917734828828,0.8832303646058195,0.5067995634469564,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.8806221380887023,5,0.11416140887706328,8,13,1.766460729211639
SVR,42,0.4317633278951492,0.99725391038554,0.882926033266133,0.5212694678520788,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.8801799436516728,7,0.11432787711940706,9,16,1.7658520665322657
SVR,43,0.4321894531670824,0.9972322135807432,0.882810488075776,0.5212079214062083,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.880042701656519,8,0.11442172550496721,10,18,1.7656209761515518
SVR,40,0.435964332343885,0.9970295954111444,0.8817869178681722,0.5248765225991181,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.8788165132793166,11,0.11524267754297224,11,22,1.7635738357363444
SVR,44,0.4364614963537588,0.9973612455633064,0.8816521103034886,0.524821778131912,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.879013355866795,9,0.11570913525981785,12,21,1.7633042206069771
SVR,46,0.4371114618366381,0.9973594563973596,0.8814758701450395,0.52374641763284,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.878835326542399,10,0.11588358625232009,14,24,1.7629517402900787
SVR,27,0.43749668882301,0.9973777127535044,0.8813714146517779,0.5096532345319291,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.8787491274052823,12,0.11600629810172647,15,27,1.7627428293035559
SVR,55,0.4378276081886104,0.9973412028192996,0.8812816848384825,0.5241799845988073,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1.878622887657782,13,0.11605951798081715,16,29,1.7625633696769647
SVR,45,0.437965363632093,0.9973524343166,0.8812443320223313,0.5249290487516971,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.8785967663389314,14,0.11610810229426871,17,31,1.7624886640446626
SVR,39,0.4383360689380303,0.9970148851968796,0.8811438141278011,0.5270613765127029,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.8781586993246808,19,0.11587107106907857,13,32,1.7622876282556024
SVR,47,0.438463634574152,0.9973717692226944,0.8811092243095493,0.5234228266170015,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1.8784809935322437,15,0.11626254491314514,19,34,1.7622184486190986
SVR,56,0.4384908523072688,0.9973310775837037,0.8811018441367193,0.5245696281777115,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1.878432921720423,18,0.11622923344698433,18,36,1.7622036882734387
SVR,51,0.4385852910630087,0.997382408689418,0.8810762367749229,0.5231880696214146,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1.8784586454643408,16,0.1163061719144951,20,36,1.7621524735498457
SVR,35,0.4388534601289535,0.9974383563996112,0.8810035219001823,0.5216871364640276,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.8784418782997934,17,0.11643483449942893,21,38,1.7620070438003643
SVR,53,0.4399729419303632,0.9973708384891444,0.8806999709343872,0.5246251516062543,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1.8780708094235317,20,0.1166708675547572,22,42,1.7613999418687745
SVR,66,0.4403680331857662,0.997310027543682,0.8805928407139552,0.5297679649337761,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1.877902868257637,22,0.11671718682972687,23,45,1.7611856814279103
SVR,54,0.440455896091792,0.9973513253340774,0.8805690164142229,0.525004055301794,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1.8779203417483004,21,0.11678230891985453,24,45,1.7611380328284458
SVR,52,0.4409416903780362,0.9973726002633062,0.8804372917853979,0.52393692624947,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1.877809892048704,23,0.11693530847790834,25,48,1.7608745835707957
SVR,49,0.4409961504871966,0.9973654137940154,0.8804225247577319,0.5249791473000707,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1.8777879385517473,24,0.11694288903628358,26,50,1.7608450495154637
SVR,50,0.4410332308205891,0.9973636298244798,0.8804124703102196,0.5250531971100655,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1.8777761001346995,25,0.11695115951426016,27,52,1.7608249406204393
SVR,48,0.4414147890230176,0.9973611080210562,0.8803090096191138,0.5247500309639874,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1.87767011764017,26,0.1170520984019423,28,54,1.7606180192382277
SVR,24,0.4418431050892626,0.9974064091200128,0.8801928703880781,0.508799108137803,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.877599279508091,27,0.11721353873193463,30,57,1.7603857407761563
SVR,67,0.441947621894261,0.9973036786291448,0.8801645303319386,0.5310359833959057,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1.8774682089610835,28,0.11713914829720617,29,57,1.7603290606638773
SVR,57,0.4424394601485505,0.997331927943528,0.8800311668624151,0.5264006169152387,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1.877363094805943,29,0.11730076108111287,31,60,1.76006233372483
SVR,58,0.4432302907749846,0.9973184460166756,0.8798167306829864,0.5268829490838534,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1.877135176699662,31,0.11750171533368925,32,63,1.7596334613659728
SVR,34,0.4433887236732433,0.9974591526347254,0.8797737711107811,0.5245991968352337,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.8772329237455065,30,0.11768538152394425,33,63,1.7595475422215623
SVR,33,0.4438024597631863,0.9974653495833404,0.8796615852855821,0.5250054955858426,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.8771269348689226,32,0.1178037642977583,34,66,1.7593231705711643
SVR,38,0.4444220471515856,0.9973938853417572,0.8794935822417577,0.528424515204837,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.876887467583515,33,0.11790030309999955,35,68,1.7589871644835156
SVR,25,0.44450682439741,0.9974035522811212,0.8794705946283681,0.5163989713789072,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.8768741469094894,34,0.11793295765275313,36,70,1.7589411892567361
SVR,59,0.4459303200551023,0.9973192594892224,0.8790846093616551,0.5286211975223781,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1.8764038688508775,35,0.11823465012756729,37,72,1.7581692187233102
SVR,63,0.4460871138571538,0.9973471113562988,0.879042094235475,0.5316985717156529,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1.876389205591774,36,0.11830501712082386,39,75,1.7580841884709502
SVR,61,0.4461210421894766,0.9973327748294836,0.8790328944628378,0.5300986538551004,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1.8763656692923214,37,0.11829988036664574,38,75,1.7580657889256757
SVR,64,0.4468807101773806,0.99734531119764,0.8788269081295884,0.5315859759352729,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1.8761722193272283,38,0.11851840306805161,40,78,1.7576538162591766
