Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
XGBoost,16,0.500209865709154,0.9981297878041128,0.8643665420510033,0.5386296103571457,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.862496329855116,1,0.1337632457531095,3,4,1.7287330841020065
XGBoost,24,0.5574978878293376,0.9998693894018158,0.8488327170069825,0.5647048496663913,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",1.8487021064087983,2,0.15103667239483332,6,8,1.697665434013965
XGBoost,25,0.5929131507698864,0.9976545372022892,0.8392297585167704,0.5842148270848923,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",1.8368842957190596,3,0.15842477868551885,11,14,1.6784595170335408
XGBoost,20,0.5949370822624044,0.9909474068830576,0.838680963209439,0.598044684771033,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.8296283700924967,10,0.15226644367361863,7,17,1.677361926418878
XGBoost,29,0.5972405986371487,0.996117182870629,0.8380563575933426,0.604253646650505,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.8341735404639716,4,0.15806082527728638,9,13,1.6761127151866853
XGBoost,27,0.5983585020169176,0.9960982967711984,0.8377532346214757,0.5986343836697476,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.833851531392674,5,0.15834506214972277,10,15,1.675506469242951
XGBoost,26,0.6007170722499506,0.9938960154822208,0.8371137009807941,0.6087339639506125,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.831009716463015,9,0.15678231450142677,8,17,1.6742274019615881
XGBoost,23,0.6036982645689786,0.9957022878644044,0.8363053414286139,0.5968959971250335,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.8320076292930183,8,0.1593969464357905,12,20,1.6726106828572278
XGBoost,49,0.6073238403013028,0.9972368841398568,0.8353222553134811,0.5897751173500961,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.832559139453338,7,0.16191462882637564,13,20,1.6706445106269623
XGBoost,57,0.6120810520748377,0.9991303005772126,0.8340323225726995,0.6227416211087963,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.8331626231499123,6,0.1650979780045131,18,24,1.668064645145399
XGBoost,8,0.6179448430629105,0.9969550887397344,0.8324423374426082,0.5912279327995723,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.8293974261823425,11,0.16451275129712617,17,28,1.6648846748852164
XGBoost,12,0.6256803713135686,0.9940156077651948,0.8303448249431068,0.6192819649280676,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.8243604327083016,12,0.16367078282208802,15,27,1.6606896498862136
XGBoost,21,0.6275677275661459,0.977463730474882,0.8298330624360722,0.6190421039667927,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",1.8072967929109542,33,0.14763066803880975,5,38,1.6596661248721445
XGBoost,62,0.6454327847217853,0.9983521660257332,0.824988896727664,0.6295125360839898,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",1.8233410627533972,13,0.17336326929806922,21,34,1.649977793455328
XGBoost,28,0.6486170301029864,0.9976718325263264,0.8241254787073133,0.61136888259974,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",1.8217973112336399,14,0.17354635381901307,22,36,1.6482509574146267
XGBoost,9,0.6496028784823155,0.9863438477472962,0.8238581628587699,0.593150757513916,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.8102020106060661,28,0.16248568488852633,14,42,1.6477163257175398
XGBoost,18,0.6515086888971734,0.9966662651432472,0.8233413964483435,0.6190643739350301,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",1.8200076615915908,16,0.1733248686949037,20,36,1.6466827928966872
XGBoost,11,0.6537311471784746,0.9979196856096298,0.8227387699859228,0.584834179603207,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.8206584555955527,15,0.17518091562370708,25,40,1.6454775399718455
XGBoost,33,0.6543754472347912,0.996680990079856,0.8225640660254739,0.6245404733821056,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.81924505610533,17,0.17411692405438206,23,40,1.6451281320509479
XGBoost,22,0.6581041944211137,0.991992193304476,0.8215530046503019,0.6350607052839199,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.8135451979547779,20,0.17043918865417407,19,39,1.6431060093006038
XGBoost,13,0.6607998624056479,0.9983924232274664,0.8208220659078075,0.583875712369896,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.8192144891352737,18,0.17757035731965887,28,46,1.6416441318156147
XGBoost,59,0.6632612378072001,0.9972129408391488,0.8201546563265314,0.6498208132340676,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.8173675971656802,19,0.1770582845126174,27,46,1.6403093126530628
XGBoost,32,0.6765152479753748,0.9963620504661704,0.8165607903234047,0.6227900116561959,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.8129228407895752,23,0.17980126014276576,29,52,1.6331215806468093
XGBoost,14,0.6798980408801809,0.9904284432320573,0.8156435355256535,0.6390395484811467,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.8060719787577106,38,0.17478490770640376,24,62,1.631287071051307
