Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
AdaBoost,13,0.5501707590826567,0.946503681375238,0.788544255321956,0.4871309004867528,"{'learning_rate': 0.1, 'n_estimators': 200}",1.735047936697194,4,0.15795942605328195,7,11,1.577088510643912
AdaBoost,24,0.5559012367559696,0.9548382154607288,0.7863417710863494,0.5320763756814795,"{'learning_rate': 0.1, 'n_estimators': 200}",1.741179986547078,2,0.16849644437437938,12,14,1.5726835421726988
AdaBoost,26,0.5603047583453327,0.950169834106312,0.7846492966654312,0.5213022008161481,"{'learning_rate': 0.05, 'n_estimators': 200}",1.734819130771743,5,0.1655205374408808,10,15,1.5692985933308623
AdaBoost,23,0.5635498778628732,0.9494078761779464,0.7834020490558072,0.520666659687696,"{'learning_rate': 0.05, 'n_estimators': 200}",1.7328099252337537,6,0.16600582712213918,11,17,1.5668040981116145
AdaBoost,42,0.5773019210246688,0.9570915332919948,0.7781165109213002,0.5351250355547561,"{'learning_rate': 0.1, 'n_estimators': 100}",1.7352080442132949,3,0.17897502237069463,19,22,1.5562330218426004
AdaBoost,17,0.5821793191878805,0.9411553057757148,0.7762419040948434,0.521798248125897,"{'learning_rate': 0.05, 'n_estimators': 100}",1.7173972098705583,10,0.16491340168087143,9,19,1.5524838081896868
AdaBoost,40,0.5849547239729147,0.9674946468739404,0.7751751893050917,0.533373167110607,"{'learning_rate': 0.1, 'n_estimators': 200}",1.742669836179032,1,0.19231945756884872,25,26,1.5503503786101833
AdaBoost,15,0.588003547494486,0.9500081869114664,0.7740033872100098,0.5150445833789362,"{'learning_rate': 0.1, 'n_estimators': 200}",1.724011574121476,8,0.17600479970145655,18,26,1.5480067744200197
AdaBoost,8,0.588226500569931,0.9256591430710072,0.7739176961626065,0.5003857712939088,"{'learning_rate': 0.1, 'n_estimators': 50}",1.6995768392336137,30,0.15174144690840063,6,36,1.547835392325213
AdaBoost,21,0.6020316945494821,0.943540250780592,0.7686117297418571,0.5524156239806265,"{'learning_rate': 0.05, 'n_estimators': 50}",1.712151980522449,18,0.1749285210387349,17,35,1.5372234594837142
