Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Gradient Boosting,52,0.4810157435766492,0.995654739220156,0.7803069297464492,0.502693251535221,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.7759616689666053,2,0.2153478094737068,4,6,1.5606138594928987
Gradient Boosting,68,0.4849420609366997,0.9998504470558792,0.778513673024319,0.5083269826376917,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.778364120080198,1,0.22133677403156027,5,6,1.557027346048638
Gradient Boosting,48,0.4977510338776366,0.9953093611497784,0.7726634641075277,0.5134637447615364,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.7679728252573061,3,0.22264589704225068,7,10,1.5453269282150555
Gradient Boosting,51,0.4984807873316956,0.995478775848634,0.7723301657093127,0.5097734559562542,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.7678089415579468,4,0.2231486101393213,8,12,1.5446603314186254
Gradient Boosting,25,0.5020261788908451,0.9933339927741632,0.7707108882380826,0.5119428448456035,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.764044881012246,5,0.22262310453608058,6,11,1.5414217764761653
Gradient Boosting,53,0.508465548926943,0.9955753976243078,0.7677698514994304,0.5129225349997932,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.7633452491237382,6,0.22780554612487736,10,16,1.535539702998861
Gradient Boosting,33,0.5107097859342372,0.9936360385341044,0.7667448469645621,0.5246015657206853,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.7603808854986664,8,0.2268911915695423,9,17,1.5334896939291243
Gradient Boosting,49,0.5112524060286185,0.996252407397452,0.7664970174992946,0.5073344689784992,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7627494248967466,7,0.22975538989815747,12,19,1.532994034998589
Gradient Boosting,32,0.5156025501381284,0.9939044778669042,0.7645101874875418,0.5174709738100447,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.758414665354446,11,0.22939429037936232,11,22,1.5290203749750835
Gradient Boosting,30,0.5184670327904941,0.9956637673285544,0.7632018997714123,0.5051857211506144,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.7588656670999667,9,0.23246186755714215,14,23,1.5264037995428246
Gradient Boosting,28,0.5186364133408571,0.9929569671765917,0.763124539032918,0.5279618397763289,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.7560815062095096,12,0.22983242814367366,13,25,1.526249078065836
