Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
MLP,30,0.4843117338622625,0.989233598506482,0.7788015606706097,0.5439204870668735,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.7680351591770918,1,0.21043203783587228,2,3,1.5576031213412196
MLP,27,0.5236239519662079,0.984101878732823,0.7608465934807327,0.555211224705396,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.7449484722135558,3,0.22325528525209026,3,6,1.5216931869614654
MLP,26,0.5304407580621792,0.9973761112984112,0.7577331713515287,0.5839198293767565,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.75510928264994,2,0.23964293994688246,6,8,1.5154663427030575
MLP,32,0.542595668173934,0.9898895844529664,0.7521816908505963,0.5738563480921495,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.7420712753035628,5,0.2377078936023701,5,10,1.5043633817011925
MLP,22,0.547001334050314,0.9794535816222508,0.7501695025265793,0.5458516159115099,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.7296230841488303,7,0.2292840790956715,4,11,1.5003390050531586
MLP,29,0.5522989848975206,0.9888509832334256,0.7477499202253846,0.5854653145522802,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.7366009034588101,6,0.24110106300804102,7,13,1.4954998404507691
MLP,28,0.560482614107276,0.9986735276350632,0.7440122325282222,0.6018600091352527,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.7426857601632855,4,0.254661295106841,11,15,1.4880244650564445
MLP,20,0.5881180865613129,0.9748445253754286,0.7313903550275176,0.5810009329362544,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.7062348804029464,17,0.24345417034791106,8,25,1.4627807100550352
MLP,25,0.5901433423474658,0.9978160053795496,0.7304653652165807,0.6151806478056209,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.7282813705961302,8,0.26735064016296894,18,26,1.4609307304331614
MLP,36,0.5935402421372142,0.993118275576344,0.7289139080052127,0.6234049826113963,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.7220321835815566,11,0.2642043675711313,14,25,1.4578278160104254
MLP,49,0.5946961422527841,0.9951262967078918,0.7283859767499741,0.6256720307086012,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.7235122734578658,9,0.2667403199579177,16,25,1.4567719534999481
MLP,55,0.5979653138289178,0.9956500670003944,0.7268928565136049,0.6125273044158621,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.7225429235139993,10,0.26875721048678947,19,29,1.4537857130272098
MLP,40,0.6094251530693331,0.9941136324419864,0.7216588339250329,0.6083520696806386,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.7157724663670193,13,0.2724547985169534,21,34,1.4433176678500659
MLP,3,0.6112694237635642,0.8809083232194344,0.7208165049646925,0.5472078278622725,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",1.601724828184127,59,0.16009181825474184,1,60,1.4416330099293853
MLP,66,0.6162816267111536,0.99392205845313,0.7185272945407215,0.5971272978699755,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",1.7124493529938514,14,0.27539476391240847,24,38,1.437054589081443
MLP,39,0.6181449767354585,0.992796784580838,0.7176762515275497,0.6182792242772925,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.7104730361083877,15,0.2751205330532883,22,37,1.4353525030550993
MLP,8,0.6181938707879864,0.9808177377158812,0.7176539202740295,0.6023400324496277,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",1.6984716579899106,19,0.2631638174418517,13,32,1.435307840548059
MLP,31,0.6204824686616238,0.9992955059655756,0.716608654915984,0.6197210797030991,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.7159041608815597,12,0.28268685104959157,27,39,1.433217309831968
MLP,21,0.6235541579895839,0.9825364789939338,0.7152057302335052,0.6022801022582882,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.697742209227439,20,0.2673307487604286,17,37,1.4304114604670104
MLP,37,0.6265907849042094,0.9943417702694124,0.7138188195159304,0.6242747834786789,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.7081605897853427,16,0.280522950753482,26,42,1.4276376390318606
MLP,35,0.6300032487761793,0.9883938831828843,0.7122602537617455,0.6146304481883798,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",1.70065413694463,18,0.27613362942113884,25,43,1.424520507523491
MLP,58,0.6507898468868647,0.9917600005804078,0.7027664448375154,0.639210983377884,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",1.6945264454179232,23,0.2889935557428924,29,52,1.4055328896750308
MLP,59,0.6529927787721052,0.9929966518153076,0.7017603054836778,0.6415304473983053,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",1.6947569572989853,22,0.29123634633162976,31,53,1.4035206109673557
