Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Random Forest,9,0.6982976981091212,0.8862218372184131,0.6810683074365235,0.641708078774853,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.5672901446549365,1,0.2051535297818896,4,5,1.362136614873047
Random Forest,4,0.702394302965311,0.860643566109809,0.679197275748912,0.6122036066605222,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.5398408418587208,3,0.181446290360897,1,4,1.358394551497824
Random Forest,10,0.710827732188651,0.8883199738292029,0.6753454975408535,0.6578921427884452,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.5636654713700564,2,0.21297447628834942,6,8,1.350690995081707
Random Forest,8,0.7260908945586556,0.8634524385131331,0.6683743930653293,0.6710450414860304,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.5318268315784624,4,0.19507804544780383,3,7,1.3367487861306586
Random Forest,3,0.7294890979687294,0.853291002727218,0.6668223404548388,0.6584304242129356,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.5201133431820568,8,0.18646866227237924,2,10,1.3336446809096776
Random Forest,7,0.7619993964338402,0.8733789041552531,0.6519739963412923,0.6808850302135171,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.5253529004965454,6,0.22140490781396083,7,13,1.3039479926825845
Random Forest,14,0.7647883289410534,0.879098623642577,0.6507002144465799,0.6802507702675544,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.5297988380891567,5,0.22839840919599708,9,14,1.3014004288931598
Random Forest,21,0.7923507986277138,0.8801004576336838,0.6381116793100621,0.7272005716476251,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.5182121369437458,9,0.24198877832362176,13,22,1.2762233586201241
Random Forest,16,0.7978855978914288,0.8886564990959184,0.6355837848290182,0.703734869603431,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.5242402839249367,7,0.25307271426690015,16,23,1.2711675696580365
Random Forest,5,0.8118370955670396,0.8368548793291304,0.6292117535599382,0.6799013978783057,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",1.4660666328890686,22,0.2076431257691922,5,27,1.2584235071198764
