Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
SVR,69,0.4400717302623582,0.9886465249948828,0.7990071825212017,0.4944168164038104,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.7876537075160845,2,0.18963934247368108,47,49,1.5980143650424035
SVR,64,0.4404897492163673,0.9893974687899956,0.7988162618108989,0.4946826673428259,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.7882137306008945,1,0.19058120697909664,49,50,1.5976325236217979
SVR,68,0.4416145587674743,0.988729204915081,0.7983025304683533,0.4950123266805973,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.7870317353834344,8,0.19042667444672767,48,56,1.5966050609367066
SVR,66,0.4418043705714335,0.9890349841602152,0.7982158382165112,0.4953755575753811,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.7872508223767265,5,0.19081914594370397,51,56,1.5964316764330224
SVR,67,0.4418301675001734,0.9888552869628408,0.7982040560523022,0.4956904743574183,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.787059343015143,7,0.1906512309105386,50,57,1.5964081121046043
SVR,65,0.4419028551710532,0.9892239822232912,0.7981708576013192,0.4954122262487697,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.7873948398246104,3,0.191053124621972,52,55,1.5963417152026385
SVR,63,0.4428691340521296,0.9895257706576456,0.7977295315596259,0.4952755231013316,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.7872553022172715,4,0.19179623909801968,53,57,1.5954590631192518
SVR,62,0.4434879590549267,0.9897127499650158,0.7974468972246179,0.4956318752327956,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.7871596471896338,6,0.19226585274039787,54,60,1.594893794449236
SVR,50,0.4435590750903623,0.9186869234688642,0.7974144165826063,0.4872305417247586,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.7161013400514704,21,0.1212725068862579,9,30,1.5948288331652125
SVR,49,0.4454261666956919,0.91893819695404,0.7965616646868585,0.4875491264671828,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.7154998616408985,22,0.12237653226718148,10,32,1.593123329373717
SVR,48,0.447520349001243,0.9190412517695246,0.7956051942458783,0.4890575928941198,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.714646446015403,23,0.12343605752364628,11,34,1.5912103884917568
SVR,61,0.4476595499134226,0.9898726482581196,0.7955416173750851,0.496361224991388,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.7854142656332046,9,0.1943310308830345,55,64,1.5910832347501702
SVR,60,0.4488408113216213,0.990033014651129,0.7950021029225861,0.4974644489245923,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.7850351175737151,10,0.19503091172854292,56,66,1.5900042058451722
SVR,47,0.4493578389915361,0.9192673367332784,0.7947659622188223,0.4893821849699843,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.7140332989521008,24,0.12450137451445609,12,36,1.5895319244376447
SVR,59,0.4499459343771576,0.9901360175379658,0.7944973629419911,0.4972920562055807,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.7846333804799568,11,0.19563865459597463,57,68,1.5889947258839823
SVR,54,0.4511105832783538,0.9904100153070544,0.7939654358766342,0.4979976059658966,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.7843754511836885,12,0.19644457943042026,58,70,1.5879308717532683
SVR,46,0.4520064216614476,0.9197820974593686,0.7935562819404876,0.4912257019501865,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.7133383793998562,25,0.126225815518881,14,39,1.587112563880975
SVR,58,0.4522278052754467,0.9901026278570256,0.793455169977911,0.4990499209264194,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.7835577978349366,13,0.19664745787911464,59,72,1.586910339955822
SVR,42,0.4525461491166437,0.9192038907367908,0.7933097736227961,0.4928532833490074,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.7125136643595869,27,0.12589411711399467,13,40,1.5866195472455922
SVR,44,0.4533718229432443,0.9194144511878922,0.7929326657621572,0.4916465729924523,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.7123471169500495,29,0.12648178542573507,15,44,1.5858653315243143
SVR,55,0.4534266394001842,0.9903996749838232,0.7929076295842641,0.4994354871277049,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.7833073045680874,14,0.1974920453995591,61,75,1.5858152591685282
SVR,43,0.4536559185945548,0.919583319281472,0.7928029114937875,0.4924887785524971,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.7123862307752593,28,0.1267804077876845,16,44,1.5856058229875747
SVR,45,0.4536780557344121,0.9200360173506932,0.7927928008554418,0.4912906761539319,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.7128288182061349,26,0.1272432164952514,17,43,1.5855856017108834
SVR,56,0.4537706502721085,0.9902471530409204,0.7927505103929218,0.500534298641783,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.782997663433842,15,0.1974966426479986,62,77,1.5855010207858435
SVR,57,0.4538965646313417,0.9901214615392344,0.79269300185492,0.500810018319856,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.7828144633941543,16,0.19742845968431444,60,76,1.5853860037098397
SVR,53,0.4549622443372167,0.9902794929578516,0.7922062767328902,0.5001474422902238,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.7824857696907417,17,0.19807321622496132,63,80,1.5844125534657802
SVR,52,0.456379047285129,0.9904160520175792,0.7915591840052039,0.5010444001311036,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.7819752360227832,18,0.19885686801237534,64,82,1.5831183680104077
SVR,41,0.4566011844555727,0.91888007847179,0.791457727872751,0.4950690436103324,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.710337806344541,30,0.12742235059903895,19,49,1.582915455745502
SVR,51,0.4568947789615848,0.990494888520388,0.7913236352171639,0.5003015318553721,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.781818523737552,19,0.19917125330322416,65,84,1.5826472704343277
SVR,39,0.4572553512476396,0.9185333798903148,0.7911589519741942,0.4956149384420504,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.709692331864509,31,0.12737442791612064,18,49,1.5823179039483883
SVR,32,0.4620567046076516,0.9165059312752916,0.7889660423342935,0.4969256696153515,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.7054719736095851,33,0.1275398889409981,20,53,1.577932084668587
SVR,36,0.4627272602145121,0.9163023003464268,0.7886597812149556,0.4961795432905992,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.7049620815613824,35,0.12764251913147118,21,56,1.5773195624299112
SVR,37,0.4629728977622997,0.9169079925775464,0.7885475918162432,0.4959469850763022,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.7054555843937895,34,0.12836040076130317,24,58,1.5770951836324865
