Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
XGBoost,30,0.6103547875239151,0.997146130822226,0.721234244397002,0.5655747874459419,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.718380375219228,1,0.275911886425224,9,10,1.4424684887940038
XGBoost,63,0.6190960575711157,0.99470196384293,0.7172418668496362,0.5760270635991169,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.711943830692566,2,0.27746009699329377,11,13,1.4344837336992722
XGBoost,20,0.6237254372099749,0.9722166706322608,0.7151275023203842,0.584373280466987,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.687344172952645,12,0.25708916831187656,5,17,1.4302550046407685
XGBoost,25,0.630168135973258,0.9728663851364564,0.7121849452608171,0.5862951535596383,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.6850513303972736,15,0.2606814398756393,6,21,1.4243698905216342
XGBoost,51,0.6331796025796331,0.9945947980550028,0.7108095259454299,0.581463967387121,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.7054043240004328,4,0.28378527210957294,14,18,1.4216190518908598
XGBoost,28,0.633919232426364,0.9960486369488843,0.7104717167280616,0.5416819798128648,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.706520353676946,3,0.2855769202208227,17,20,1.4209434334561233
XGBoost,31,0.6396383297209943,0.9933549752162428,0.7078596482864059,0.5595869543830239,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.7012146235026488,7,0.2854953269298369,16,23,1.4157192965728118
XGBoost,42,0.643364794774476,0.9989548233117018,0.7061576695887763,0.5885467453441875,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.7051124929004782,5,0.2927971537229255,24,29,1.4123153391775527
XGBoost,37,0.6434406891330113,0.997699904119707,0.7061230065556756,0.5719926109127667,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.7038229106753826,6,0.2915768975640314,22,28,1.4122460131113512
XGBoost,8,0.6580230902309971,0.947018354816955,0.6994628244064094,0.6175537903487067,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.6464811792233642,51,0.24755553041054557,4,55,1.3989256488128188
XGBoost,18,0.6652305212811869,0.9647126349208452,0.6961709931572214,0.5875179656228218,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.6608836280780666,41,0.26854164176362383,7,48,1.3923419863144426
XGBoost,23,0.6663861395639893,0.9795406063921662,0.6956431906227301,0.5886146802320016,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.6751837970148964,24,0.28389741576943617,15,39,1.3912863812454601
XGBoost,47,0.6690044886007283,0.9974174357063988,0.6944473188730875,0.5855943714754624,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.6918647545794863,8,0.3029701168333113,30,38,1.388894637746175
XGBoost,17,0.669732312456288,0.9956326141821288,0.6941149017753794,0.5850786574563179,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.6897475159575082,9,0.3015177124067494,27,36,1.3882298035507588
XGBoost,24,0.6732850395400516,0.9962530907540312,0.6924922739690598,0.5940628172732789,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.688745364723091,11,0.30376081678497147,31,42,1.3849845479381195
XGBoost,61,0.6736869504808165,0.9973766333951676,0.6923087102297762,0.5934217097140748,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.689685343624944,10,0.30506792316539133,33,43,1.3846174204595525
XGBoost,69,0.6768232898340072,0.9775292516791,0.6908762581093195,0.6111422395749214,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.6684055097884194,32,0.28665299356978047,19,51,1.381752516218639
XGBoost,22,0.678290072399827,0.976458782956301,0.6902063383206587,0.584762619324604,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.6666651212769596,34,0.28625244463564226,18,52,1.3804126766413174
XGBoost,19,0.6788561646889891,0.9922934297417482,0.6899477884608805,0.6026548601962526,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.6822412182026287,16,0.3023456412808677,28,44,1.379895576921761
XGBoost,58,0.6798327857662203,0.9974726840957924,0.68950173885482,0.5968820263689011,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.6869744229506125,13,0.30797094524097235,34,47,1.3790034777096403
XGBoost,44,0.680547726388173,0.976335681555557,0.6891752058829097,0.6044320891211414,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.6655108874384665,35,0.28716047567264724,20,55,1.3783504117658194
XGBoost,29,0.6806492247035856,0.9976548864011466,0.6891288488211371,0.5756348612586342,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",1.6867837352222836,14,0.3085260375800095,35,49,1.3782576976422742
XGBoost,32,0.6819341388533963,0.980751179124771,0.6885419933213874,0.6168846524268925,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.6692931724461584,31,0.2922091858033836,23,54,1.3770839866427749
XGBoost,11,0.6841293468051975,0.9571565178855918,0.6875393816995925,0.6266909162977164,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.6446958995851841,52,0.26961713618599925,8,60,1.375078763399185
XGBoost,21,0.6857440794044655,0.9690277017772302,0.6868018890767235,0.6116000201083619,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.6558295908539535,44,0.28222581270050673,13,57,1.3736037781534467
