Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
MLP,2,0.961178823651183,0.4505716153268041,0.0789720786688428,0.859841939494332,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",0.5295436939956469,2,0.3715995366579613,2,4,0.15794415733768563
MLP,1,1.0655876224780223,0.1548992632499621,-0.0210752971013343,0.9437078395344785,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",0.1338239661486278,4,0.17597456035129638,1,5,-0.04215059420266859
MLP,4,1.1474529989268585,0.9512066387725846,-0.0995209470098963,0.875676788196044,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",0.8516856917626883,1,1.050727585782481,4,5,-0.19904189401979266
MLP,3,1.7041034289018997,0.937739576546156,-0.6329186622034899,1.1397873658482602,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",0.3048209143426661,3,1.570658238749646,5,8,-1.2658373244069798
MLP,29,1.969209793454035,-0.3994481715016671,-0.886950854618628,1.098765724865546,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.286399026120295,13,0.4875026831169609,3,16,-1.773901709237256
MLP,17,2.642154742484649,0.9932358461890658,-1.531785168822056,1.3029591491480126,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.5385493226329903,5,2.525021015011122,7,12,-3.063570337644112
MLP,31,2.721599894244736,0.8179536470895288,-1.6079116930285289,1.3593337924298226,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.7899580459390001,7,2.4258653401180577,6,13,-3.2158233860570578
MLP,18,2.859123064269004,0.9945367249886884,-1.7396901678613137,1.304374609366402,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.7451534428726253,6,2.734226892850002,13,19,-3.4793803357226274
MLP,32,2.917810157288537,0.8160576600552698,-1.795925750629796,1.472321988895122,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.9798680905745263,9,2.611983410685066,10,19,-3.591851501259592
MLP,27,2.957059501430658,0.7890524734110744,-1.8335355490973784,1.471423221662429,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.044483075686304,11,2.622588022508453,11,22,-3.6670710981947567
MLP,9,2.968002040290936,0.8123290590360422,-1.84402099007108,1.4721193325652293,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.0316919310350379,10,2.656350049107122,12,22,-3.68804198014216
MLP,14,3.093421460183464,0.992517879823659,-1.964201319428915,1.449969321879612,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.9716834396052559,8,2.956719199252574,20,28,-3.92840263885783
MLP,20,3.0956231670387697,0.6377252976435204,-1.966311055347378,1.51137745037343,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.3285857577038576,14,2.6040363529908985,8,22,-3.932622110694756
MLP,28,3.255677946534472,0.7349200099974176,-2.1196799365905847,1.5439275726381678,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.3847599265931672,15,2.854599946588002,14,29,-4.2393598731811695
MLP,25,3.3175851526351887,0.7135098969668892,-2.179001120065861,1.56703811399641,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.465491223098972,16,2.89251101703275,17,33,-4.358002240131722
MLP,22,3.375250273791352,0.6355127955121718,-2.2342574213543345,1.5775529652384528,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.5987446258421627,18,2.869770216866506,15,33,-4.468514842708669
MLP,11,3.3912339044096664,0.9634071184209468,-2.249573374766406,1.5059758950251465,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.2861662563454592,12,3.212980493187353,26,38,-4.499146749532812
MLP,26,3.400678076705378,0.7595259388511769,-2.258623039786252,1.5790615879805368,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.4990971009350753,17,3.018148978637429,22,39,-4.517246079572504
MLP,23,3.417757766554334,0.6388259877676372,-2.2749892672264376,1.606856260765002,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.6361632794588004,20,2.913815254994075,18,38,-4.549978534452875
MLP,16,3.4788797743337585,0.5864547164494843,-2.3335580521262385,1.6063024109256587,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.747103335676754,21,2.920012768575723,19,40,-4.667116104252477
MLP,6,3.50032151974138,0.515983084195154,-2.3541041208873827,1.5967490796410793,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.8381210366922287,25,2.8700872050825366,16,41,-4.7082082417747655
MLP,15,3.542982841752082,0.5719635554187944,-2.394983370165367,1.5892843118795523,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.8230198147465728,24,2.9669469255841614,21,45,-4.789966740330734
MLP,19,3.559320811261581,0.6147261734387053,-2.4106388608252063,1.608667500359507,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.795912687386501,22,3.0253650342639116,23,45,-4.821277721650413
MLP,30,3.5756280650835435,0.7974778961206349,-2.42626491887048,1.648704243337587,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.628787022749845,19,3.2237428149911147,27,46,-4.85252983774096
MLP,24,3.639945711021896,0.6823465063246537,-2.487895851935036,1.6486077602999467,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.8055493456103822,23,3.1702423582596895,24,47,-4.975791703870072
MLP,21,3.6846473131687048,0.6497950102648191,-2.5307301536199724,1.650436437844617,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.8809351433551533,27,3.1805251638847913,25,52,-5.061460307239945
MLP,8,3.94384191949051,0.7366401149335919,-2.779097537093929,1.7031812727652804,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-2.042457422160337,28,3.515737652027521,30,58,-5.558195074187858
MLP,12,4.0234135734781855,0.9758935399082884,-2.855345279205804,1.6315313442356183,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.8794517392975156,26,3.8312388191140925,32,58,-5.710690558411608
MLP,13,4.0585152335016765,0.4778043399756586,-2.888980652948121,1.6444242915645455,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-2.4111763129724624,29,3.3667849929237796,28,57,-5.777961305896242
