Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Gradient Boosting,21,0.6365039220285297,0.9069932751387046,0.390084477726889,0.6706924494901627,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.2970777528655937,1,0.5169087974118156,2,3,0.7801689554537781
Gradient Boosting,23,0.6880806447261657,0.9085977699696098,0.3406622468928517,0.6991828857825882,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.2492600168624615,2,0.5679355230767582,3,5,0.6813244937857033
Gradient Boosting,24,0.8297755280784103,0.9107579603979704,0.2048863218871011,0.7864389524452818,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.1156442822850714,6,0.7058716385108693,4,10,0.4097726437742021
Gradient Boosting,25,0.8312580442091527,0.9214022366551792,0.2034657342538334,0.7899955130216434,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.1248679709090126,4,0.7179365024013458,6,10,0.4069314685076668
Gradient Boosting,18,0.8354573894424608,0.9569638876958126,0.1994418064310235,0.7408420138651575,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.1564056941268361,3,0.7575220812647891,9,12,0.398883612862047
Gradient Boosting,30,0.840695430955001,0.906061430032578,0.1944225713340465,0.7682512729646059,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.1004840013666244,9,0.7116388586985315,5,14,0.3888451426680929
Gradient Boosting,29,0.8528784857764428,0.9093087340315942,0.1827484339294878,0.7726319870737516,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.092057167961082,10,0.7265603001021064,7,17,0.3654968678589756
Gradient Boosting,19,0.8621163682112393,0.9274474438156222,0.1738964415144842,0.7506370746007375,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.1013438853301063,8,0.753551002301138,8,16,0.34779288302896827
Gradient Boosting,20,0.8826156458733622,0.9580530389240144,0.1542534712061963,0.7617746910492219,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.1123065101302108,7,0.803799567717818,14,21,0.30850694241239274
Gradient Boosting,22,0.8859343820847225,0.9204420865888392,0.1510733671100776,0.8100453199584162,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.0715154536989169,11,0.7693687194787616,10,21,0.30214673422015526
