Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
KNN,25,0.9862331213187404,0.1850374961620118,0.0549643632122061,0.9455226672165647,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.2400018593742179,7,0.1300731329498057,1,8,0.1099287264244122
KNN,2,1.0198367881477333,0.2775851776074328,0.022764407650301,0.9432238447771832,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.3003495852577338,2,0.25482076995713177,3,5,0.045528815300602044
KNN,17,1.0789377103245283,0.2838507995337461,-0.0338677175711783,0.9551505975766308,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.2499830819625678,6,0.3177185171049244,5,11,-0.06773543514235658
KNN,16,1.083234900611214,0.2588878831674986,-0.0379854032087749,0.961771291061147,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.2209024799587237,8,0.2968732863762735,4,12,-0.07597080641754983
KNN,15,1.123271617012349,0.2865613399450769,-0.0763496833786054,0.9810582712270016,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.21021165656647148,9,0.3629110233236823,11,20,-0.15269936675721082
KNN,14,1.1553816028105903,0.255017170045743,-0.1071183527937154,0.9611621046763822,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.14789881725202758,11,0.3621355228394584,10,21,-0.2142367055874308
KNN,26,1.1588993870819064,0.3823478920396234,-0.1104891902022988,0.9253217352641306,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.2718587018373246,3,0.4928370822419222,19,22,-0.2209783804045976
KNN,24,1.1621391664344989,0.3800548140623452,-0.1135936356699538,0.9158407777174774,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.2664611783923914,4,0.493648449732299,20,24,-0.22718727133990757
KNN,1,1.172603683273152,0.1189779478197421,-0.1236210228267242,1.0061507415395974,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}",-0.004643075006982106,20,0.2425989706464663,2,22,-0.2472420456534484
KNN,20,1.2431726741167557,0.1341867654776607,-0.1912421661018377,0.9913027003771612,"{'metric': 'chebyshev', 'n_neighbors': 15, 'weights': 'uniform'}",-0.057055400624176994,21,0.32542893157949837,6,27,-0.3824843322036754
KNN,23,1.2431726741167557,0.1341867654776607,-0.1912421661018377,0.9913027003771612,"{'metric': 'chebyshev', 'n_neighbors': 15, 'weights': 'uniform'}",-0.057055400624176994,22,0.32542893157949837,8,30,-0.3824843322036754
KNN,22,1.2431726741167557,0.1341867654776607,-0.1912421661018377,0.9913027003771612,"{'metric': 'chebyshev', 'n_neighbors': 15, 'weights': 'uniform'}",-0.057055400624176994,23,0.32542893157949837,7,30,-0.3824843322036754
KNN,32,1.2483772773708468,0.3965937092711979,-0.1962293597421009,0.9490005699792434,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.200364349529097,10,0.5928230690132988,26,36,-0.39245871948420186
KNN,28,1.261899992193967,0.3450958093557659,-0.2091871961174192,0.9530978483956408,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.1359086132383467,13,0.5542830054731851,24,37,-0.4183743922348384
KNN,21,1.2647626146953197,0.2629779385642283,-0.21193023954191,0.9947900842085108,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.05104769902231829,17,0.4749081781061383,18,35,-0.42386047908381996
KNN,11,1.2799184291551944,0.1341867654776607,-0.226452956797617,1.0059904575400012,"{'metric': 'chebyshev', 'n_neighbors': 15, 'weights': 'uniform'}",-0.09226619131995631,25,0.36063972227527774,9,34,-0.452905913595234
KNN,30,1.286659428814719,0.3677096832245079,-0.2329123676287061,0.9766276327261032,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.13479731559580183,14,0.6006220508532141,27,41,-0.46582473525741225
KNN,31,1.3023247342539757,0.3925623008769049,-0.2479232931201027,0.981894851508764,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.14463900775680222,12,0.6404855939970076,28,40,-0.49584658624020533
KNN,29,1.3023247342539757,0.3175340799210961,-0.2479232931201027,0.981894851508764,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.06961078680099342,16,0.5654573730411988,25,41,-0.4958465862402054
KNN,9,1.3098423317367556,0.1253417373329114,-0.2551268612934712,1.0188393089417358,"{'metric': 'chebyshev', 'n_neighbors': 15, 'weights': 'uniform'}",-0.12978512396055977,28,0.3804685986263826,13,41,-0.5102537225869423
KNN,8,1.3098423317367556,0.1274808904272943,-0.2551268612934712,1.0188393089417358,"{'metric': 'chebyshev', 'n_neighbors': 15, 'weights': 'uniform'}",-0.12764597086617688,27,0.38260775172076544,14,41,-0.5102537225869423
KNN,19,1.313085805860403,0.2539617206405524,-0.2582348471921267,1.0136042532648588,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",-0.004273126551574302,19,0.5121965678326791,21,40,-0.5164696943842534
KNN,18,1.316267261674031,0.2580723313613038,-0.2612834054444839,1.0102828245089832,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",-0.00321107408318011,18,0.5193557368057877,22,40,-0.5225668108889678
KNN,13,1.3173287960350373,0.5974778231128374,-0.262300596795231,0.998175066281902,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.3351772263176064,1,0.8597784199080684,31,32,-0.524601193590462
