Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
XGBoost,19,0.8671265787820793,0.8925243574555864,0.1690955202769947,0.7676488489097397,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.0616198777325812,1,0.7234288371785917,2,3,0.3381910405539894
XGBoost,24,0.8945093515160939,0.9108011930805822,0.1428565961237452,0.8067096969417044,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.0536577892043273,5,0.7679445969568369,3,8,0.28571319224749037
XGBoost,21,0.9007701476419292,0.9092578100303572,0.1368573294943038,0.7845078163094287,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.046115139524661,6,0.7724004805360534,4,10,0.2737146589886077
XGBoost,32,0.914381795698732,0.9160379291695928,0.1238142748543508,0.7221597106187327,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.0398522040239435,7,0.792223654315242,5,12,0.24762854970870152
XGBoost,22,0.9151423514849458,0.9380048248281744,0.1230854894321209,0.8390331440824847,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",1.0610903142602952,3,0.8149193353960534,8,11,0.24617097886424177
XGBoost,29,0.9165219931355976,0.9350615970912952,0.1217634789483123,0.8016944971070541,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",1.0568250760396074,4,0.8132981181429829,7,11,0.24352695789662449
XGBoost,23,0.9173224378813228,0.940218047802328,0.1209964708306184,0.8095190914313395,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",1.0612145186329465,2,0.8192215769717096,9,11,0.24199294166123686
XGBoost,13,0.954525882525878,0.8851259393766855,0.0853471093963216,0.7936676512500971,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.9704730487730071,13,0.7997788299803639,6,19,0.17069421879264324
XGBoost,26,0.9623209799494596,0.9101086344458532,0.077877633165725,0.8424937680837276,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.9879862676115783,9,0.8322310012801282,11,20,0.1557552663314501
XGBoost,27,0.9629428926588128,0.9092909770365682,0.0772816993437862,0.7671973703505109,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.9865726763803544,10,0.8320092776927821,10,20,0.1545633986875723
XGBoost,31,0.9948488880441558,0.9413875504779502,0.0467084991393378,0.7191864236008471,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.988096049617288,8,0.8946790513386124,14,22,0.09341699827867567
XGBoost,25,1.001737626389234,0.9394755059819428,0.0401075210461459,0.858063064833883,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9795830270280887,11,0.899367984935797,16,27,0.0802150420922918
XGBoost,28,1.003369898719238,0.9330958864371603,0.0385434329137843,0.8527593785185199,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9716393193509446,12,0.8945524535233761,13,25,0.07708686582756852
XGBoost,1,1.008883587871647,0.5502992768289676,0.0332600646851558,0.8213259738522644,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.5835593415141234,24,0.5170392121438119,1,25,0.06652012937031149
XGBoost,4,1.0244878710065328,0.9147377540648264,0.0183076124401169,0.8771081576766786,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9330453665049433,15,0.8964301416247095,15,30,0.03661522488023383
