Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
MLP,9,2.6497044470734696,0.9487659251289592,0.5074054958799884,1.4371552300172323,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",1.4561714210089476,1,0.4413604292489708,6,7,1.0148109917599768
MLP,11,2.8428768104492224,0.902004611934242,0.471493700263739,1.551534817064477,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",1.373498312197981,4,0.430510911670503,5,9,0.9429874005274779
MLP,10,2.91366082453916,0.879013241306645,0.4583345660973729,1.5092898762896243,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",1.337347807404018,6,0.42067867520927216,4,10,0.9166691321947458
MLP,29,3.0038740092935043,0.9999005881480656,0.4415634431677063,1.4685785013553685,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",1.4414640313157718,2,0.5583371449803594,8,10,0.8831268863354125
MLP,26,3.015150798925671,0.9999501074038504,0.4394670264888356,1.5167161703893175,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.439417133892686,3,0.5604830809150148,9,12,0.8789340529776712
MLP,16,3.1971592924977528,0.9678660810390964,0.4056306551396487,1.434781089707547,"{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.3734967361787451,5,0.5622354258994477,10,15,0.8112613102792974
MLP,6,3.33539985234016,0.9471487416495156,0.3799309813137418,1.6459706974006991,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",1.3270797229632574,7,0.5672177603357738,11,18,0.7598619626274836
MLP,22,3.658277517210986,0.9998955304596584,0.3199062629365143,1.5538434839385624,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.3198017933961728,8,0.679989267523144,14,22,0.6398125258730287
MLP,28,3.845957385527156,0.9999234652297424,0.2850155520994542,1.7121000871733694,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.2849390173291966,9,0.7149079131302882,15,24,0.5700311041989083
MLP,8,4.105059465978305,0.8401529863506572,0.2368470625997051,1.8066337648097133,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.0770000489503622,16,0.603305923750952,12,28,0.4736941251994101
MLP,25,4.166855221995007,0.9999571041246912,0.2253588946172762,1.6627734515870474,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",1.2253159987419675,10,0.774598209507415,16,26,0.4507177892345525
MLP,21,4.522193316643803,0.999966694553532,0.1592996053551104,1.796362378431669,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.1592662999086425,11,0.8406670891984216,19,30,0.3185992107102209
MLP,27,4.532246336501897,0.999960809833238,0.1574306941497962,1.8216616839528093,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.1573915039830343,12,0.8425301156834417,20,32,0.31486138829959254
MLP,2,4.536396700397881,0.6497756244320685,0.1566591188718373,1.9690672898406767,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",0.8064347433039059,25,0.4931165055602312,7,32,0.3133182377436747
MLP,23,4.5603797278857225,0.999886572621312,0.1522005432953356,1.820410560926303,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.1520871159166477,13,0.8476860293259764,21,34,0.30440108659067133
MLP,1,4.595665449452159,0.2021797447037598,0.1456407352621291,1.9437656575646207,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",0.3478204799658889,28,0.056539009441630705,1,29,0.2912814705242582
MLP,13,4.676453639996516,0.9514325942740596,0.1306217701455085,1.8739384584460348,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.0820543644195681,15,0.8208108241285511,18,33,0.26124354029101704
MLP,5,4.774358760559422,0.4571379516835171,0.1124206744090536,2.0273334052277963,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",0.5695586260925707,26,0.34471727727446355,3,29,0.22484134881810713
MLP,15,4.815476868947827,0.96578457569246,0.1047765938647838,1.8729820247528408,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.070561169557244,17,0.8610079818276762,22,39,0.20955318772956766
MLP,4,4.897086094838633,0.428678849656455,0.0896049938005958,2.0892797874141533,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",0.5182838434570508,27,0.33907385585585914,2,29,0.17920998760119167
