Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Gradient Boosting,11,3.766609343523213,0.5051698808611215,0.2997667857500585,1.793404651745592,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}",0.8049366666111799,1,0.20540309511106297,6,7,0.5995335715001169
Gradient Boosting,10,3.909804490707231,0.4117576018106051,0.273146027122654,1.8179820050310624,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}",0.6849036289332591,5,0.1386115746879511,2,7,0.546292054245308
Gradient Boosting,26,3.9164145726190127,0.5096521503184437,0.2719171768540427,1.8472019121466767,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}",0.7815693271724864,2,0.23773497346440098,9,11,0.5438343537080854
Gradient Boosting,9,3.933579414397836,0.4004738053176649,0.2687261391767361,1.8075441163821844,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}",0.669199944494401,6,0.1317476661409288,1,7,0.5374522783534722
Gradient Boosting,8,4.040388964354796,0.4130508228180519,0.2488696614648763,1.854740670055092,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.6619204842829282,7,0.1641811613531756,3,10,0.49773932292975254
Gradient Boosting,25,4.115489937795881,0.4510136221898322,0.2349079810170812,1.9202638163958528,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}",0.6859216032069134,4,0.216105641172751,7,11,0.4698159620341624
Gradient Boosting,6,4.317302779753925,0.5299080236738201,0.1973898733205149,1.865414977145466,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",0.727297896994335,3,0.3325181503533051,15,18,0.3947797466410299
Gradient Boosting,5,4.356087824856533,0.3770618158907899,0.1901795219620106,1.909703908908068,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.5672413378528005,10,0.1868822939287793,4,14,0.3803590439240212
Gradient Boosting,7,4.375245613607951,0.3811202525466419,0.1866179845760338,1.908437076949359,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.5677382371226757,9,0.1945022679706081,5,14,0.3732359691520676
Gradient Boosting,14,4.577447513346362,0.4596439962029962,0.1490275489167751,2.029045468734905,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}",0.6086715451197713,8,0.31061644728622106,12,20,0.2980550978335502
Gradient Boosting,4,4.705049798619478,0.3562159229359418,0.1253055883380722,2.002958717504475,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}",0.481521511274014,14,0.23091033459786958,8,22,0.2506111766761444
Gradient Boosting,13,4.811164345368375,0.4353807447078738,0.1055783155120688,2.078546830185416,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}",0.5409590602199426,11,0.329802429195805,14,25,0.21115663102413756
Gradient Boosting,2,5.028103204849175,0.3345653452521016,0.0652481986840078,2.028701270608676,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.39981354393610935,20,0.2693171465680938,10,30,0.13049639736801555
Gradient Boosting,12,5.187181695253699,0.4492983287704459,0.0356746399486084,2.152647124680159,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}",0.4849729687190543,13,0.4136236888218375,16,29,0.07134927989721684
Gradient Boosting,3,5.201868293409707,0.3500104099308178,0.0329443212733089,2.1043607412075582,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}",0.3829547312041267,21,0.31706608865750885,13,34,0.06588864254661786
Gradient Boosting,1,5.2810833415716125,0.2915336726464752,0.018217811903083,2.090432056895973,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.3097514845495582,25,0.27331586074339215,11,36,0.03643562380616605
Gradient Boosting,29,5.440929296952607,0.5104553022004261,-0.0114984227560146,2.180820954213196,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.4989568794444115,12,0.5219537249564408,17,29,-0.02299684551202924
Gradient Boosting,21,5.672893415886786,0.5104553022004261,-0.0546218172410937,2.2326691208054608,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.4558334849593324,15,0.5650771194415198,18,33,-0.10924363448218743
Gradient Boosting,23,5.813406921301073,0.5104553022004261,-0.0807440440419593,2.255629319933934,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.42971125815846684,16,0.5911993462423855,19,35,-0.16148808808391862
Gradient Boosting,28,5.825784909350774,0.5104553022004261,-0.0830451795108906,2.2605078053919865,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.4274101226895355,17,0.5935004817113168,20,37,-0.16609035902178126
Gradient Boosting,22,5.892372520359646,0.5104553022004261,-0.0954241794637642,2.27880186564032,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.41503112273666193,18,0.6058794816641904,21,39,-0.19084835892752844
Gradient Boosting,20,5.921852958681413,0.507706937530291,-0.1009047536887086,2.291214898070708,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.40680218384158234,19,0.6086116912189996,22,41,-0.20180950737741726
Gradient Boosting,24,6.113736018509982,0.5104553022004261,-0.1365768607456599,2.3024742300758136,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.37387844145476623,22,0.647032162946086,23,45,-0.2731537214913198
Gradient Boosting,27,6.132701794687312,0.5104553022004261,-0.1401027019471725,2.300719497827833,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.3703526002532536,23,0.6505580041475987,24,47,-0.28020540389434506
Gradient Boosting,16,6.375913683946373,0.5053559874014812,-0.1853171182636714,2.382374327186636,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.3200388691378099,24,0.6906731056651526,25,49,-0.37063423652734273
Gradient Boosting,19,6.472387213455296,0.507706937530291,-0.2032520734174971,2.3847889437373304,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.3044548641127939,26,0.710959010947788,27,53,-0.40650414683499414
Gradient Boosting,17,6.477005731297336,0.5053559874014812,-0.2041106810666186,2.3953489796546257,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.3012453063348627,28,0.7094666684680998,26,54,-0.4082213621332371
