Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
MLP,23,2.9127232149294446,0.8892893974107803,0.4585088728360983,1.4923406015139726,"{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",1.3477982702468787,4,0.43078052457468197,10,14,0.9170177456721967
MLP,9,2.9885770889774785,0.5480292260913159,0.4444072240603106,1.6666950244494885,"{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",0.9924364501516265,21,0.1036220020310053,1,22,0.8888144481206213
MLP,26,3.0572129740768883,0.9317717744623744,0.4316474387858723,1.6003217759803006,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",1.3634192132482466,3,0.500124335676502,15,18,0.8632948775717445
MLP,22,3.0948919530071435,0.9591549924360256,0.4246427111595904,1.557682031323772,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.383797703595616,1,0.5345122812764352,18,19,0.8492854223191807
MLP,24,3.1349779762051218,0.9631106000391624,0.4171905008796248,1.5186666881810686,"{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.380301100918787,2,0.5459200991595377,19,21,0.8343810017592495
MLP,10,3.3185878591058224,0.6978042805098198,0.3830564225227355,1.7320646008220744,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.0808607030325552,19,0.3147478579870843,5,24,0.7661128450454708
MLP,21,3.3333225470325374,0.9638385230038212,0.380317163696854,1.6304841074134144,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.3441556867006752,5,0.5835213593069672,20,25,0.760634327393708
MLP,13,3.385266973108952,0.8345911139747845,0.3706604116643129,1.7410547320260632,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.2052515256390974,13,0.46393070231047157,12,25,0.7413208233286259
MLP,20,3.423565878539119,0.8742309000198547,0.3635404363215726,1.59819586662909,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",1.2377713363414273,9,0.5106904636982821,17,26,0.7270808726431452
MLP,11,3.436917567733975,0.7060104434569976,0.3610582845006898,1.7389738868974598,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",1.0670687279576874,20,0.3449521589563078,7,27,0.7221165690013795
MLP,12,3.4858461761334056,0.840326921635735,0.351962189417927,1.7489678162891986,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.192289111053662,14,0.48836473221780796,13,27,0.703924378835854
MLP,19,3.529966605379,0.9429258071850088,0.3437599610562697,1.6885038990800068,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.2866857682412784,7,0.5991658461287391,22,29,0.6875199221125393
MLP,14,3.535509855288673,0.7638355291222086,0.3427294406737099,1.7483791464718037,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",1.1065649697959186,18,0.4211060884484987,9,27,0.6854588813474198
MLP,27,3.5919380663276885,0.9571840679368102,0.3322391285689603,1.6431075218625315,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",1.2894231965057705,6,0.6249449393678499,24,30,0.6644782571379206
MLP,17,3.700101151489628,0.9079207139084056,0.3121310212823975,1.7645029285199043,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.2200517351908031,12,0.595789692626008,21,33,0.6242620425647951
MLP,18,3.81596456115088,0.8937478300045609,0.2905913816856966,1.6090063359475948,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",1.1843392116902576,15,0.6031564483188643,23,38,0.5811827633713933
MLP,29,3.84691909996998,0.9438042892697333,0.2848367641408231,1.6851048472830754,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",1.2286410534105563,10,0.6589675251289102,25,35,0.5696735282816461
MLP,28,3.9404971900186574,0.9786864819093768,0.2674400869699264,1.7002305627963257,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.246126568879303,8,0.7112463949394504,28,36,0.5348801739398527
MLP,16,3.996050775357176,0.9182941458248282,0.2571123725517618,1.8125904196196552,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.1754065183765898,16,0.6611817732730664,27,43,0.5142247451035235
MLP,25,4.055611094651106,0.9778931147777156,0.2460397844447268,1.704826239565361,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.2239328992224423,11,0.7318533303329888,29,40,0.4920795688894535
MLP,15,4.132688114330063,0.8907771076228649,0.2317107462269971,1.8971281910318327,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.122487853849862,17,0.6590663613958678,26,43,0.4634214924539941
MLP,8,4.498111150002082,0.5171349334556936,0.1637766114408708,1.986659641561114,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",0.6809115448965644,22,0.3533583220148228,8,30,0.32755322288174155
MLP,1,5.210175450965551,0.1754549087327533,0.0313999753892285,2.136206538433836,"{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",0.2068548841219818,28,0.1440549333435248,2,30,0.06279995077845701
MLP,7,5.38476164153201,0.4902454694022616,-0.0010565493613985,2.18026259825538,"{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",0.4891889200408631,24,0.4913020187636601,14,38,-0.002113098722796969
MLP,6,5.391022272675701,0.5062260679320285,-0.0022204348268553,2.1569733557455524,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",0.5040056331051732,23,0.5084465027588838,16,39,-0.0044408696537106
