Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Random Forest,8,2.88404669998366,0.7296786237689499,0.4638399933220871,1.5822004842508912,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 25}",1.193518617091037,1,0.2658386304468628,6,7,0.9276799866441743
Random Forest,11,3.0883745903478754,0.6558212433368549,0.4258543244136114,1.5999804161226827,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",1.0816755677504664,3,0.2299669189232435,3,6,0.8517086488272229
Random Forest,10,3.4731497801781472,0.5836038432596768,0.354322518652608,1.6935834102602818,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",0.9379263619122848,10,0.22928132460706885,2,12,0.708645037305216
Random Forest,28,3.6182334570493855,0.723661969693984,0.3273506720592153,1.7966105449023528,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",1.0510126417531993,4,0.3963112976347687,11,15,0.6547013441184306
Random Forest,9,3.622449986573868,0.5345087929569896,0.3265667962301531,1.6769234593410394,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10}",0.8610755891871427,15,0.2079419967268365,1,16,0.6531335924603061
Random Forest,23,3.6309510906466897,0.8176465135596505,0.3249863946310807,1.7523875578942858,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",1.1426329081907312,2,0.49266011892856976,20,22,0.6499727892621614
Random Forest,7,3.848817740088133,0.541320848397748,0.2844837965905981,1.838806631876344,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.825804644988346,19,0.2568370518071499,4,23,0.5689675931811962
Random Forest,5,3.859082743521831,0.5468469953958126,0.282575476482747,1.8241601124335047,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 25}",0.8294224718785597,18,0.2642715189130656,5,23,0.5651509529654941
Random Forest,15,3.930150153813088,0.6658152835616318,0.2693636574173489,1.7945588434962338,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 25}",0.9351789409789807,11,0.39645162614428286,12,23,0.5387273148346978
Random Forest,25,4.005856315194124,0.7303101820140494,0.2552894692317535,1.882478655660513,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.985599651245803,7,0.4750207127822959,18,25,0.5105789384635071
