Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
SVR,9,1.8373140454835204,0.8158214305253731,0.6584333010622024,1.2315805187185525,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.4742547315875756,1,0.1573881294631707,8,9,1.3168666021244049
SVR,11,2.139883250983692,0.8668384085263954,0.6021840360130541,1.3020606995335218,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.4690224445394495,2,0.26465437251334123,10,12,1.2043680720261083
SVR,10,2.1981365390325496,0.8541814972699252,0.5913544321410145,1.3346482063437597,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.4455359294109398,3,0.26282706512891074,9,12,1.182708864282029
SVR,23,2.9513478307880803,0.9670130838981942,0.4513283461487826,1.5602326580060266,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.4183414300469768,4,0.5156847377494116,13,17,0.9026566922975652
SVR,22,3.007641533246304,0.9635848725594024,0.440863039922605,1.5816970928704543,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.4044479124820075,6,0.5227218326367974,14,20,0.8817260798452101
SVR,24,3.062323768730852,0.9678445394137116,0.4306973141932939,1.5840143338510104,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.3985418536070056,8,0.5371472252204177,16,24,0.8613946283865879
SVR,26,3.067212919286948,0.9788835131862303,0.4297883944470151,1.5819890125987202,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.4086719076332455,5,0.5490951187392152,18,23,0.8595767888940302
SVR,29,3.157586657691736,0.9895879784593477,0.4129874237183186,1.5718177238771127,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.4025754021776662,7,0.5766005547410291,23,30,0.8259748474366371
SVR,16,3.167327978435164,0.936107882584762,0.4111764590779481,1.6281821294563292,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.34728434166271,13,0.5249314235068139,15,28,0.8223529181558962
SVR,20,3.194007640371014,0.9646736272610252,0.4062165644542683,1.625189953836324,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.3708901917152936,11,0.5584570628067569,20,31,0.8124331289085367
SVR,27,3.2011058313296483,0.9847014705944944,0.4048969720524519,1.6199203552605168,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.3895984426469463,9,0.5798044985420425,25,34,0.8097939441049038
SVR,21,3.2369512742856226,0.9645983938975548,0.3982331087610715,1.630137167133905,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.3628315026586262,12,0.5663652851364833,21,33,0.7964662175221429
SVR,28,3.254884918130572,0.9864555173161172,0.3948991465878092,1.6261899707232816,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.3813546639039265,10,0.591556370728308,27,37,0.7897982931756184
SVR,19,3.30914734399292,0.9602837851230172,0.3848114657562607,1.635934689635164,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.345095250879278,14,0.5754723193667565,22,36,0.7696229315125215
SVR,15,3.3233760677022204,0.9297688220387884,0.3821662684371464,1.6821103961047523,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.3119350904759348,17,0.547602553601642,17,34,0.7643325368742928
SVR,18,3.3400566854893183,0.9559532386582827,0.379065250640114,1.650718245379425,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.3350184892983967,15,0.5768879880181688,24,39,0.758130501280228
SVR,14,3.3824868236605456,0.9286328704905886,0.3711772566054269,1.6874416182762593,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.2998101270960154,18,0.5574556138851617,19,37,0.7423545132108537
SVR,17,3.388050846438556,0.9547954753001302,0.3701428744333799,1.6660188297911245,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.32493834973351,16,0.5846526008667503,26,42,0.7402857488667598
SVR,25,3.5583162511201363,0.3916473123913337,0.3384896073376665,1.7889432275640758,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7301369197290002,19,0.05315770505366724,2,21,0.676979214675333
SVR,2,3.9955055644575457,0.4047429562392927,0.2572137302307439,1.7839948206531226,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.6619566864700366,22,0.14752922600854879,7,29,0.5144274604614878
SVR,5,4.202126962573511,0.4867003384167165,0.2188016857259572,1.8924111948251403,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.7055020241426737,21,0.2678986526907593,11,32,0.4376033714519144
SVR,3,4.23317139368579,0.4944587958507764,0.2130303567136475,1.9122923967861352,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.7074891525644239,20,0.2814284391371289,12,32,0.426060713427295
SVR,1,4.658922536993824,0.2654331839812334,0.1338808977813571,1.9497272015363136,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.3993140817625905,23,0.1315522861998763,6,29,0.2677617955627142
SVR,7,4.687343471822137,0.2110847033404507,0.1285972910327468,2.0328666216003644,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.3396819943731975,24,0.0824874123077039,5,29,0.2571945820654936
SVR,4,5.304398900907404,0.0518563162407255,0.0138833222953913,2.130634665864234,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.0657396385361168,25,0.0379729939453342,1,26,0.027766644590782603
SVR,6,5.447604290364805,0.0472797281939265,-0.0127393404264808,2.1479869071165494,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.034540387767445696,27,0.060019068620407304,3,30,-0.025478680852961608
SVR,8,5.449499855823222,0.0478411926073768,-0.0130917363806966,2.148392253933258,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.0347494562266802,26,0.0609329289880734,4,30,-0.026183472761393198
