Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
MLP,45,1.1171243323282831,0.9757627476360986,0.3355507317796278,0.8364064445729368,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.3113134794157264,1,0.6402120158564708,10,11,0.6711014635592556
MLP,9,1.136119080396681,0.6460682535273592,0.3242529325205491,0.9153514585418256,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",0.9703211860479083,45,0.3218153210068101,4,49,0.6485058650410982
MLP,60,1.2100639310015011,0.9924720696664096,0.2802716132965406,0.9090849912826988,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.2727436829629502,2,0.712200456369869,14,16,0.5605432265930812
MLP,12,1.2385001572225025,0.9703434219194732,0.2633581604634849,0.920729855562379,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",1.2337015823829582,6,0.7069852614559883,12,18,0.52671632092697
MLP,8,1.2484324802750544,0.6728658455480621,0.2574505594982085,0.9324020220531264,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",0.9303164050462706,48,0.41541528604985356,7,55,0.514901118996417
MLP,63,1.2496538874931198,0.9944576685340502,0.2567240842897137,0.8871973379279682,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.2511817528237639,4,0.7377335842443364,15,19,0.5134481685794274
MLP,34,1.2497137225725252,0.9978202265844168,0.2566884952567169,0.8956255809766068,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",1.2545087218411337,3,0.7411317313276999,16,19,0.5133769905134338
MLP,44,1.2540191630428974,0.9628940918046794,0.2541276820266059,0.8989978252162648,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.2170217738312854,8,0.7087664097780735,13,21,0.5082553640532119
MLP,64,1.281105280181595,0.9987660010981002,0.238017254394769,0.8699594064505329,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.2367832554928693,5,0.7607487467033311,17,22,0.4760345087895381
MLP,55,1.2978560049596606,0.9947450691902776,0.2280541674769954,0.8153289188600061,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.222799236667273,7,0.7666909017132822,18,25,0.45610833495399083
MLP,41,1.3271135018048408,0.9807333941133384,0.2106522348485804,0.9462834774312456,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.1913856289619187,12,0.770081159264758,19,31,0.42130446969716073
MLP,39,1.3286831794812546,0.9987624268060116,0.2097186134483005,0.9059964014836648,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",1.208481040254312,9,0.7890438133577111,20,29,0.4194372268966009
MLP,31,1.3325775936192683,0.9968799247856804,0.207402272689025,0.8955239675961583,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",1.2042821974747056,10,0.7894776520966554,21,31,0.4148045453780501
MLP,5,1.343791515762429,0.4928421902860865,0.2007323952668998,0.9872248277911428,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",0.6935745855529862,58,0.2921097950191867,3,61,0.4014647905337995
